# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-07-07

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	fagus_cmaes_output_subset1_rep2.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/hindcasting/simulation/castanea/run/inventory.txt

climateBaseName	=	D:/climate/HadCM3B_60Kyr_Climate/2023_dataset/castanea_format/025deg/1500BP/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	12214	40.87	23.46	199.939	0.123	0.307	0.184	1.529	0.244	0.29	0.586	0.607	0.413	0.393	30
2	12215	40.87	23.71	199.76	0.115	0.31	0.187	1.527	0.259	0.296	0.607	0.623	0.393	0.377	30
3	12216	40.87	23.96	199.506	0.138	0.31	0.187	1.52	0.259	0.298	0.611	0.627	0.389	0.374	30
4	12217	40.87	24.21	199.32	0.14	0.312	0.183	1.504	0.25	0.289	0.6	0.612	0.4	0.388	30
5	12218	40.87	24.71	198.608	0.113	0.305	0.175	1.517	0.231	0.269	0.582	0.595	0.418	0.405	30
6	12219	40.87	25.46	199.808	0.126	0.309	0.187	1.521	0.25	0.296	0.594	0.612	0.406	0.388	30
7	12220	40.87	25.71	199.848	0.134	0.309	0.19	1.524	0.254	0.305	0.594	0.616	0.406	0.384	30
8	12221	40.87	25.96	199.956	0.122	0.314	0.191	1.518	0.264	0.311	0.615	0.633	0.385	0.367	30
9	12222	40.87	26.21	199.966	0.094	0.316	0.19	1.52	0.285	0.315	0.659	0.666	0.341	0.334	30
10	12223	40.87	26.46	199.938	0.09	0.316	0.201	1.531	0.307	0.337	0.699	0.704	0.301	0.296	30
11	12224	40.87	26.71	199.705	0.112	0.32	0.208	1.524	0.313	0.352	0.708	0.72	0.292	0.28	30
12	12225	40.87	26.96	199.902	0.114	0.323	0.21	1.523	0.319	0.359	0.727	0.737	0.273	0.263	30
13	12226	40.87	27.21	199.911	0.12	0.326	0.212	1.52	0.322	0.361	0.737	0.746	0.263	0.254	30
14	12227	40.87	29.46	199.532	0.119	0.32	0.197	1.5	0.291	0.334	0.671	0.683	0.329	0.318	30
15	12228	40.87	29.71	199.426	0.126	0.327	0.201	1.492	0.301	0.346	0.682	0.693	0.318	0.307	30
16	12229	40.87	29.96	199.637	0.122	0.328	0.203	1.497	0.305	0.347	0.697	0.706	0.303	0.294	30
17	12230	40.87	30.21	199.702	0.112	0.324	0.202	1.501	0.301	0.339	0.699	0.706	0.301	0.294	30
18	12231	40.87	30.46	199.873	0.094	0.317	0.191	1.504	0.288	0.318	0.684	0.685	0.316	0.315	30
19	12232	40.87	30.71	198.72	0.119	0.322	0.191	1.491	0.287	0.32	0.677	0.68	0.324	0.32	30
20	12233	40.87	30.96	198.181	0.132	0.324	0.188	1.486	0.282	0.314	0.68	0.681	0.32	0.319	30
21	12234	40.87	31.21	198.326	0.131	0.318	0.185	1.488	0.279	0.309	0.673	0.673	0.327	0.327	30
22	12235	40.87	31.46	196.881	0.156	0.314	0.173	1.47	0.258	0.282	0.647	0.64	0.353	0.36	30
23	12236	40.87	31.71	194.652	0.167	0.306	0.159	1.462	0.235	0.255	0.617	0.606	0.383	0.394	30
24	12237	40.87	31.96	195.583	0.147	0.304	0.161	1.477	0.238	0.261	0.617	0.611	0.383	0.389	30
25	12238	40.87	32.21	196.288	0.146	0.309	0.162	1.468	0.237	0.256	0.627	0.616	0.373	0.384	30
26	12239	40.87	32.46	196.876	0.169	0.309	0.159	1.465	0.233	0.251	0.632	0.622	0.368	0.378	30
27	12240	40.87	32.71	198.894	0.153	0.309	0.168	1.478	0.254	0.269	0.662	0.653	0.338	0.347	30
28	12241	40.87	32.96	199.234	0.137	0.311	0.175	1.487	0.265	0.275	0.675	0.664	0.325	0.336	30
29	12242	40.87	33.21	198.806	0.142	0.307	0.174	1.489	0.261	0.269	0.673	0.66	0.327	0.34	30
30	12243	40.87	33.46	198.833	0.157	0.302	0.166	1.488	0.247	0.257	0.666	0.652	0.334	0.348	30
31	12244	40.87	33.71	198.078	0.18	0.299	0.156	1.482	0.228	0.241	0.645	0.629	0.355	0.371	30
32	12245	40.87	33.96	198.163	0.186	0.301	0.157	1.484	0.23	0.244	0.649	0.633	0.351	0.367	30
33	12246	40.87	34.21	198.134	0.187	0.303	0.158	1.484	0.228	0.244	0.64	0.626	0.359	0.375	30
34	12247	40.87	34.46	197.639	0.179	0.306	0.168	1.498	0.249	0.266	0.662	0.653	0.338	0.347	30
35	12248	40.87	34.71	196.938	0.17	0.304	0.173	1.508	0.262	0.278	0.671	0.666	0.329	0.334	30
36	12249	40.62	-8.54	199.901	0.124	0.321	0.165	1.473	0.194	0.265	0.51	0.549	0.49	0.451	30
37	12250	40.62	-8.29	199.587	0.198	0.32	0.165	1.453	0.189	0.271	0.515	0.554	0.485	0.446	30
38	12251	40.62	-8.04	199.88	0.2	0.312	0.156	1.464	0.173	0.255	0.469	0.516	0.531	0.484	30
39	12252	40.62	-7.79	199.967	0.204	0.305	0.153	1.476	0.168	0.247	0.456	0.504	0.545	0.496	30
40	12253	40.62	-7.54	199.896	0.225	0.302	0.15	1.481	0.17	0.239	0.452	0.495	0.548	0.505	30
41	12254	40.62	-7.29	199.893	0.226	0.293	0.149	1.498	0.169	0.234	0.442	0.484	0.558	0.516	30
42	12255	40.62	-7.04	199.862	0.221	0.286	0.15	1.512	0.17	0.23	0.44	0.478	0.56	0.522	30
43	12256	40.62	-6.79	199.814	0.213	0.294	0.16	1.513	0.187	0.246	0.492	0.522	0.509	0.478	30
44	12257	40.62	-6.54	199.632	0.201	0.306	0.171	1.511	0.205	0.266	0.553	0.578	0.448	0.422	30
45	12258	40.62	-6.29	198.602	0.199	0.307	0.17	1.507	0.207	0.263	0.564	0.585	0.436	0.415	30
46	12259	40.62	-6.04	198.923	0.191	0.307	0.168	1.499	0.203	0.253	0.548	0.568	0.452	0.432	30
47	12260	40.62	-5.79	199.73	0.167	0.301	0.165	1.507	0.196	0.244	0.533	0.554	0.467	0.446	30
48	12261	40.62	-5.54	199.817	0.17	0.298	0.166	1.515	0.202	0.244	0.536	0.555	0.464	0.445	30
49	12262	40.62	-5.29	199.694	0.172	0.291	0.159	1.508	0.194	0.233	0.503	0.52	0.497	0.48	30
50	12263	40.62	-5.04	199.522	0.18	0.288	0.154	1.501	0.188	0.223	0.489	0.504	0.51	0.496	30
51	12264	40.62	-4.79	199.649	0.179	0.284	0.153	1.508	0.189	0.224	0.485	0.5	0.515	0.499	30
52	12265	40.62	-4.54	199.649	0.184	0.285	0.153	1.511	0.19	0.226	0.49	0.506	0.51	0.494	30
53	12266	40.62	-4.29	199.284	0.199	0.284	0.148	1.51	0.183	0.222	0.478	0.495	0.522	0.505	30
54	12267	40.62	-4.04	198.788	0.205	0.281	0.148	1.518	0.187	0.227	0.474	0.491	0.526	0.509	30
55	12268	40.62	-3.79	199.512	0.201	0.287	0.157	1.528	0.2	0.238	0.502	0.517	0.498	0.483	30
56	12269	40.62	-3.54	199.957	0.172	0.291	0.169	1.537	0.234	0.267	0.559	0.571	0.441	0.429	30
57	12270	40.62	-3.29	199.976	0.165	0.295	0.174	1.533	0.248	0.277	0.592	0.6	0.408	0.4	30
58	12271	40.62	-3.04	199.969	0.183	0.298	0.17	1.524	0.237	0.261	0.598	0.602	0.402	0.398	30
59	12272	40.62	-2.79	199.873	0.204	0.298	0.166	1.522	0.225	0.251	0.581	0.586	0.419	0.414	30
60	12273	40.62	-2.54	199.838	0.217	0.302	0.165	1.515	0.219	0.251	0.568	0.576	0.432	0.424	30
61	12274	40.62	-2.29	199.197	0.224	0.306	0.166	1.505	0.217	0.251	0.568	0.575	0.432	0.425	30
62	12275	40.62	-2.04	199.025	0.221	0.307	0.164	1.495	0.216	0.247	0.568	0.572	0.431	0.428	30
63	12276	40.62	-1.79	199.103	0.207	0.304	0.163	1.497	0.215	0.242	0.568	0.568	0.432	0.432	30
64	12277	40.62	-1.54	199.633	0.188	0.299	0.165	1.505	0.214	0.243	0.571	0.575	0.429	0.425	30
65	12278	40.62	-1.29	199.96	0.169	0.29	0.168	1.516	0.228	0.256	0.589	0.598	0.411	0.402	30
66	12279	40.62	-1.04	199.942	0.172	0.294	0.169	1.505	0.234	0.261	0.594	0.601	0.406	0.399	30
67	12280	40.62	-0.789999999999999	199.658	0.203	0.313	0.175	1.494	0.24	0.272	0.608	0.614	0.392	0.386	30
68	12281	40.62	-0.539999999999999	199.044	0.234	0.322	0.182	1.492	0.242	0.278	0.608	0.615	0.392	0.385	30
69	12282	40.62	-0.289999999999999	199.292	0.241	0.331	0.195	1.503	0.257	0.306	0.627	0.642	0.373	0.358	30
70	12283	40.62	-0.0399999999999991	197.84	0.241	0.336	0.199	1.506	0.265	0.322	0.635	0.652	0.365	0.348	30
71	12284	40.62	0.210000000000001	195.993	0.214	0.328	0.196	1.516	0.259	0.313	0.625	0.644	0.375	0.356	30
