# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-09

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	aalba_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
48	58112	50.1	9.5	199.710008730772	0.219	0.305	0.134	1.459	0.171	0.179	0.59	0.562	0.41	0.438	30
49	58113	50.1	9.6	199.982120147336	0.213	0.301	0.134	1.465	0.169	0.177	0.584	0.554	0.416	0.445	30
50	58114	50.1	9.7	200	0.203	0.303	0.142	1.504	0.177	0.187	0.61	0.588	0.389	0.412	30
51	58115	50.1	9.8	200	0.183	0.313	0.162	1.521	0.215	0.233	0.685	0.673	0.315	0.326	30
52	58116	50.1	9.9	200	0.166	0.316	0.173	1.517	0.22	0.241	0.687	0.681	0.312	0.319	30
53	58117	50.1	10	200	0.161	0.319	0.182	1.523	0.224	0.247	0.708	0.702	0.292	0.298	30
54	58118	50.1	10.1	200	0.144	0.315	0.182	1.522	0.228	0.252	0.719	0.715	0.281	0.285	30
55	58119	50.1	10.2	200	0.131	0.316	0.179	1.522	0.228	0.249	0.697	0.692	0.303	0.308	30
56	58120	50.1	10.3	200	0.155	0.317	0.173	1.527	0.228	0.25	0.689	0.682	0.311	0.318	30
57	58121	50.1	10.4	200	0.159	0.316	0.167	1.529	0.219	0.239	0.689	0.683	0.311	0.317	30
58	58122	50.1	10.5	200	0.157	0.314	0.171	1.52	0.215	0.234	0.676	0.668	0.324	0.332	30
59	58123	50.1	10.6	200	0.169	0.31	0.161	1.519	0.206	0.22	0.645	0.635	0.355	0.365	30
60	58124	50.1	10.7	200	0.173	0.305	0.15	1.522	0.192	0.208	0.619	0.608	0.381	0.392	30
61	58125	50.1	10.8	200	0.16	0.306	0.155	1.52	0.194	0.21	0.625	0.615	0.374	0.385	30
62	58126	50.1	10.9	200	0.144	0.307	0.163	1.528	0.207	0.224	0.664	0.658	0.336	0.342	30
63	58127	50.1	11	199.999803338553	0.152	0.312	0.167	1.52	0.218	0.234	0.676	0.67	0.323	0.33	30
64	58128	50.1	11.1	199.999404235555	0.176	0.316	0.164	1.51	0.226	0.243	0.672	0.662	0.327	0.338	30
65	58129	50.1	11.2	199.999626248876	0.169	0.315	0.16	1.512	0.217	0.235	0.663	0.652	0.336	0.347	30
