# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-09

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	aalba_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	49339	52.2	12	199.919710414365	0.085	0.231	0.093	1.506	0.082	0.1	0.256	0.267	0.743	0.733	30
2	49340	52.2	12.1	199.771404195362	0.086	0.231	0.092	1.498	0.069	0.086	0.229	0.238	0.77	0.761	30
3	49341	52.2	12.2	199.838796426297	0.089	0.243	0.094	1.49	0.06	0.076	0.229	0.237	0.771	0.762	30
4	49342	52.2	12.3	199.970752709014	0.1	0.247	0.095	1.494	0.067	0.085	0.277	0.288	0.722	0.712	30
5	49343	52.2	12.4	199.99639445829	0.117	0.239	0.094	1.495	0.063	0.082	0.276	0.289	0.724	0.711	30
6	49344	52.2	12.5	199.990701848371	0.127	0.238	0.091	1.487	0.065	0.083	0.274	0.289	0.725	0.712	30
7	49345	52.2	12.6	199.995903307797	0.104	0.244	0.097	1.489	0.087	0.104	0.311	0.321	0.688	0.679	30
8	49346	52.2	12.7	199.962765400244	0.087	0.258	0.105	1.497	0.076	0.091	0.259	0.268	0.74	0.732	30
9	49347	52.2	12.8	199.954652043865	0.086	0.24	0.097	1.493	0.057	0.071	0.199	0.208	0.8	0.792	30
10	49348	52.2	12.9	199.987812646776	0.083	0.241	0.098	1.485	0.057	0.071	0.195	0.201	0.805	0.799	30
11	49349	52.2	13	199.878155843247	0.081	0.241	0.098	1.496	0.063	0.077	0.212	0.217	0.788	0.783	30
12	49350	52.2	13.1	199.953826516667	0.076	0.243	0.098	1.494	0.074	0.087	0.228	0.232	0.772	0.768	30
13	49351	52.2	13.2	199.906992965386	0.074	0.242	0.099	1.486	0.074	0.088	0.225	0.231	0.775	0.769	30
14	49352	52.2	13.3	199.840939797811	0.077	0.25	0.104	1.492	0.077	0.092	0.231	0.242	0.769	0.758	30
15	49353	52.2	13.4	199.862136045165	0.078	0.244	0.1	1.499	0.072	0.085	0.213	0.222	0.787	0.778	30
