# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-09

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	aalba_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	63275	48.9	38.2	199.991936566671	0.034	0.33	0.168	1.454	0.25	0.255	0.718	0.706	0.283	0.294	30
2	63276	48.9	38.3	199.999903010428	0.037	0.332	0.178	1.457	0.269	0.272	0.746	0.736	0.254	0.264	30
3	63277	48.9	38.4	199.999153593217	0.034	0.326	0.176	1.464	0.26	0.266	0.72	0.71	0.279	0.29	30
4	63278	48.9	38.5	199.976861808225	0.031	0.322	0.166	1.479	0.235	0.241	0.651	0.639	0.35	0.361	30
5	63279	48.9	38.6	199.82217937118	0.039	0.302	0.142	1.485	0.174	0.187	0.529	0.524	0.472	0.477	30
6	63280	48.9	38.7	199.184089278121	0.056	0.298	0.131	1.488	0.148	0.171	0.498	0.498	0.502	0.502	30
7	63281	48.9	38.8	198.411192291759	0.046	0.306	0.149	1.475	0.193	0.208	0.601	0.596	0.399	0.405	30
8	63282	48.9	38.9	199.768694579297	0.038	0.326	0.181	1.452	0.257	0.26	0.713	0.702	0.287	0.298	30
9	63283	48.9	39	199.835772728061	0.039	0.325	0.176	1.457	0.259	0.265	0.704	0.696	0.296	0.305	30
10	63284	48.9	39.1	199.764302091121	0.031	0.331	0.178	1.442	0.287	0.291	0.744	0.735	0.256	0.266	30
11	63285	48.9	39.2	199.571919281969	0.034	0.334	0.183	1.427	0.304	0.309	0.765	0.755	0.236	0.245	30
12	63286	48.9	39.3	199.435291707179	0.037	0.338	0.187	1.42	0.315	0.318	0.774	0.765	0.226	0.235	30
13	63287	48.9	39.4	199.964335639029	0.032	0.34	0.189	1.422	0.315	0.316	0.771	0.762	0.229	0.239	30
14	63288	48.9	39.5	199.894802734988	0.028	0.337	0.191	1.421	0.314	0.313	0.762	0.752	0.238	0.248	30
15	63289	48.9	39.6	199.663729811017	0.029	0.34	0.196	1.421	0.319	0.318	0.762	0.754	0.238	0.246	30
16	63290	48.9	39.7	199.605048044693	0.031	0.337	0.19	1.426	0.305	0.308	0.754	0.746	0.246	0.254	30
17	63291	48.9	39.8	199.854217951954	0.031	0.334	0.182	1.438	0.29	0.294	0.738	0.728	0.262	0.272	30
18	63292	48.9	39.9	199.943062104105	0.038	0.336	0.187	1.438	0.299	0.3	0.741	0.731	0.259	0.269	30
19	63293	48.9	40	199.956589146307	0.037	0.341	0.193	1.436	0.302	0.303	0.741	0.731	0.259	0.269	30
20	63294	48.8	-3.6	198.182341318948	0.133	0.321	0.145	1.387	0.174	0.184	0.539	0.526	0.461	0.475	30
21	63295	48.8	-3.5	198.131367924223	0.134	0.316	0.143	1.417	0.163	0.179	0.564	0.546	0.437	0.454	30
22	63296	48.8	-3.4	198.469140715505	0.135	0.317	0.142	1.435	0.168	0.187	0.606	0.59	0.395	0.411	30
23	63297	48.8	-3.3	199.937623351901	0.122	0.318	0.14	1.441	0.17	0.187	0.619	0.601	0.381	0.399	30
24	63298	48.8	-3.2	199.915274490046	0.124	0.32	0.143	1.446	0.173	0.19	0.625	0.607	0.376	0.393	30
