# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2022-12-19

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/thesis/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
48	41085	54.2	16.8	199.829778441488	0.109	0.266	0.102	1.488	0.102	0.116	0.358	0.356	0.642	0.644	30
49	41086	54.2	16.9	199.186581270397	0.114	0.261	0.097	1.465	0.082	0.096	0.305	0.303	0.696	0.697	30
50	41087	54.2	17	199.066678319947	0.11	0.257	0.094	1.449	0.063	0.077	0.246	0.247	0.754	0.753	30
51	41088	54.2	17.1	199.670686647217	0.104	0.255	0.096	1.466	0.065	0.079	0.253	0.254	0.747	0.746	30
52	41089	54.2	17.2	199.898578633849	0.103	0.257	0.099	1.475	0.072	0.086	0.269	0.27	0.731	0.73	30
53	41090	54.2	17.3	199.91598587843	0.108	0.259	0.098	1.489	0.079	0.094	0.292	0.293	0.708	0.707	30
54	41091	54.2	17.4	199.95025103271	0.105	0.261	0.1	1.509	0.087	0.102	0.319	0.32	0.681	0.68	30
55	41092	54.2	17.5	199.913826192362	0.108	0.263	0.102	1.512	0.09	0.104	0.334	0.336	0.665	0.664	30
56	41093	54.2	17.6	199.876391361386	0.117	0.267	0.103	1.498	0.087	0.1	0.329	0.327	0.671	0.673	30
57	41094	54.2	17.7	199.404496013276	0.121	0.273	0.101	1.47	0.082	0.094	0.3	0.296	0.7	0.704	30
58	41095	54.2	17.8	199.361878558529	0.116	0.27	0.101	1.455	0.079	0.09	0.271	0.268	0.729	0.732	30
59	41096	54.2	17.9	199.799254571253	0.109	0.269	0.105	1.475	0.077	0.089	0.27	0.27	0.73	0.73	30
60	41097	54.2	18	199.736709864355	0.112	0.275	0.105	1.49	0.084	0.097	0.303	0.301	0.697	0.699	30
61	41098	54.2	18.1	199.810893394055	0.122	0.274	0.108	1.499	0.098	0.111	0.351	0.348	0.649	0.652	30
62	41099	54.2	18.2	199.938186676269	0.116	0.274	0.11	1.487	0.103	0.115	0.359	0.357	0.641	0.643	30
63	41100	54.2	18.3	199.81969599957	0.12	0.279	0.11	1.476	0.104	0.117	0.381	0.377	0.62	0.623	30
64	41101	54.2	18.4	199.908468893077	0.124	0.281	0.109	1.473	0.111	0.124	0.398	0.392	0.602	0.607	30
65	41102	54.2	18.5	199.850765752991	0.103	0.278	0.112	1.506	0.116	0.13	0.4	0.399	0.6	0.601	30
66	41103	54.2	18.6	199.987756997803	0.091	0.282	0.118	1.537	0.145	0.162	0.465	0.465	0.535	0.535	30
