# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-26

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	qpetraea_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
51	79473	44.8	27.2	200	0.023	0.338	0.198	1.464	0.288	0.3	0.778	0.764	0.223	0.236	30
52	79474	44.8	27.3	200	0.024	0.334	0.193	1.458	0.274	0.283	0.762	0.747	0.239	0.253	30
53	79475	44.8	27.4	200	0.023	0.331	0.192	1.458	0.269	0.278	0.76	0.745	0.24	0.255	30
54	79476	44.8	27.5	200	0.023	0.325	0.19	1.459	0.269	0.279	0.756	0.74	0.245	0.26	30
55	79477	44.8	27.6	200	0.027	0.323	0.188	1.466	0.27	0.28	0.747	0.732	0.253	0.268	30
56	79478	44.8	27.7	200	0.03	0.314	0.18	1.477	0.261	0.27	0.724	0.709	0.276	0.291	30
57	79479	44.8	27.8	200	0.036	0.336	0.191	1.462	0.293	0.299	0.741	0.724	0.259	0.276	30
58	79480	44.8	27.9	200	0.046	0.338	0.177	1.447	0.294	0.299	0.708	0.688	0.292	0.313	30
59	79481	44.8	28	200	0.035	0.344	0.195	1.471	0.315	0.327	0.778	0.764	0.222	0.236	30
60	79482	44.8	28.1	200	0.042	0.329	0.191	1.489	0.269	0.282	0.753	0.742	0.247	0.258	30
61	79483	44.8	28.2	200	0.047	0.308	0.184	1.495	0.242	0.258	0.747	0.742	0.253	0.258	30
62	79484	44.8	28.3	200	0.068	0.312	0.19	1.492	0.248	0.264	0.724	0.717	0.277	0.284	30
63	79485	44.8	28.4	199.999920095518	0.08	0.322	0.197	1.495	0.259	0.278	0.704	0.693	0.296	0.307	30
64	79486	44.8	28.5	199.99756352259	0.081	0.321	0.197	1.501	0.26	0.285	0.697	0.686	0.303	0.315	30
65	79487	44.8	28.6	199.998197233835	0.079	0.315	0.193	1.493	0.254	0.28	0.721	0.713	0.279	0.288	30
66	79488	44.8	28.7	199.996678417941	0.066	0.315	0.194	1.487	0.259	0.291	0.752	0.749	0.248	0.251	30
67	79489	44.8	28.8	199.993392270208	0.06	0.314	0.188	1.483	0.259	0.286	0.743	0.74	0.257	0.261	30
68	79490	44.8	29.2	198.376610236434	0.062	0.35	0.162	1.416	0.268	0.255	0.669	0.644	0.332	0.356	30
69	79491	44.8	29.3	196.507830305352	0.07	0.35	0.16	1.402	0.268	0.257	0.663	0.637	0.337	0.363	30
70	79492	44.8	29.4	197.735410506278	0.075	0.353	0.162	1.396	0.273	0.262	0.65	0.624	0.35	0.376	30
71	79493	44.8	33.6	199.912404340417	0.09	0.307	0.19	1.53	0.27	0.293	0.664	0.665	0.336	0.335	30
72	79494	44.8	33.7	199.408780644878	0.092	0.316	0.205	1.529	0.284	0.316	0.699	0.706	0.301	0.294	30
73	79495	44.8	33.8	199.093881287874	0.099	0.321	0.209	1.52	0.277	0.308	0.684	0.69	0.316	0.31	30
74	79496	44.8	33.9	199.209983450084	0.107	0.322	0.207	1.515	0.287	0.315	0.689	0.692	0.312	0.308	30
75	79497	44.8	34	198.934512986185	0.118	0.32	0.2	1.513	0.285	0.316	0.685	0.686	0.315	0.314	30
76	79498	44.8	34.1	198.42540313945	0.133	0.322	0.195	1.512	0.274	0.305	0.685	0.683	0.315	0.317	30
77	79499	44.8	34.2	198.624652681669	0.142	0.319	0.187	1.498	0.268	0.298	0.68	0.672	0.32	0.328	30
78	79500	44.8	34.3	197.8456725499	0.164	0.325	0.174	1.474	0.253	0.278	0.652	0.64	0.348	0.36	30
79	79501	44.8	34.4	197.197014754139	0.169	0.325	0.167	1.463	0.24	0.263	0.63	0.618	0.371	0.382	30
80	79502	44.8	34.5	196.948594301803	0.163	0.321	0.178	1.471	0.246	0.275	0.627	0.626	0.374	0.374	30
81	79503	44.8	34.6	197.662935285357	0.16	0.318	0.185	1.487	0.255	0.289	0.626	0.633	0.374	0.367	30
82	79504	44.8	34.7	195.548974905746	0.164	0.316	0.185	1.488	0.257	0.293	0.627	0.635	0.373	0.364	30
83	79532	44.7	-1	199.839645626	0.06	0.289	0.136	1.504	0.177	0.189	0.425	0.416	0.575	0.584	30
84	79533	44.7	-0.9	199.925492364741	0.064	0.275	0.127	1.513	0.155	0.183	0.367	0.371	0.633	0.629	30
85	79534	44.7	-0.8	199.931595496197	0.069	0.276	0.132	1.511	0.162	0.19	0.385	0.388	0.615	0.612	30
86	79535	44.7	-0.7	199.821435782241	0.071	0.284	0.136	1.504	0.172	0.199	0.401	0.402	0.599	0.598	30
87	79536	44.7	-0.6	199.939725691286	0.078	0.284	0.141	1.509	0.179	0.209	0.424	0.425	0.576	0.575	30
88	79537	44.7	-0.5	199.988333883364	0.093	0.289	0.149	1.52	0.189	0.218	0.479	0.475	0.521	0.525	30
89	79538	44.7	-0.4	199.999220690622	0.1	0.294	0.156	1.519	0.195	0.224	0.528	0.521	0.472	0.479	30
90	79539	44.7	-0.3	199.999762003019	0.107	0.3	0.169	1.522	0.213	0.246	0.598	0.59	0.402	0.41	30
91	79540	44.7	-0.2	199.99966086804	0.106	0.305	0.176	1.521	0.235	0.271	0.627	0.622	0.373	0.378	30
92	79541	44.7	-0.1	199.999989131393	0.105	0.307	0.179	1.52	0.236	0.271	0.625	0.618	0.375	0.382	30
93	79542	44.7	0	199.999632726172	0.109	0.31	0.178	1.518	0.238	0.269	0.634	0.627	0.366	0.374	30
94	79543	44.7	0.1	200	0.111	0.311	0.181	1.519	0.242	0.27	0.652	0.644	0.348	0.356	30
95	79544	44.7	0.2	200	0.11	0.312	0.184	1.518	0.253	0.283	0.668	0.663	0.332	0.338	30
96	79545	44.7	0.3	200	0.113	0.32	0.196	1.519	0.266	0.298	0.692	0.689	0.308	0.312	30
97	79546	44.7	0.4	200	0.114	0.32	0.196	1.518	0.271	0.297	0.692	0.688	0.308	0.312	30
98	79547	44.7	0.5	200	0.114	0.32	0.197	1.518	0.273	0.302	0.701	0.698	0.299	0.303	30
99	79548	44.7	0.6	200	0.11	0.321	0.2	1.52	0.279	0.309	0.706	0.704	0.294	0.296	30
100	79549	44.7	0.7	200	0.108	0.321	0.201	1.52	0.273	0.309	0.701	0.7	0.299	0.3	30
101	79550	44.7	0.8	199.998712143419	0.122	0.32	0.199	1.516	0.261	0.304	0.683	0.687	0.317	0.314	30
102	79551	44.7	0.9	199.993403601012	0.134	0.314	0.186	1.511	0.225	0.284	0.616	0.627	0.384	0.373	30
103	79552	44.7	1	199.999183675372	0.145	0.316	0.185	1.504	0.218	0.283	0.6	0.614	0.4	0.386	30
104	79553	44.7	1.1	199.996849987001	0.145	0.321	0.19	1.504	0.239	0.31	0.629	0.645	0.371	0.355	30
105	79554	44.7	1.2	199.999871601603	0.146	0.323	0.198	1.506	0.248	0.317	0.639	0.655	0.361	0.345	30
106	79555	44.7	1.3	199.999811379796	0.146	0.322	0.2	1.508	0.255	0.322	0.646	0.661	0.354	0.34	30
