"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1679	1735	"Lake Mendota"	43.1	-89.41667	45.5	"AWI"	45.5	-9.5	326.5	124.5	0	0	0	4	0	0	0	0	0	0	1	1	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	11	0	2	22	0	0	0	1	0	0	0	0	2
1679	1735	"Lake Mendota"	43.1	-89.41667	55.5	"AWI"	55.5	18	377.5	175.5	0	0	0	2	2	0	9	8	0	0	0	0	2	0	2	0	6	0	0	1	0	0	7	1	26	0	4	16	0	0	187	1	0	0	2	0	0	1	2	13
1679	1735	"Lake Mendota"	43.1	-89.41667	65.5	"AWI"	65.5	43.5	446.5	227.5	0	0	0	5	2	0	10	5	0	0	2	0	2	0	8	0	2	0	0	0	1	0	5	2	31	0	1	13	0	3	215	0	2	0	0	0	1	0	3	15
1679	1735	"Lake Mendota"	43.1	-89.41667	85.5	"AWI"	85.5	173	965	489	0	0	0	3	3	0	11	8	0	0	4	2	1	0	1	0	4	0	0	0	0	0	4	1	33	0	4	13	0	0	177	0	0	0	0	0	0	1	4	6
1679	1735	"Lake Mendota"	43.1	-89.41667	105.5	"AWI"	105.5	317	1451	766.5	0	0	0	3	3	0	11	9	0	0	0	1	13	0	5	0	3	0	0	1	0	0	1	1	34	0	0	12	2	0	159	0	0	2	0	0	0	4	3	9
1679	1735	"Lake Mendota"	43.1	-89.41667	125.5	"AWI"	125.5	446	1727	1088	0	0	0	2	5	0	12	5	0	0	1	3	6	0	5	0	4	0	0	0	0	0	3	0	32	0	3	15	0	0	138	0	0	0	1	0	0	0	1	6
1679	1735	"Lake Mendota"	43.1	-89.41667	185.5	"AWI"	185.5	1698	2243.5	1961	2	0	6	3	5	0	11	1	0	0	0	0	4	0	2	0	4	0	0	0	0	0	3	1	0	0	2	11	0	0	122	0	0	0	0	0	0	1	0	5
1679	1735	"Lake Mendota"	43.1	-89.41667	205.5	"AWI"	205.5	1898.5	2569	2206.5	0	0	0	11	7	0	12	5	0	0	0	1	5	0	2	0	1	0	0	0	0	0	2	1	27	0	6	22	0	0	158	1	0	0	3	0	0	0	0	8
1679	1735	"Lake Mendota"	43.1	-89.41667	215.5	"AWI"	215.5	1951	2838	2305	0	0	0	3	4	0	15	5	0	0	1	1	3	0	0	0	1	0	1	0	0	0	5	0	34	1	4	39	0	0	239	1	0	0	2	0	0	1	2	11
1679	1735	"Lake Mendota"	43.1	-89.41667	225.5	"AWI"	225.5	1991	3135	2400	1	0	0	16	8	0	14	5	0	0	0	1	3	0	1	10	5	0	0	0	0	0	3	2	28	0	7	46	0	1	159	0	0	0	1	0	1	2	0	8
1679	1735	"Lake Mendota"	43.1	-89.41667	245.5	"AWI"	245.5	2139.5	3375.5	2629	0	4	7	10	4	0	14	7	0	1	3	1	3	0	2	0	2	0	0	1	0	0	3	1	34	0	4	51	0	2	159	0	0	0	1	0	0	1	1	14
1679	1735	"Lake Mendota"	43.1	-89.41667	285.5	"AWI"	285.5	2397.5	3919	3080.5	1	0	0	6	4	0	7	11	0	0	1	2	4	1	1	0	2	0	0	1	0	0	6	0	0	0	7	31	0	0	155	0	0	0	1	0	0	2	0	8
1679	1735	"Lake Mendota"	43.1	-89.41667	325.5	"AWI"	325.5	2725	4419	3541.5	0	0	0	5	0	0	2	12	0	0	1	0	1	0	3	0	1	0	0	0	1	0	15	1	26	0	0	35	0	0	150	0	0	0	3	0	1	0	0	8
