"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Celastraceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Indeterminable"	"Lamiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
759	778	"Eaglenest Lake"	57.76667	-112.1	0	"AWI"	0	-106	58	-28	0	40	0	0	3	0	27	0	1	0	0	0	0	5	0	1	0	0	19	0	0	89.5	160.5	0	2	0	3	0	0	0	4	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	12.5	"AWI"	12.5	-1	777.5	282	0	32	1	0	2	0	49	0	1	0	0	0	0	6	0	1	0	0	38	0	0	80	159.5	0	6	0	1	0	0	0	7	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	25	"AWI"	25	37	1583	584	1	35	0	0	5	0	33	1	0	0	0	0	0	5	0	1	0	0	34	0	0	100	149.5	0	7	0	6	0	0	0	8	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	37.5	"AWI"	37.5	75.5	2390	886	0	34	0	0	2	0	38	1	1	0	0	0	0	5	0	2	0	0	21	0	0	112.5	140	0	2	0	3	0	0	0	11	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	50	"AWI"	50	182	3042	1186	0	30	4	0	1	0	28	0	0	0	0	0	0	5	0	1	0	0	31	0	0	84	160.5	0	11	0	7	0	0	0	8	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	67.5	"AWI"	67.5	405	3406.5	1611	0	45	0	0	0	0	36	0	0	1	0	0	1	3	0	2	0	0	27	0	0	98.5	143.5	0	7	0	1	0	0	0	14	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	75	"AWI"	75	463	3618	1791	1	24	0	0	2	0	44	0	1	0	0	0	1	3	0	0	0	0	22	0	0	105	156.5	0	3	0	3	0	0	0	11	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	87.5	"AWI"	87.5	554.5	4082.5	2102.5	0	44	0	0	0	0	36	0	0	0	0	0	0	6	0	0	0	0	41	0	0	79.5	170.5	0	6	0	1	0	0	0	12	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	100	"AWI"	100	797	4428	2411	0	45	1	0	2	0	37	0	0	0	0	1	0	4	0	2	0	0	37	0	0	80.5	149	0	5	0	5	0	0	0	10	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	112.5	"AWI"	112.5	1101	4671.5	2744.5	1	64	2	0	1	0	41	0	0	0	0	0	0	5	0	1	0	0	36	0	0	71	146.5	0	5	0	3	0	0	0	16	1	0	0	1
759	778	"Eaglenest Lake"	57.76667	-112.1	125	"AWI"	125	1307	5033	3103	0	71	0	0	4.5	0	46	0	0	0	0	0	0	6	0	0	0	0	33	0	0	62.5	130	0	9	0	3	0	0	0	16	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	137.5	"AWI"	137.5	1457.5	5523.5	3429.5	0	77	0	0	5	0	40	2	0	0	0	0	0	7	0	0	0	0	41	0	0	54.5	142.5	0	8	0	3	0	0	0	15	0	0	0	1
759	778	"Eaglenest Lake"	57.76667	-112.1	150	"AWI"	150	1883	5733	3743	1	50	0	0	4	0	32	1	0	0	0	0	0	5	0	0	0	0	13	0	0	106.5	121	0	2	0	3	0	0	0	8	0	0	0	0
759	778	"Eaglenest Lake"	57.76667	-112.1	157.5	"AWI"	157.5	2103	5837.5	3930	0	50	2	0	1	0	37	0	0	0	0	0	0	7	0	1	0	0	43	0	0	88	153.5	1	6	0	2	0	0	0	7	0	0	0	0
