"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Liquidambar"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
249	254	"Belmont Bog"	42.25	-77.91667	10	"AWI"	10	-74	278	59	0	22	2	2	0	2	0	41	0	0	0	3	0	5	0	0	7	2	2	0	47	28	0	0	0	39	0	0	0	0	0	0	16	2	0	0	0	31	0	7	40	0	0	0	0	5	3	0	0	0	0	61	10	0	0	0
249	254	"Belmont Bog"	42.25	-77.91667	14	"AWI"	14	-41	309	111	0	18	1	2	1	2	0	31	0	0	0	2	0	2	0	2	4	2	2	0	22	31	0	0	0	25	0	0	0	0	4	0	22	0	0	0	3	20	0	4	38	0	0	0	0	9	5	0	0	0	3	82	16	0	0	1
249	254	"Belmont Bog"	42.25	-77.91667	20	"AWI"	20	-13	401	182	0	10	0	0	0	3	0	24	0	0	0	3	0	1	0	0	2	0	3	0	9	34	0	0	0	39	0	0	0	0	1	0	7	0	0	0	2	3	0	8	35	0	0	0	0	2	3	0	0	0	4	109	7	0	0	0
249	254	"Belmont Bog"	42.25	-77.91667	24	"AWI"	24	47	425	235	0	15	4	0	0	0	0	34	0	0	0	4	0	1	0	0	2	1	1	0	4	26	0	0	0	25	0	0	0	0	1	0	13	0	0	0	1	5	0	0	50	0	0	0	0	5	2	0	0	0	3	102	4	0	0	0
249	254	"Belmont Bog"	42.25	-77.91667	30	"AWI"	30	95	491	319	0	8	1	0	0	0	0	21	0	0	0	3	0	4	0	0	0	0	1	0	3	19	0	0	0	38	0	0	1	0	0	0	5	0	0	0	1	3	0	0	36	0	0	0	0	0	2	0	0	1	1	121	4	0	0	0
249	254	"Belmont Bog"	42.25	-77.91667	40	"AWI"	40	231	569	443	0	11	2	0	0	0	0	37	0	0	0	7	0	5	0	0	0	0	0	0	9	22	0	0	0	51	0	0	0	0	0	0	16	0	0	0	0	0	0	3	36	0	0	0	0	1	1	1	0	0	2	100	4	0	0	0
249	254	"Belmont Bog"	42.25	-77.91667	50	"AWI"	50	513	831	608	0	8	1	0	0	0	0	35	0	0	0	2	0	1	0	0	0	1	0	0	6	28	0	0	0	25	0	0	0	0	0	0	14	0	0	0	1	1	0	0	44	0	0	0	0	0	0	0	0	0	3	109	4	0	0	0
249	254	"Belmont Bog"	42.25	-77.91667	60	"AWI"	60	609	1581	915	0	15	0	0	0	0	0	33	0	1	0	2	0	7	0	0	1	1	1	0	3	23	0	0	0	56	0	0	1	1	1	0	19	0	0	0	2	0	0	0	42	0	0	0	0	0	0	0	0	0	1	102	3	0	0	0
249	254	"Belmont Bog"	42.25	-77.91667	70	"AWI"	70	750	1964	1225	0	13	1	0	0	1	0	23	0	0	0	1	0	1	0	0	1	1	0	0	3	51	0	0	0	60	3	0	1	1	0	0	9	0	0	0	2	0	0	2	31	0	0	0	0	0	0	0	0	0	1	104	4	0	1	0
249	254	"Belmont Bog"	42.25	-77.91667	80	"AWI"	80	958	2334	1552	0	19	1	0	0	1	0	33	0	0	0	3	0	17	0	0	1	0	0	0	8	62	0	0	0	42	0	0	0	0	5	0	12	0	0	0	3	1	0	1	43	0	0	0	0	0	0	0	0	0	0	78	10	0	0	0
