"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Carya"	"Casuarina"	"Cephalanthus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Juglans"	"Liquidambar"	"Melaleuca"	"Myrica"	"Nyssa"	"Onagraceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Salix"	"Schinus"	"Trema"
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	0.5	"AWI"	0.5	-56.5	-22	-39	77	0	0	0	2	1	0	10	0	0	0	0	0	0	0	4	0	0	20	1	0	2	1	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	1.5	"AWI"	1.5	-46.5	7.5	-23.5	119	2	19	0	8	25	0	1	0	0	3	1	0	0	2	3	0	1	28	5	3	5	6	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	2.5	"AWI"	2.5	-37.5	37	-6	105	3	16	2	6	16	3	3	0	1	1	0	0	0	0	9	0	0	33	6	2	13	3	1	3
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	3.5	"AWI"	3.5	-26	55	15.5	131	1	0	0	3	24	3	4	0	0	0	0	0	0	0	1	0	0	25	4	1	4	9	0	5
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	5.5	"AWI"	5.5	10.5	149	75.5	185	0	0	0	0	10	0	1	0	3	0	0	0	0	0	2	0	0	28	1	4	3	7	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	6.5	"AWI"	6.5	45	262.5	130	235	1	0	1	0	19	2	2	0	0	0	0	0	0	0	1	0	1	14	2	3	0	9	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	7.5	"AWI"	7.5	81.5	383	194.5	232	1	0	0	0	12	0	2	0	1	0	0	0	0	0	0	0	0	20	0	2	1	4	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	10.5	"AWI"	10.5	259.5	674	480.5	157	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	100	4	1	3	2	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	12.5	"AWI"	12.5	483.5	904.5	686.5	123	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	106	0	4	5	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	13.5	"AWI"	13.5	578	1048.5	785	55	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	185	0	2	1	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	14.5	"AWI"	14.5	634	1237	880	34	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	156	1	1	2	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	15.5	"AWI"	15.5	696.5	1404.5	977.5	76	1	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	191	2	4	1	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	21	"AWI"	21	1046	2096	1524	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	167	1	11	2	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	25	"AWI"	25	1358	2543	1924	156	0	0	1	0	0	0	5	0	0	0	0	1	0	0	1	0	0	98	5	20	1	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	31	"AWI"	31	1900	3044	2518	206	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	0	0	80	0	0	4	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	35	"AWI"	35	2292	3342	2911	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	0	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	41	"AWI"	41	3190	3636	3464	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	57	0	0	0	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	45	"AWI"	45	3401	3929	3670	90	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	67	2	0	2	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	51	"AWI"	51	3673	4257	3934	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	1	1	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	55	"AWI"	55	3822	4472	4107	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	46	1	0	3	0	0	0
963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	25.77889	-80.51111	61	"AWI"	61	4125	4759	4369	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
