"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1533	1571	"Lac Louis"	47.2875	-79.11667	3	"AWI"	3	-25	228	73	0	1	17	1	0	1	0	49	0	0	0	0	0	0	0	0	1	0	1	0	0	0	14	122	1	5	6	0	1	0	0	0	0	2
1533	1571	"Lac Louis"	47.2875	-79.11667	10	"AWI"	10	38	492	200	0	2	4	1	0	0	0	78	0	0	0	2	0	0	0	0	5	0	0	0	0	0	27	79	1	8	4	0	0	0	0	0	0	1
1533	1571	"Lac Louis"	47.2875	-79.11667	20	"AWI"	20	157	761	396	0	1	11	0	0	0	0	66	0	0	1	3	0	0	0	1	2	3	0	0	0	0	16	96	2	0	9	0	0	0	0	0	1	1
1533	1571	"Lac Louis"	47.2875	-79.11667	30	"AWI"	30	289	1028	594	2	1	14	0	1	3	2	108	0	2	0	2	0	0	0	2	2	0	0	4	0	2	10	86	1	0	6	0	1	0	0	0	0	1
1533	1571	"Lac Louis"	47.2875	-79.11667	40	"AWI"	40	433	1271	792	6	3	11	1	0	1	0	71	0	0	0	1	0	0	0	0	7	4	0	2	0	0	20	156	0	0	3	0	0	0	0	0	3	2
1533	1571	"Lac Louis"	47.2875	-79.11667	50	"AWI"	50	584	1507	990	2	3	8	2	0	1	0	70	0	2	0	3	0	0	0	2	2	0	0	1	1	0	14	96	0	0	3	0	0	0	0	0	2	1
1533	1571	"Lac Louis"	47.2875	-79.11667	60	"AWI"	60	741	1739	1191	7	4	18	2	0	1	2	109	0	2	0	2	0	0	0	2	0	1	0	2	0	0	28	148	0	4	9	0	0	0	0	0	0	5
1533	1571	"Lac Louis"	47.2875	-79.11667	70	"AWI"	70	902	1965	1391	1	2	12	1	0	3	0	158	0	2	0	1	0	0	2	1	3	0	1	5	0	0	25	130	0	0	5	0	1	1	2	0	2	2
1533	1571	"Lac Louis"	47.2875	-79.11667	80	"AWI"	80	1077	2191	1588	5	2	9	0	1	1	0	122	0	5	0	0	0	0	0	1	0	1	0	0	1	1	19	184	1	2	5	0	0	0	0	0	1	4
1533	1571	"Lac Louis"	47.2875	-79.11667	90	"AWI"	90	1248	2388	1792	2	1	12	1	0	0	0	92	0	1	0	4	0	0	0	3	2	1	0	3	0	1	25	107	1	3	3	0	0	0	0	0	0	3
1533	1571	"Lac Louis"	47.2875	-79.11667	100	"AWI"	100	1417	2597	1989	1	2	9	0	0	3	0	70	0	3	0	1	0	0	0	1	2	0	0	1	2	0	13	104	1	1	5	0	1	0	0	0	4	5
1533	1571	"Lac Louis"	47.2875	-79.11667	110	"AWI"	110	1613	2820	2188	3	1	11	0	0	1	0	97	0	1	1	2	0	0	1	0	2	1	0	1	1	1	26	127	0	1	4	0	0	0	0	0	1	4
1533	1571	"Lac Louis"	47.2875	-79.11667	120	"AWI"	120	1784	3032	2388	4	2	16	1	0	2	0	125	0	2	1	7	0	0	0	2	1	0	0	0	0	0	29	194	1	4	7	0	0	0	0	0	1	5
1533	1571	"Lac Louis"	47.2875	-79.11667	130	"AWI"	130	1982	3237	2585	2	3	14	0	0	1	0	107	0	8	2	4	0	0	0	2	6	0	0	0	0	0	11	137	1	2	3	0	0	0	0	0	0	3
