"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cephalanthus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
826	852	"Fresh Pond"	41.15833	-71.575	0	"AWI"	0	-135	39	-47	0	0	7	2	0	0	0	31	0	2	2	0	0	0	5	0	4	3	4	1	5	1	0	8	0	1	0	46	4	0	1	17	27	0	91	52	1	0	0	2	26	0	0	0	4	1
826	852	"Fresh Pond"	41.15833	-71.575	10	"AWI"	10	-66	481	95	0	0	4	1	0	0	0	15	0	1	2	0	0	0	0	1	3	0	0	0	0	0	0	16	1	0	0	16	2	0	0	0	34	0	113	36	0	0	0	2	45	0	0	0	0	0
826	852	"Fresh Pond"	41.15833	-71.575	20	"AWI"	20	15	741	263	0	0	8	0	2	0	0	18	2	3	1	0	0	0	3	0	1	0	0	4	0	0	0	12	0	0	0	2	6	0	0.5	0	30	3	84	40	0	0	0	2	57	0	0	0	5	0
826	852	"Fresh Pond"	41.15833	-71.575	30	"AWI"	30	102	966	424	0	0	3	0	0	0	0	16	0	0	1	0	0	0	2	0	3	0	0	6	0	0	2	34	0	1	0	10	5	0	1	0	9	0	84	38	0	0	0	1	81	0	0	0	1	3
826	852	"Fresh Pond"	41.15833	-71.575	40	"AWI"	40	209	1182	604	0	0	10	0	0	0	0	23	0	0	4	0	2	0	0	1	1	6	0	4	0	0	9	12	4	0	0	23	18	0	0	0	4	0	0	83	0	0	0	8	47	0	0	0	6	2
826	852	"Fresh Pond"	41.15833	-71.575	50	"AWI"	50	330	1405	772	0	0	7	0	0	0	0	22	0	0	8	0	2	2	5	1	7	7	1	5	0	0	5	12	3	1	0	30	12	1	0	29	0	0	0	138	0	2	0	8	28	0	0	0	5	0
826	852	"Fresh Pond"	41.15833	-71.575	60	"AWI"	60	454	1580	930	0	6	14	0	0	1	0	36	0	0	24	0	0	0	3	1	1	4	0	15	7	0	1	11	9	0	0	38	8	3	2.5	30	0	0	0	147	0	0	0	10	4	0	0	1	7	2
826	852	"Fresh Pond"	41.15833	-71.575	70	"AWI"	70	579	1750	1102	0	0	8	0	0	0	0	42	0	0	14	0	1	0	3	0	2	3	0	6	0	0	2	6	10	0	0	43	8	0	0.5	0	0	0	0	173	0	0	0	4	0	0	0	0	5	5
826	852	"Fresh Pond"	41.15833	-71.575	80	"AWI"	80	727	1949	1272	0	0	2	0	0	0	0	27	1	0	19	1	0	0	3	0	0	3	0	16	0	0	2	21	4	0	0	37	5	0	1.5	0	0	0	0	177	0	0	1	8	0	0	0	0	1	1
826	852	"Fresh Pond"	41.15833	-71.575	85	"AWI"	85	813	2040	1360	1	5	2	0	2	1	0	31	0	0	24	0	1	0	2	1	0	2	1	16	5	0	2	10	1	0	0	54	4	0	1	20.5	0	0	0	165	1	0	0	2	0	0	0	0	6	1
826	852	"Fresh Pond"	41.15833	-71.575	95	"AWI"	95	966	2227	1526	0	7	5	0	0	0	0	27	0	0	15	0	0	0	3	0	0	7	0	15	0	2	1	8	3	0	0	49	4	3	0.5	24.5	0	0	0	190	0	0	0	16	0	1	1	0	4	3
826	852	"Fresh Pond"	41.15833	-71.575	105	"AWI"	105	1124	2407	1700	0	0	4	0	0	0	0	21	0	0	12	0	0	0	6	2	0	1	0	25	0	1	0	2	3	0	0	36	3	0	2.5	19	0	0	0	171	0	0	0	3	0	0	0	0	5	2
826	852	"Fresh Pond"	41.15833	-71.575	115	"AWI"	115	1285	2596	1871	0	8	7	0	0	1	0	19	0	0	12	0	6	0	8	0	1	1	0	16	4	0	1	2	6	0	0	36	4	0	0.5	0	0	0	0	180	0	0	2	4	0	0	0	0	3	3
826	852	"Fresh Pond"	41.15833	-71.575	125	"AWI"	125	1453	2769	2038	0	5	6	0	0	1	0	31	0	0	18	0	1	0	2	1	1	2	0	14	0	0	2	11	11	1	1	16	5	1	0	18	0	0	0	125	0	0	1	9	0	0	0	0	5	2
826	852	"Fresh Pond"	41.15833	-71.575	135	"AWI"	135	1611	2961	2210	0	0	3	0	0	0	0	26	0	0	18	0	0	0	2	0	2	1	0	9	0	2	0	19	2	1	0	39	5	3	1.5	22	0	0	0	211	0	0	2	10	0	0	0	0	9	2
826	852	"Fresh Pond"	41.15833	-71.575	145	"AWI"	145	1787	3163	2380	0	0	4	2	0	0	0	21	0	0	21	0	0	0	3	2	4	0	0	7	0	0	1	7	5	0	0	34	4	1	0	18	0	0	0	156	0	0	1	7	0	2	0	1	3	2
826	852	"Fresh Pond"	41.15833	-71.575	155	"AWI"	155	1964	3368	2543	0	0	2	0	0	0	0	23	0	0	21	1	0	0	6	2	0	0	0	12	5	0	1	14	5	0	0	44	7	1	0.5	0	0	0	0	171	0	0	0	6	0	0	0	0	1	6
826	852	"Fresh Pond"	41.15833	-71.575	165	"AWI"	165	2167	3565	2709	0	5	5	0	0	0	0	28	0	0	17	2	0	0	4	0	0	0	0	14	4	0	1	4	7	0	0	48	5	0	1.5	0	0	0	0	168	0	0	0	5	0	0	0	0	6	3
826	852	"Fresh Pond"	41.15833	-71.575	185	"AWI"	185	2632	3960	3039	0	0	15	0	0	1	0	29	0	0	20	0	0	0	3	0	0	1	0	26	0	0	2	2	3	1	0	28	6	1	0	0	0	1	0	178	0	0	0	3	0	0	0	1	5	6
826	852	"Fresh Pond"	41.15833	-71.575	195	"AWI"	195	2880	4151	3190	0	9	20	0	0	0	0	36	0	0	14	0	2	0	6	1	0	1	0	31	3	0	0	7	226	1	1	35	7	0	0	20	0	0	0	190	0	0	0	1	0	0	0	1	2	4
826	852	"Fresh Pond"	41.15833	-71.575	205	"AWI"	205	3138	4508	3540	0	0	28	1	0	0	0	32	0	0	11	0	0	3	3	0	0	0	0	46	0	0	0	8	159	1	0	2	1	0	0	18	0	0	0	152	0	0	0	4	0	0	0	0	1	2
826	852	"Fresh Pond"	41.15833	-71.575	215	"AWI"	215	3419	5260	4108	0	0	72	0	0	0	0	21	0	0	21	1	0	0	6	0	0	0	0	12	0	0	0	3	213	1	0	10	5	0	0.5	0	0	0	0	160	0	0	0	5	0	0	0	1	0	1
826	852	"Fresh Pond"	41.15833	-71.575	225	"AWI"	225	3783	5842	4714	0	5	42	0	1	1	0	18	0	0	15	0	1	0	2	1	0	2	0	13	7	0	0	12	57	3	0	12	4	0	0	19.5	0	0	0	158	2	0	0	3	0	0	0	0	0	3
826	852	"Fresh Pond"	41.15833	-71.575	235	"AWI"	235	4239	6319	5318	0	4	75	1	0	0	0	31	0	0	4	0	0	0	2	1	0	4	0	9	5	0	1	6	33	0	0	10	4	0	0.5	0	0	0	0	178	0	0	0	2	0	0	0	0	2	1
826	852	"Fresh Pond"	41.15833	-71.575	245	"AWI"	245	4781	6739	5912	0	0	44	0	1	1	0	18	0	0	1	0	0	1	4	1	0	0	0	21	0	0	0	9	26	0	0	7	4	1	0	0	0	0	0	232	0	0	0	1	0	1	0	0	7	4
826	852	"Fresh Pond"	41.15833	-71.575	255	"AWI"	255	5486	7056	6467	0	0	28	0	0	0	0	10	0	0	3	1	0	0	1	2	1	0	0	11	3	0	1	5	39	0	0	6	5	0	2	0	0	3	0	220	0	0	0	1	0	0	1	0	8	10
