"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Isoëtes"	"Larix"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Tsuga"
297	303	"Border Beacon"	55.33333	-63.2	1380	"AWI"	1380	-146	19	-67	0	80	2	1	6	74	0	0	19	0	0	2	0	0	139	12	0	0	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1385	"AWI"	1385	-75	359	91	1	97	0	2	6	77	0	1	37	1	0	1	0	0	117	13	3	0	0	1	0	2	0	0
297	303	"Border Beacon"	55.33333	-63.2	1395	"AWI"	1395	51	892	421	0	51	0	0	0	68	0	0	12	6	1	3	0	0	173	11	3	0	0	0	0	0	0	0
297	303	"Border Beacon"	55.33333	-63.2	1405	"AWI"	1405	315	1185	764	2	57	0	3	0	80	0	0	18	5	1	0	0	0	110	10	4	1	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1415	"AWI"	1415	770	1409	1106	4	40	0	0	0	69	0	0	9	1	0	0	0	1	186	12	3	0	0	1	0	0	0	0
297	303	"Border Beacon"	55.33333	-63.2	1425	"AWI"	1425	1154	1714	1428	0	72	0	0	2	90	0	0	12	2	2	0	0	0	213	12	5	0	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1435	"AWI"	1435	1367	2217	1742	3	51	0	1	0	36	0	0	7	0	1	1	0	0	195	9	1	0	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1445	"AWI"	1445	1590	2588	2077	3	43	1	0	2	68	0	0	4	0	1	0	1	0	221	5	3	0	0	0	0	0	0	0
297	303	"Border Beacon"	55.33333	-63.2	1455	"AWI"	1455	1880	2835	2406	1	44	0	1	0	35	0	0	7	0	1	2	0	0	199	2	1	0	1	0	0	0	0	0
297	303	"Border Beacon"	55.33333	-63.2	1465	"AWI"	1465	2342	3029	2714	0	75	0	2	0	56	0	0	11	1	4	1	0	0	181	5	2	0	0	0	0	2	1	0
297	303	"Border Beacon"	55.33333	-63.2	1475	"AWI"	1475	2667	3231	2978	3	59	0	1	0	39	0	0	8	1	0	0	0	0	212	4	1	0	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1505	"AWI"	1505	3182	3909	3528	4	47	0	0	0	40	0	0	5	1	0	0	0	0	208	7	3	0	1	0	1	0	0	0
297	303	"Border Beacon"	55.33333	-63.2	1515	"AWI"	1515	3397	4085	3705	5	41	0	2	2	40	0	0	2	0	1	0	0	0	241	3	0	0	1	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1525	"AWI"	1525	3641	4316	3928	4	57	0	0	0	33	0	0	0	0	4	0	0	0	228	6	3	0	0	0	0	0	0	0
297	303	"Border Beacon"	55.33333	-63.2	1535	"AWI"	1535	3834	4719	4239	10	52	0	0	0	72	0	0	0	0	2	2	0	0	164	4	0	0	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1545	"AWI"	1545	4060	5075	4573	5	60	0	0	0	48	0	0	2	0	0	0	0	0	195	3	4	0	1	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1555	"AWI"	1555	4395	5323	4911	6	36	0	0	0	48	1	0	2	2	0	0	0	0	280	2	0	0	0	0	0	0	0	0
297	303	"Border Beacon"	55.33333	-63.2	1565	"AWI"	1565	4879	5493	5232	12	106	0	0	0	85	0	0	7	1	0	3	0	0	215	6	0	0	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1575	"AWI"	1575	5293	5792	5550	1	106	0	0	0	107	0	0	5	0	0	5	1	0	145	3	3	0	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1585	"AWI"	1585	5470	6335	5843	4	112	0	0	0	115	0	0	0	4	0	7	0	0	152	3	1	1	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1595	"AWI"	1595	5669	6709	6150	3	180	0	1	0	118	0	0	7	1	0	0	0	0	61	8	2	0	0	0	0	1	0	0
297	303	"Border Beacon"	55.33333	-63.2	1605	"AWI"	1605	5898	6987	6457	2	122	1	0	0	85	0	0	5	1	0	1	2	0	57	4	1	0	0	0	0	2	0	0
297	303	"Border Beacon"	55.33333	-63.2	1615	"AWI"	1615	6201	7216	6777	0	228	0	0	0	63	0	0	2	0	0	0	0	0	13	3	0	0	0	0	0	2	0	0
297	303	"Border Beacon"	55.33333	-63.2	1620	"AWI"	1620	6311	7354	6935	1	197	0	0	0	81	0	0	16	1	0	0	0	0	13	2	2	1	0	0	0	3	0	0
297	303	"Border Beacon"	55.33333	-63.2	1630	"AWI"	1630	6777	7521	7236	2	117	1	1	0	131	0	0	44	11	0	0	0	0	41	27	2	0	2	0	0	7	0	0
297	303	"Border Beacon"	55.33333	-63.2	1635	"AWI"	1635	7025	7611	7377	3	115	3	0	0	146	0	0	21	2	0	0	0	0	17	6	5	0	1	0	0	6	0	1
297	303	"Border Beacon"	55.33333	-63.2	1645	"AWI"	1645	7236	8135	7655	0	102	1	0	0	154	1	0	27	2	0	0	0	0	67	12	2	0	0	0	0	9	0	0
