"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Juglans"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Tilia"	"Ulmus"
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	440	"AWI"	440	4632	5364	5040	93	5	0	0	27	7	0	38	0	4	0	72	71	5	0	22	0	1	1
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	430	"AWI"	430	4477	5283	4924	105	1	0	0	31	5	1	11	0	13	0	60	68	7	0	42	1	0	6
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	90	"AWI"	90	545	1493	969	68	4	0	4	6	19	0	6	5	64	2	26	45	18	6	56	0	0	5
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	455	"AWI"	455	4862	5489	5213	81	9	1	2	0	10	0	22	0	26	0	56	68	20	0	21	0	0	4
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	470	"AWI"	470	5108	5652	5406	92	5	2	2	1	26	0	0	0	50	0	47	42	2	0	32	0	0	9
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	480	"AWI"	480	5221	5854	5544	118	6	0	0	12	16	0	0	0	16	0	68	45	2	6	31	0	0	6
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	490	"AWI"	490	5347	6014	5686	67	31	4	8	2	27	0	6	0	35	0	53	18	4	2	29	0	0	5
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	525	"AWI"	525	5879	6469	6211	30	23	3	10	0	38	0	2	0	48	0	26	30	1	0	40	0	0	7
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	550	"AWI"	550	6321	6714	6508	80	5	2	3	0	15	0	0	0	37	0	38	33	40	0	36	0	0	17
1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	44.15141	145.94106	570	"AWI"	570	6480	6923	6659	83	14	0	7	6	26	0	2	1	41	0	44	24	37	1	60	0	0	10
