"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Violaceae"
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	0	"AWI"	0	-104	60	-21	1.20845921450151	0.302114803625378	3.32326283987915	0.302114803625378	16.9184290030211	0	0	0	0	0	0.151057401812689	0	0	0	0	2.7190332326284	0	0	0	0.151057401812689	0	3.62537764350453	8.1570996978852	1.20845921450151	0	0.151057401812689	0	0	0	9.5166163141994	40.3323262839879	0	7.70392749244713	0	0	1.66163141993958	0.151057401812689	0	0.453172205438067	0	1.66163141993958	0	0.302114803625378	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	4	"AWI"	4	-27	661	176	1.31578947368421	0.18796992481203	1.50375939849624	0.18796992481203	18.796992481203	0	0	0	0	0	0	0	0.18796992481203	0	0	3.00751879699248	0	0.37593984962406	0	0	0	2.63157894736842	10.3383458646617	0.56390977443609	0	0	0	0	0	9.77443609022556	42.2932330827068	0	4.88721804511278	0	0	1.69172932330827	0.56390977443609	0	0.18796992481203	0	0.93984962406015	0	0.56390977443609	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	8	"AWI"	8	74	1017	409	1.78306092124814	0.148588410104012	1.63447251114413	0.742942050520059	15.3046062407132	0	0	0	0	0	0	0	0.297176820208024	0	0	2.37741456166419	0	0	0.148588410104012	0	0	1.48588410104012	5.79494799405646	1.48588410104012	0	0.297176820208024	0	0	0	11.5898959881129	44.2793462109955	0	8.61812778603269	0.594353640416048	0	0.445765230312036	0.297176820208024	0.297176820208024	0	0	0.742942050520059	0	1.48588410104012	0	0.148588410104012	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	12	"AWI"	12	206	1316	644	1.19521912350598	0.398406374501992	2.39043824701195	0.199203187250996	17.7290836653386	0	0	0	0	0	0.199203187250996	0	0	0	0	1.39442231075697	0	0.398406374501992	0	0.199203187250996	0	0.199203187250996	2.58964143426295	0.597609561752988	0	0.199203187250996	0	0.199203187250996	0	10.7569721115538	53.7848605577689	0	5.77689243027888	0	0	0.199203187250996	0.398406374501992	0.199203187250996	0	0	0.398406374501992	0	0.398406374501992	0	0.199203187250996	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	16	"AWI"	16	346	1606	886	0.896057347670251	0.17921146953405	2.5089605734767	0	13.7992831541219	0	0.17921146953405	0	0	0	0.537634408602151	0	0	0	0	4.12186379928315	0	0	0	0	0	0.896057347670251	7.16845878136201	0.3584229390681	0	0	0	0	0	13.2616487455197	45.8781362007168	0	6.27240143369176	0	0	0	0.17921146953405	0.3584229390681	0	0	2.32974910394265	0	0.537634408602151	0.17921146953405	0	0.3584229390681	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	20	"AWI"	20	490	1876	1136	2.65486725663717	0.147492625368732	2.8023598820059	0.294985250737463	12.8318584070796	0	0	0	0	0	0.147492625368732	0	0	0.147492625368732	0	1.76991150442478	0	0	0	0	0	1.76991150442478	11.0619469026549	1.91740412979351	0	0	0	0	0	14.306784660767	38.9380530973451	0	6.34218289085546	0	0	1.76991150442478	0.294985250737463	0.589970501474926	0.294985250737463	0	0.589970501474926	0	1.17994100294985	0	0	0.147492625368732	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	24	"AWI"	24	691	2067	1374	2.28898426323319	0.429184549356223	1.57367668097282	0	14.3061516452074	4.43490701001431	0	0	0	0	0.143061516452074	0	0	0	0	2.86123032904149	0	0	0	0	0	1.00143061516452	10.0143061516452	1.28755364806867	0	0	0	0	0	12.4463519313305	40.2002861230329	0	5.86552217453505	0	0	0.715307582260372	0.715307582260372	0.429184549356223	0.286123032904149	0	0.715307582260372	0	0.286123032904149	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	28	"AWI"	28	912	2277	1621	1.93661971830986	0	2.99295774647887	0.352112676056338	15.4929577464789	0	0	0	0	0	0	0	0	0	0	1.23239436619718	0	0.352112676056338	0	0	0	0.528169014084507	3.52112676056338	1.23239436619718	0	0	0	0	0	10.7394366197183	50	0	8.80281690140845	0	0	1.23239436619718	0.176056338028169	0	0	0	0.880281690140845	0	0.528169014084507	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	32	"AWI"	32	1145	2464	1858	2.86677908937605	0.337268128161889	4.5531197301855	0	14.8397976391231	0	0.168634064080944	0	0	0	0	0.168634064080944	0	0	0	0.505902192242833	0	0	0	0	0	2.02360876897133	6.23946037099494	2.52951096121417	0	0.168634064080944	0.168634064080944	0	0	10.6239460370995	42.1585160202361	0	7.08263069139966	0	0	1.68634064080944	0.843170320404722	0.505902192242833	0.168634064080944	0	0.843170320404722	0	1.5177065767285	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	36	"AWI"	36	1421	2641	2089	0.969305331179321	0.646203554119548	2.58481421647819	0.323101777059774	12.6009693053312	0	0	0	0	0	0.484652665589661	0	0.161550888529887	0	0	2.4232633279483	0	0	0.323101777059774	0	0	1.2924071082391	11.3085621970921	0.969305331179321	0	0	0	0	0	12.4394184168013	44.264943457189	0	6.30048465266559	0	0	0	0.323101777059774	0.323101777059774	0.646203554119548	0	0.969305331179321	0	0.646203554119548	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	40	"AWI"	40	1691	2831	2330	1.51285930408472	0.75642965204236	3.63086232980333	0.453857791225416	17.2465960665658	0	0	0	0	0	0	0	0	0	0	2.42057488653555	0	0.453857791225416	0	0.151285930408472	0	2.42057488653555	12.1028744326778	1.36157337367625	0	0	0	0	0.453857791225416	7.26172465960666	38.5779122541604	0	5.74886535552194	0	0	1.21028744326778	0.151285930408472	0.605143721633888	0.453857791225416	0	1.0590015128593	0	1.36157337367625	0	0	0.605143721633888	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	44	"AWI"	44	2154	3012	2543	3.33817126269956	0.145137880986938	2.17706821480406	0	9.72423802612482	0	0.145137880986938	0	0	0	0.145137880986938	0	0	0	0	1.30624092888244	0	0.290275761973875	0	0	0	0.58055152394775	11.9013062409289	4.20899854862119	0	0	0	0	0	12.7721335268505	43.3962264150943	0	4.93468795355588	0	0	0.290275761973875	0.870827285921626	0.58055152394775	0.870827285921626	0	1.74165457184325	0	0.58055152394775	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	48	"AWI"	48	2405	3561	2870	2.07253886010363	0.172711571675302	3.79965457685665	0.172711571675302	12.4352331606218	0	0	0	0	1.38169257340242	0.172711571675302	0.172711571675302	0	0	0	3.97236614853195	0.172711571675302	0.345423143350604	0	0	0	1.20898100172712	3.45423143350604	3.28151986183074	0	0	0	0	0	10.1899827288428	48.013816925734	0	4.83592400690846	0	0	0.345423143350604	1.20898100172712	0.172711571675302	0.172711571675302	0	1.03626943005181	0	0.518134715025907	0	0.345423143350604	0.345423143350604	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	52	"AWI"	52	2632	4255	3250	2.28310502283105	0.30441400304414	1.82648401826484	0.45662100456621	12.3287671232877	0	0	0	0	0	0	0	0	0	0	3.34855403348554	0	0	0	0	0	1.36986301369863	15.0684931506849	1.67427701674277	0	0.15220700152207	0	0	0	12.0243531202435	39.5738203957382	0	5.63165905631659	0	0	1.06544901065449	0.30441400304414	0.76103500761035	0	0	0.60882800608828	0	1.06544901065449	0	0	0.15220700152207	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	56	"AWI"	56	2854	4756	3642	2.21565731166913	0	3.69276218611521	0.295420974889217	12.9985228951256	0	0	0	0	0	0.147710487444609	0	0	0	0	3.10192023633678	0.147710487444609	0	0	0	0	2.06794682422452	4.28360413589365	1.47710487444609	0	0	0.147710487444609	0	0	12.2599704579025	49.4830132939439	0	3.98818316100443	0	0	0.886262924667651	0.147710487444609	0.443131462333826	0	0	1.47710487444609	0	0.443131462333826	0	0.295420974889217	0	0
