"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Morus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Prosopis"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Zanthoxylum"
344	352	"Cedar Bog"	45.41111	-93.19722	130	"AWI"	130	-84	83	-5	0	0	6.60377358490566	11.7924528301887	0.471698113207547	3.30188679245283	0	20.7547169811321	0	0	0	0.471698113207547	0	0	0	0.471698113207547	2.35849056603774	0	0	0	0	0	0	0	0	3.30188679245283	5.18867924528302	0	0	4.24528301886792	0.471698113207547	0	0	0	0	0	2.83018867924528	0	31.1320754716981	0	0	0	0	0	0.943396226415094	0	0	1.41509433962264	0	3.77358490566038	0	0	0.471698113207547	0
344	352	"Cedar Bog"	45.41111	-93.19722	150	"AWI"	150	2	917	272	0.133511348464619	0	3.33778371161549	2.13618157543391	0	1.46862483311081	0	10.2803738317757	0	0	0	0.133511348464619	0	0	0	0.534045393858478	2.13618157543391	0	0	0	0.133511348464619	0	0	0	0	1.06809078771696	3.47129506008011	0	0	0.934579439252336	0	10.6809078771696	0.133511348464619	45.7943925233645	0	0	1.06809078771696	0	12.8170894526035	0	0	0.133511348464619	0	0	0.267022696929239	0	0	0.400534045393859	0.400534045393859	2.26969292389853	0	0	0.267022696929239	0
344	352	"Cedar Bog"	45.41111	-93.19722	190	"AWI"	190	325	1924	913	0	0	4.8780487804878	0	0	4.47154471544715	0	15.8536585365854	0.40650406504065	0	0	0.40650406504065	0	0.40650406504065	0	0	2.84552845528455	0	0	0	0	0	0	0	0	6.09756097560976	6.91056910569106	0	0	3.65853658536585	0.40650406504065	21.9512195121951	0.40650406504065	0	0	0	0.40650406504065	0	28.8617886178862	0	0	0	0	0	0.40650406504065	0.813008130081301	0	0	0	0.813008130081301	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	230	"AWI"	230	708	2683	1604	0	0	5.48523206751055	0	0	2.9535864978903	0	11.8143459915612	0	0	0	0	0	0	0	0	5.90717299578059	0	0	0	0	0	0	0	0	3.79746835443038	6.75105485232067	0	0	2.10970464135021	0	14.3459915611814	0.421940928270042	0	0	0	1.26582278481013	0	41.3502109704641	0	0	0	0	0	0.421940928270042	0.843881856540084	0	0.843881856540084	0	1.68776371308017	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	270	"AWI"	270	1273	3303	2278	0	0	7.11864406779661	0	0	5.76271186440678	0	9.49152542372881	0	0	0	0.677966101694915	0	0	0	1.01694915254237	6.44067796610169	0	0	0	0	0	0	0	0	1.01694915254237	7.11864406779661	0	0	3.05084745762712	1.01694915254237	13.2203389830508	1.01694915254237	0	0	0	0.677966101694915	0.338983050847458	39.6610169491525	0	0.338983050847458	0	0	0	0.677966101694915	0	0	0.338983050847458	0	1.01694915254237	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	310	"AWI"	310	1825	3910	2947	0	0	4.51388888888889	0	0	3.81944444444444	0	14.2361111111111	0	0	0	0.347222222222222	0	0.173611111111111	0	0.520833333333333	3.99305555555556	0	0	0	0	0	0	0	0	0.694444444444444	8.33333333333333	0	0	6.94444444444444	0	11.8055555555556	0.520833333333333	0	0	0	0.868055555555556	0	38.8888888888889	0	0	0	0	0	0.347222222222222	0.173611111111111	0	0.520833333333333	0.173611111111111	3.125	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	350	"AWI"	350	2587	4328	3612	0	0	8.05084745762712	0	0	6.35593220338983	0	6.77966101694915	0	0	0	0.423728813559322	0	0	0	4.23728813559322	4.66101694915254	0	0	0	0	0	0	0	0	1.27118644067797	6.35593220338983	0	0	11.4406779661017	0	11.864406779661	1.69491525423729	0	0.423728813559322	0	0.423728813559322	0	28.3898305084746	0	0	0	0	0	0	0	0	2.11864406779661	0	5.50847457627119	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	390	"AWI"	390	3441	4727	4250	0	0	5.32319391634981	0	0	7.22433460076046	0	5.70342205323194	0	0	0	0.380228136882129	0	0.760456273764259	0	0.380228136882129	5.32319391634981	0	0	0	0.380228136882129	0	0	0	0	2.28136882129278	8.36501901140684	0	0	14.828897338403	0.760456273764259	9.88593155893536	0.380228136882129	0	0	0	1.90114068441065	0	25.4752851711027	0	0	0	0	0	1.52091254752852	0	0	4.56273764258555	0.380228136882129	3.80228136882129	0	0	0	0.380228136882129
344	352	"Cedar Bog"	45.41111	-93.19722	403	"AWI"	403	3717	4808	4430	0	0	6.3953488372093	0	0	7.55813953488372	0	5.23255813953488	0	0	0	0	0	0	0	1.16279069767442	9.88372093023256	0	0	0	0	0	0	0	0	4.65116279069767	5.81395348837209	0	0	8.72093023255814	0	11.046511627907	0.581395348837209	0	0	0	0.581395348837209	0	33.7209302325581	0	0	0	0	0	0	0	0	2.32558139534884	0	1.74418604651163	0	0	0.581395348837209	0
344	352	"Cedar Bog"	45.41111	-93.19722	430	"AWI"	430	3948	5156	4680	0	0	6.70103092783505	0	0	5.15463917525773	0	4.12371134020619	0	0	0	0	0	1.03092783505155	0	1.03092783505155	9.79381443298969	0	0	0	0	0	0	0	0	2.57731958762887	2.57731958762887	0	0	7.21649484536082	0.515463917525773	12.3711340206186	0	0	0	0	0	0	40.7216494845361	0	0	0	0	0	1.54639175257732	0	0	2.06185567010309	0	2.57731958762887	0	0	0	0
