"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
333	340	"Caribou Bog"	44.93672	-68.77344	7	"AWI"	7	-63	251	47	14	7	0	1	1	0	0	129	0	0	0	0	0	0	24	4	0	1	8	0	0	2	0	2	0	5	53	49	0	10	0	7	0	1	0	0	0	17	1	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	57	"AWI"	57	333	1089	685	2	0	0	1	0	0	0	111	0	0	0	0	0	0	12	27	2	0	12	0	0	0	0	0	0	1	8	0	0	0	0	7	0	0	0	0	1	107	0	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	127	"AWI"	127	1239	1902	1584	0	0	0	0	0	0	0	144	0	0	0	0	2	0	1	16	0	1	16	0	0	0	0	3	0	7	19	0	1	2	0	5	0	0	0	0	0	104	3	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	162	"AWI"	162	1807	2513	2081	3	7	8	0	0	0	0	131	0	1	0	0	0	0	11	37	7	0	21	0	1	0	0	3	3	2	16	76	0	3	0	14	0	0	0	0	1	179	2	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	227	"AWI"	227	2774	3775	3280	8	4	4	0	0	0	0	111	0	1	2	0	0	0	2	22	7	0	12	0	0	0	0	2	0	1	9	93	0	1	0	7	0	0	0	1	0	79	0	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	257	"AWI"	257	3377	4194	3832	4	6	0	0	0	0	0	75	0	0	0	0	0	0	3	33	0	0	9	0	0	0	0	0	0	5	14	0	0	2	0	9	0	0	0	0	1	46	1	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	272	"AWI"	272	3767	4386	4100	3	0	9	0	0	0	0	126	0	0	0	0	0	1	2	45	6	0	6	0	0	0	0	1	0	3	15	95	2	0	0	33	0	0	0	1	2	16	5	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	352	"AWI"	352	4948	5923	5441	2	9	0	0	0	0	0	129	2	0	1	0	0	8	3	37	5	1	6	0	0	0	0	0	2	3	8	104	0	0	0	30	0	0	0	0	0	136	13	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	382	"AWI"	382	5479	6329	5958	0	0	0	0	0	0	0	93	0	0	0	0	0	3	2	11	0	0	12	0	0	0	0	1	1	2	6	0	0	0	0	17	1	0	1	0	0	127	2	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	467	"AWI"	467	6754	7255	7012	4	5	5	0	0	0	0	60	1	0	0	1	0	15	1	10	7	0	20	0	0	0	1	2	1	1	6	142	0	3	1	11	2	0	0	0	0	52	3	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	497	"AWI"	497	7111	7503	7309	2	0	0	0	0	0	1	29	0	0	0	2	0	2	0	3	4	1	17	0	0	0	0	0	0	1	6	0	0	0	1	24	0	0	0	0	0	46	4	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	542	"AWI"	542	7586	8243	7860	0	0	0	0	0	0	0	38	0	0	0	0	0	3	0	7	3	0	5	2	0	2	0	1	0	2	13	158	1	1	0	21	0	0	1	0	0	40	10	0	2
333	340	"Caribou Bog"	44.93672	-68.77344	587	"AWI"	587	8156	8807	8465	2	0	0	0	0	0	0	53	0	0	0	0	0	3	1	1	6	0	2	0	1	0	0	0	0	3	22	196	0	4	0	49	0	0	4	0	0	22	7	0	3
333	340	"Caribou Bog"	44.93672	-68.77344	657	"AWI"	657	9014	9894	9423	15	3	8	1	0	0	0	54	1	0	0	0	1	1	0	0	7	1	8	0	0	3	0	1	0	3	29	198	1	8	5	35	2	0	2	0	0	4	5	0	0
333	340	"Caribou Bog"	44.93672	-68.77344	727	"AWI"	727	9995	10851	10387	9	3	11	0	0	0	0	100	1	0	0	0	0	1	0	0	9	0	13	0	0	5	0	0	2	6	56	161	0	7	1	26	0	0	3	0	0	2	6	1	0
333	340	"Caribou Bog"	44.93672	-68.77344	762	"AWI"	762	10489	11393	10859	3	0	11	0	0	0	0	113	0	0	0	0	1	49	1	0	0	0	7	84	0	6	0	0	0	4	150	43	0	8	0	6	0	0	11	0	0	0	0	0	0
