"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	0	"AWI"	0	930	3437	2000	37.7142857142857	0	0	0.857142857142857	1.71428571428571	22.8571428571429	0	0.857142857142857	6.28571428571429	5.71428571428571	0.285714285714286	0.285714285714286	0	0	0	10	0.571428571428571	0	4.57142857142857	0	0	0	2.85714285714286	3.71428571428571	1.42857142857143	0.285714285714286
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	40	"AWI"	40	3014	5345	4227	26.734693877551	0	0	3.06122448979592	1.02040816326531	24.4897959183673	0	2.6530612244898	5.30612244897959	11.4285714285714	1.02040816326531	0	0	0	0.612244897959184	2.24489795918367	0	6.93877551020408	5.51020408163265	0	1.83673469387755	0.612244897959184	1.02040816326531	3.6734693877551	0.816326530612245	1.02040816326531
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	65	"AWI"	65	4308	6444	5585	22.5225225225225	0	0	3.9039039039039	0.600600600600601	30.3303303303303	0	3.3033033033033	4.5045045045045	7.20720720720721	0.900900900900901	0.600600600600601	0	0	0.3003003003003	11.7117117117117	0	0	7.20720720720721	0	0	0	0.900900900900901	4.2042042042042	0	1.8018018018018
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	80	"AWI"	80	5396	7037	6356	15.2866242038217	0	0	4.45859872611465	1.91082802547771	12.1019108280255	0	5.73248407643312	8.9171974522293	16.5605095541401	0.636942675159236	0.636942675159236	0	0	0	11.4649681528662	4.45859872611465	0	8.28025477707006	0	2.54777070063694	0	1.27388535031847	1.27388535031847	1.27388535031847	3.18471337579618
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	100	"AWI"	100	7194	7534	7408	29.5566502463054	0.328407224958949	0.164203612479475	1.14942528735632	4.10509031198686	26.1083743842365	0	1.80623973727422	6.40394088669951	9.85221674876847	0.492610837438424	0	0	0	0	4.43349753694581	0.985221674876847	2.95566502463054	1.47783251231527	0	0	0	4.92610837438424	3.44827586206897	0.492610837438424	1.3136288998358
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	120	"AWI"	120	7923	8484	8241	38.9768574908648	0	0	0.243605359317905	0.365408038976857	20.7064555420219	0	0.121802679658952	31.6686967113276	3.65408038976857	0.121802679658952	0	0	0	0	1.21802679658952	0.121802679658952	0	0.852618757612667	0	0	0	1.46163215590743	0.365408038976857	0	0.121802679658952
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	135	"AWI"	135	8502	8937	8688	43.8756855575868	0	0.182815356489945	0.36563071297989	0.36563071297989	21.3893967093236	0	0.182815356489945	23.7659963436929	5.6672760511883	0	0.182815356489945	0	0	0	1.09689213893967	0.548446069469835	0	0.914076782449726	0	0.36563071297989	0	0.36563071297989	0.548446069469835	0.182815356489945	0
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	150	"AWI"	150	8824	9295	9032	46.6867469879518	0	0.150602409638554	1.05421686746988	0.451807228915663	27.2590361445783	0.602409638554217	1.05421686746988	5.72289156626506	10.5421686746988	0.451807228915663	0	0	0	0	1.20481927710843	0.150602409638554	0	2.56024096385542	0	0	0	1.35542168674699	0.602409638554217	0	0.150602409638554
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	165	"AWI"	165	10013	10623	10348	45.5555555555556	0	0.37037037037037	0.740740740740741	1.85185185185185	25.9259259259259	1.85185185185185	1.11111111111111	0.37037037037037	4.81481481481481	0.37037037037037	0	0	0	0	4.07407407407407	0.740740740740741	0	4.81481481481481	0	0	0	1.11111111111111	5.55555555555556	0.740740740740741	0
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	180	"AWI"	180	10479	11516	10811	39.1949152542373	0	0	0.423728813559322	0.847457627118644	37.2881355932203	0	1.48305084745763	2.11864406779661	5.50847457627119	0.847457627118644	0	0	1.90677966101695	0	2.54237288135593	0.423728813559322	0	2.54237288135593	0.635593220338983	0	0	1.69491525423729	1.69491525423729	0.211864406779661	0.635593220338983
