"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Arecaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Bromeliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cistaceae"	"Citrus"	"Combretaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Cyrilla"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gordonia"	"Grossulariaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Itea"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Liquidambar"	"Malvaceae"	"Meliaceae"	"Moraceae"	"Myrica"	"Myrtaceae"	"Nyssa"	"Onagraceae"	"Osmanthus"	"Ostrya.Carpinus"	"Pinus"	"Planera"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Sapindaceae"	"Serenoa"	"Symplocos"	"Taxodium"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"	"Zanthoxylum"
229	232	"Barchampe Lake"	30.62222	-83.25389	451	"AWI"	451	-123	43	-36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	3	0	0	3	0	0	2	0	0	9	2	0	0	0	0	0	5	0	0	0	48	0	10	0	0	1	0	0	0	0	0	0	0	111	0	0	0	0	1	1	0	0	0	0	0	18	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	455	"AWI"	455	-97	128	2	0	2	0	0	0	0	0	0	4	0	0	0	0	0	25	0	0	1	5	0	0	0	1	0	1	0	1	0	3	0	1	0	0	0	5	2	0	0	0	0	0	5	0	0	0	34	0	7	0	0	1	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	1	0	0	0	8	0	0	3	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	459	"AWI"	459	-81	245	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	36	0	9	0	0	1	0	0	0	0	0	0	0	63	0	0	0	0	0	1	0	1	0	0	0	11	0	0	1	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	463	"AWI"	463	-51	306	78	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	7	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	7	1	0	1	0	0	0	5	0	0	0	34	0	15	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	1	0	0	0	0	0	0	16	0	0	1	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	464.5	"AWI"	464.5	-42	325	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	1	3	1	0	1	0	1	0	0	0	6	2	0	0	0	0	0	3	0	0	0	31	0	8	0	0	1	0	0	0	0	0	0	0	88	0	0	0	0	0	0	2	0	0	0	0	13	0	0	1	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	467	"AWI"	467	-30	367	122	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	1	0	1	0	0	0	0	0	1	4	0	0	1	0	0	0	1	0	7	4	0	1	0	0	0	4	0	0	0	43	0	16	0	0	3	0	0	0	0	0	0	0	63	0	0	1	1	2	0	0	0	0	0	0	6	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	469.5	"AWI"	469.5	-20.5	424	146	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	1	0	0	0	31	0	4	0	0	2	0	0	0	0	0	0	0	59	0	0	0	0	1	1	0	0	0	0	0	10	0	0	1	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	472	"AWI"	472	0	452	172	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	1	8	0	0	0	0	0	1	0	1	6	1	0	0	0	0	0	2	0	1	0	18	0	1	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	474.5	"AWI"	474.5	19.5	476	199.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	3	0	1	0	14	0	1	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	477	"AWI"	477	33	507	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	3	0	0	0	33	0	5	0	0	1	0	0	0	0	0	0	0	37	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
