"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Isoëtes"	"Larix"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Ulmus"
1557	1599	"Lake LR1"	58.58333	-75.25	1	"AWI"	1	-96	103	-1	67	1	6	0	268	0	0	0	0	53	35	0	0	25	0	1	0	0	0	76	12	0	6	0	0	0	0	0	10	1	0
1557	1599	"Lake LR1"	58.58333	-75.25	5	"AWI"	5	-28	617	266	86	0	7	0	207	0	0	0	1	65	47	0	0	33	0	0	0	0	0	66	6	0	11	0	0	0	0	0	12	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	10	"AWI"	10	21	1299	597	68	1	4	0	221	0	0	1	1	63	40	0	0	40	0	0	0	0	0	83	0	0	14	0	0	0	0	0	19	1	0
1557	1599	"Lake LR1"	58.58333	-75.25	14	"AWI"	14	794	1462	1092	82	0	7	0	206	0	0	0	1	55	37	0	0	42	0	0	1	2	0	101	3	1	8	0	0	0	0	0	10	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	18	"AWI"	18	1214	2015	1584	92	2	6	0	227	0	0	0	1	64	45	0	0	47	1	0	0	1	0	75	0	0	11	0	0	0	0	0	9	2	1
1557	1599	"Lake LR1"	58.58333	-75.25	20	"AWI"	20	1305	2417	1833	64	0	7	0	220	0	0	0	1	53	40	0	0	30	0	0	0	0	0	91	5	0	16	0	0	0	0	0	13	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	22	"AWI"	22	1732	2658	2185	75	0	6	0	268	1	0	0	0	68	43	1	0	40	0	0	2	1	0	94	6	0	10	2	0	1	0	1	20	0	1
1557	1599	"Lake LR1"	58.58333	-75.25	24	"AWI"	24	2115	2923	2541	81	0	7	0	209	0	0	0	2	74	46	0	0	72	0	0	1	0	0	96	0	0	9	0	0	0	0	0	11	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	26	"AWI"	26	2439	3228	2906	67	0	8	0	217	1	0	0	2	74	53	0	0	49	0	0	3	0	0	118	0	1	8	0	0	0	0	0	16	1	0
1557	1599	"Lake LR1"	58.58333	-75.25	32	"AWI"	32	3014	4087	3704	83	1	5	0	237	0	0	0	2	72	50	0	0	68	1	0	0	0	0	143	0	1	12	0	0	0	4	0	13	0	3
1557	1599	"Lake LR1"	58.58333	-75.25	42	"AWI"	42	3315	4612	4011	78	0	8	0	200	0	0	0	1	45	47	0	0	46	0	0	1	0	0	106	4	0	14	0	0	0	0	0	7	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	50	"AWI"	50	3537	4936	4272	75	0	2	0	235	0	0	0	0	57	32	0	0	51	0	1	1	0	0	136	0	0	14	0	0	0	0	0	8	0	1
1557	1599	"Lake LR1"	58.58333	-75.25	58	"AWI"	58	3864	5168	4564	97	1	10	0	178	0	0	0	2	68	40	0	1	65	0	0	0	0	0	93	5	0	12	0	1	0	0	0	12	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	66	"AWI"	66	4202	5383	4839	140	2	7	0	189	0	0	0	0	60	39	0	0	89	0	0	1	0	1	115	5	1	7	0	0	0	0	0	13	0	1
1557	1599	"Lake LR1"	58.58333	-75.25	74	"AWI"	74	4542	5583	5103	159	0	12	0	221	0	0	0	3	38	48	0	0	53	0	1	0	1	0	105	4	0	11	0	0	0	0	0	11	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	82	"AWI"	82	4964	5808	5388	177	2	6	0	177	0	0	0	0	46	44	0	0	43	0	1	3	0	0	103	5	0	6	0	1	0	0	0	5	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	90	"AWI"	90	5292	6280	5717	159	3	9	0	185	0	0	0	0	48	46	0	0	34	0	0	1	0	0	95	2	0	11	0	0	0	0	0	3	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	98	"AWI"	98	5567	6838	6135	176	0	6	0	201	0	0	0	1	44	38	0	0	20	0	0	0	0	0	69	4	0	5	0	0	0	0	0	9	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	106	"AWI"	106	5894	7249	6565	227	3	14	0	193	0	0	2	2	65	24	1	0	2	0	2	0	0	1	91	5	0	7	0	0	0	0	0	29	0	2
1557	1599	"Lake LR1"	58.58333	-75.25	114	"AWI"	114	6356	7624	6991	133	2	10	0	151	0	1	0	3	68	9	0	0	0	0	0	0	0	1	102	4	0	5	0	2	0	0	0	24	0	0
1557	1599	"Lake LR1"	58.58333	-75.25	124	"AWI"	124	6993	8034	7532	165	8	20	0	110	0	1	0	3	132	9	1	0	0	0	0	0	0	0	122	0	1	16	0	1	0	0	0	26	0	0
