"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Oxalidaceae"	"Papaveraceae"	"Pinus"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
695	715	"Dlinnoye Lake"	67.75655	-178.84377	0	"AWI"	0	-111	69	-42	179	0	1	32	0	229	22	2	15	261	75	0	0	6	0	1	4	0	14	8	1	92	1	1	3	6	0	11	3	74	5	2	1
695	715	"Dlinnoye Lake"	67.75655	-178.84377	10	"AWI"	10	46	249	135	250	0	0	22	0	201	0	0	12	128	96	1	0	0	0	0	0	0	14	4	0	97	1	0	2	15	1	0	0	50	4	3	1
695	715	"Dlinnoye Lake"	67.75655	-178.84377	16	"AWI"	16	144	360	242	134	1	0	36	0	217	0	2	6	181	124	0	0	0	0	0	2	0	16	14	0	60	1	1	0	12	1	0	2	49	9	0	0
695	715	"Dlinnoye Lake"	67.75655	-178.84377	24	"AWI"	24	281	502	384	146	1	0	34	0	207	0	0	13	111	110	1	1	3	0	0	1	0	19	6	0	62	1	5	4	23	0	12	0	62	2	0	0
695	715	"Dlinnoye Lake"	67.75655	-178.84377	30	"AWI"	30	384	609	491	101	0	1	35	0	141	0	5	8	103	72	1	0	3	0	4	0	0	14	3	0	66	0	0	4	8	1	0	0	40	5	3	0
695	715	"Dlinnoye Lake"	67.75655	-178.84377	40	"AWI"	40	563	786	668	142	0	0	25	0	221	0	1	7	198	186	4	0	0	0	0	1	1	11	12	0	39	0	0	5	8	1	0	0	34	3	3	0
695	715	"Dlinnoye Lake"	67.75655	-178.84377	50	"AWI"	50	743	957	843	183	0	3	46	5	218	0	4	4	174	120	1	0	1	0	0	1	0	11	9	0	92	0	1	12	16	1	0	0	60	4	5	0
695	715	"Dlinnoye Lake"	67.75655	-178.84377	60	"AWI"	60	896	1123	1011	158	1	0	22	0	256	0	4	8	180	164	1	0	3	0	0	1	0	7	8	0	119	1	1	8	8	1	0	2	83	2	3	0
695	715	"Dlinnoye Lake"	67.75655	-178.84377	70	"AWI"	70	1053	1284	1182	152	0	1	28	0	246	0	5	6	235	92	0	0	1	0	3	1	0	4	2	0	116	1	2	5	10	0	0	0	66	2	5	1
695	715	"Dlinnoye Lake"	67.75655	-178.84377	74	"AWI"	74	1116	1347	1252	171	0	1	22	0	303	0	1	9	132	141	0	0	1	0	0	0	0	12	10	0	67	0	5	5	21	2	0	1	68	5	6	1
695	715	"Dlinnoye Lake"	67.75655	-178.84377	80	"AWI"	80	1198	1454	1344	112	0	0	32	0	234	0	1	2	132	87	1	0	1	0	0	0	0	7	3	0	54	0	1	5	18	0	0	1	64	4	4	0
