"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
254	260	"Berry Pond"	42.5	-73.31667	15	"AWI"	15	-71	400	81	0	0	24	3	1	44	90	8	17	11	3	6	0	29	6	2	19	3	0	0	0	1	16	27	0	1	42	2	66	0	17	2	0	0	2	32	6
254	260	"Berry Pond"	42.5	-73.31667	30	"AWI"	30	-5	697	229	0	0	17	1	2	32	60	0	26	6	5	9	0	13	6	4	22	0	0	0	0	13	4	13	1	0	32	4	73	0	21	1	0	2	0	22	3
254	260	"Berry Pond"	42.5	-73.31667	55	"AWI"	55	139	1005	492	0	0	18	0	1	0	174	3	49	19	9	6	0	34	12	0	24	1	4	0	0	12	22	10	0	0	15	2	106	0	12	3	1	0	1	53	3
254	260	"Berry Pond"	42.5	-73.31667	77	"AWI"	77	305	1250	730	0	0	14	0	1	0	104	4	33	20	10	12	0	41	7	0	30	5	6	0	0	18	13	9	0	4	2	1	115	0	0	2	0	0	2	49	3
254	260	"Berry Pond"	42.5	-73.31667	97	"AWI"	97	483	1449	939	0	0	6	0	0	0	87	4	24	18	6	20	0	48	11	0	27	1	0	0	0	10	8	14	0	2	6	4	74	0	0	2	0	0	1	46	4
254	260	"Berry Pond"	42.5	-73.31667	111	"AWI"	111	602	1585	1090	0	0	29	1	1	0	137	7	27	22	19	9	0	91	7	0	38	0	2	0	0	13	13	17	0	3	8	3	116	0	0	1	0	0	2	47	12
254	260	"Berry Pond"	42.5	-73.31667	125	"AWI"	125	810	1688	1245	4	0	10	0	0	0	157	17	33	11	11	0	0	81	13	0	25	0	1	0	0	56	11	69	0	0	2	0	215	0	0	1	1	2	0	50	4
254	260	"Berry Pond"	42.5	-73.31667	145	"AWI"	145	1043	1929	1493	0	0	4	0	1	0	74	7	7	13	9	12	0	91	13	0	23	1	0	0	0	17	14	10	0	2	3	1	51	0	0	2	0	0	0	58	7
254	260	"Berry Pond"	42.5	-73.31667	165	"AWI"	165	1271	2374	1796	0	0	15	0	0	0	106	16	21	15	0	0	0	49	23	0	16	4	0	0	0	43	1	59	0	0	0	1	135	0	0	2	0	0	4	40	6
254	260	"Berry Pond"	42.5	-73.31667	185	"AWI"	185	1531	2759	2170	0	0	10	0	0	0	139	11	8	8	0	0	1	102	32	0	14	4	1	1	0	49	0	50	0	0	0	3	134	0	0	0	0	0	0	35	8
254	260	"Berry Pond"	42.5	-73.31667	211	"AWI"	211	2090	3044	2632	0	0	4	0	2	0	121	9	5	32	18	37	0	68	16	0	31	4	0	0	0	12	1	29	0	2	7	4	130	0	0	5	0	2	4	23	10
254	260	"Berry Pond"	42.5	-73.31667	235	"AWI"	235	2535	3303	2970	0	0	7	0	0	0	81	12	7	13	12	10	1	56	20	0	21	6	0	0	0	17	3	39	0	0	6	0	112	0	0	0	0	0	1	17	11
254	260	"Berry Pond"	42.5	-73.31667	251	"AWI"	251	2639	3555	3110	0	0	8	0	0	0	116	15	4	19	6	2	2	83	13	0	25	6	0	0	0	23	1	64	0	2	3	1	174	0	0	0	0	0	2	17	9
254	260	"Berry Pond"	42.5	-73.31667	271	"AWI"	271	2788	3812	3299	0	0	5	0	4	0	110	12	4	10	0	0	0	83	17	0	30	8	0	0	0	24	1	62	0	1	2	2	160	0	0	8	0	0	1	16	7
254	260	"Berry Pond"	42.5	-73.31667	320	"AWI"	320	3193	4273	3795	0	0	6	0	0	0	118	16	4	8	0	2	0	57	13	0	22	6	0	0	0	16	0	68	0	1	3	0	179	0	0	0	0	0	1	26	12
254	260	"Berry Pond"	42.5	-73.31667	338	"AWI"	338	3391	4582	4010	0	0	3	0	0	0	95	19	2	21	0	0	0	84	10	0	9	7	0	0	0	23	0	38	0	10	2	1	111	0	0	3	1	0	0	22	14
254	260	"Berry Pond"	42.5	-73.31667	354	"AWI"	354	3626	4793	4227	0	0	2	1	0	0	150	18	0	4	0	4	0	85	34	0	12	9	0	0	0	28	0	37	0	0	0	7	188	0	0	0	0	0	2	22	13
