"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
510	523	"Crider's Pond"	39.96667	-77.55	15	"AWI"	15	-138	30	-63	0	0	0.363636363636364	0	0	0.363636363636364	0	0	2.90909090909091	0	0	0	5.09090909090909	0	1.81818181818182	0	0	0	6.54545454545455	0	0	0.727272727272727	0	0	0	0	0	0	0	0	1.09090909090909	0	0	0	20.7272727272727	0.727272727272727	0	2.54545454545455	0	0	50.5454545454545	0	0	0	4.36363636363636	0	0	0	0.363636363636364	1.09090909090909	0.727272727272727
510	523	"Crider's Pond"	39.96667	-77.55	20	"AWI"	20	-23	1422	453	0	0	0.334448160535117	0	0	0	0	0	0.668896321070234	0	0	0	3.67892976588629	0	2.67558528428094	0	0	0	8.36120401337793	0	0	0	1.00334448160535	0	0	0	0	0	0	0	1.00334448160535	0	0.334448160535117	0.334448160535117	19.3979933110368	0	0	3.01003344481605	0	0	51.8394648829431	0	0	0	5.01672240802676	0	0	0	0	2.0066889632107	0.334448160535117
510	523	"Crider's Pond"	39.96667	-77.55	25	"AWI"	25	26	2894	962	0	1.31578947368421	0.328947368421053	0	0	0	0	0	0.328947368421053	0	0	0	2.63157894736842	0	5.26315789473684	0	0	0	12.5	0	0	0.657894736842105	0.328947368421053	0	0	0	0	0	0	0.657894736842105	0	0	1.97368421052632	0	19.0789473684211	0.328947368421053	0	2.96052631578947	0	0	46.3815789473684	0	0	0	4.60526315789474	0	0	0	0	0.657894736842105	0
510	523	"Crider's Pond"	39.96667	-77.55	35	"AWI"	35	123	5813	1981	0	0	0.974025974025974	0	0	0	0.324675324675325	0	1.2987012987013	0	0	0	1.62337662337662	0	6.16883116883117	0	0	0	8.76623376623377	0	0	0.649350649350649	0.974025974025974	0	0	0	0	0	0.324675324675325	1.2987012987013	0.324675324675325	0	1.2987012987013	0	15.5844155844156	0	0	6.49350649350649	0	0	47.4025974025974	0	0	0	5.51948051948052	0	0	0	0	0.974025974025974	0
510	523	"Crider's Pond"	39.96667	-77.55	45	"AWI"	45	219	8727	3005	0	0	0.673400673400673	0	0	0	0	0	1.34680134680135	0	0	0	3.7037037037037	0	6.3973063973064	0	0	0	5.05050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336700336700337	0	20.5387205387205	0	0	6.73400673400673	0	0.336700336700337	47.1380471380471	0	0	0	6.3973063973064	0	0	0	0	0.673400673400673	0.673400673400673
510	523	"Crider's Pond"	39.96667	-77.55	55	"AWI"	55	1012	9479	4058	0	0.970873786407767	1.29449838187702	0	0	0	0	0	0.323624595469256	0	0	0	4.20711974110032	0	3.23624595469256	0	0	0	8.7378640776699	0	0	0.323624595469256	0	0	0	0	0	0	0	0	0.323624595469256	0	0.323624595469256	0	16.1812297734628	0	0	6.79611650485437	0	0	51.7799352750809	0	0	0	4.85436893203883	0	0	0	0	0.323624595469256	0.323624595469256
510	523	"Crider's Pond"	39.96667	-77.55	60	"AWI"	60	1217	9792	4577	0	0	0.493827160493827	0	0	0	0	0	0.740740740740741	0	0	0	2.22222222222222	0	0.493827160493827	0	0	0	20.7407407407407	0	0	0.987654320987654	0.493827160493827	0	0	0	0	0	0	0	0.740740740740741	0	0.246913580246914	0	18.5185185185185	0	0.246913580246914	2.71604938271605	0	0.246913580246914	46.9135802469136	0	0	0	3.45679012345679	0	0	0	0	0.740740740740741	0
510	523	"Crider's Pond"	39.96667	-77.55	65	"AWI"	65	1371	10212	5159	0	0	0	0	0	0.626959247648903	0	0	0.626959247648903	0	0	0	1.88087774294671	0	4.38871473354232	0	0	0	14.4200626959248	0	0	0	0.313479623824451	0	0	0	0	0	0	0	0	0	0.626959247648903	0	21.3166144200627	0	0	5.64263322884013	0	0	39.1849529780564	0	0	0	9.40438871473354	0	0	0	0	0.940438871473354	0.626959247648903
510	523	"Crider's Pond"	39.96667	-77.55	75	"AWI"	75	1674	11433	6197	0	0.647249190938511	0.647249190938511	0	0	0.323624595469256	0	0	1.29449838187702	0	0	0	2.9126213592233	0	2.26537216828479	0	0	0	8.7378640776699	0	0	0.970873786407767	0.323624595469256	0	0	0	0	0	0	0	0.323624595469256	0	0.647249190938511	0	10.6796116504854	0	0	4.53074433656958	0	0	58.8996763754045	0	0	0	3.88349514563107	0	0	0	0	2.9126213592233	0
510	523	"Crider's Pond"	39.96667	-77.55	80	"AWI"	80	2564	11569	6778	0	0	0.274725274725275	0	0	0.274725274725275	0	0	1.64835164835165	0	0	0	4.12087912087912	0	1.64835164835165	0	0	0	9.06593406593407	0	0	1.37362637362637	0	0	0	0	0	0	0.549450549450549	0	1.64835164835165	0	0.274725274725275	0	5.76923076923077	0	0.274725274725275	7.69230769230769	0	0	59.3406593406593	0	0	0	3.02197802197802	0	0	0	0	1.92307692307692	1.0989010989011
