"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Phrymaceae"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Thuja"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viscaceae"
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	305	"AWI"	305	1377	3531	2363	22	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	59	0	0	0	0	0	5	7	14	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	97	153	0	0	0
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	325	"AWI"	325	1519	3702	2531	16	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	68	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	155	18	0	0	0
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	365	"AWI"	365	1790	4052	2851	16	0	0	0	0	0	0	0	1	0	0	0	2	5	0	0	6	0	0	0	0	0	1	0	24	0	1	0	0	0	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	179	0	0	0	0
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	405	"AWI"	405	2077	4422	3173	23	0	60	0	0	0	0	0	4	0	0	0	3	9	0	0	2	0	0	0	0	0	5	0	45	0	0	0	0	0	2	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	84	106	0	0	1
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	485	"AWI"	485	2655	5001	3845	7	0	59	0	2	0	0	0	0	0	0	0	0	31	0	0	0	0	0	1	0	0	5	0	55	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	151	42	0	0	0
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	525	"AWI"	525	2982	5312	4180	17	0	111	0	0	0	0	0	0	0	0	0	3	7	0	0	1	0	0	0	0	0	0	0	132	0	0	0	0	0	8	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	69	0	0	0
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	565	"AWI"	565	3321	5597	4511	14	0	56	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	114	54	0	0	0
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	605	"AWI"	605	3661	5888	4823	7	0	77	0	1	0	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	3	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	308	0	0	0	0
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	645	"AWI"	645	4017	6153	5151	16	0	0	0	2	0	1	0	0	0	0	0	4	5	0	1	0	0	0	1	0	0	1	0	95	1	0	0	0	0	0	4	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	308	104	0	0	0
1715	1772	"Mosquito Lake Bog"	48.76917	-122.11778	685	"AWI"	685	4357	6420	5479	19	0	0	0	1	1	1	0	5	0	0	0	1	6	0	0	0	0	0	0	0	0	2	0	64	0	0	0	0	0	1	7	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	184	86	0	0	0
