"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
518	532	"Cub Lake"	44.7	-84.95833	175	"AWI"	175	1610	2410	2041	0	16	2	0	1	0	15	1	0	0	0	2	0	0	0	36	5	4	0	0	0	0	2	3	172	0	1	0	1	14	1	0	0	0	0	0	0	4	79	7	0
518	532	"Cub Lake"	44.7	-84.95833	183	"AWI"	183	1779	2525	2176	0	23	8	1	4	0	27	3	0	0	0	2	0	0	0	49	11	3	1	1	3	1	4	3	303	0	0	0	0	33	0	0	0	1	1	0	0	2	62	7	0
518	532	"Cub Lake"	44.7	-84.95833	193	"AWI"	193	1972	2642	2349	0	14	3	0	4	0	30	1	0	0	0	3	1	0	1	42	5	1	1	0	2	0	0	0	424	0	3	0	0	30	0	0	0	1	0	0	0	2	77	7	0
518	532	"Cub Lake"	44.7	-84.95833	203	"AWI"	203	2241	2727	2511	0	15	3	0	6	8	28	1	0	0	0	4	0	0	0	33	3	2	0	0	4	0	6	3	284	0	0	0	0	40	1	0	0	0	0	0	0	2	58	16	0
518	532	"Cub Lake"	44.7	-84.95833	213	"AWI"	213	2400	3000	2691	0	19	1	0	0	0	17	1	0	0	0	2	1	0	0	19	2	2	0	0	2	0	4	4	295	0	0	0	0	19	0	0	0	0	0	0	0	1	51	8	0
518	532	"Cub Lake"	44.7	-84.95833	218	"AWI"	218	2436	3153	2771	0	14	1	0	0	0	20	3	0	0	0	0	0	0	0	40	4	3	0	0	1	0	2	0	231	0	0	0	2	25	0	0	0	1	0	0	0	2	37	4	0
518	532	"Cub Lake"	44.7	-84.95833	223	"AWI"	223	2471	3373	2848	0	10	3	1	1	0	13	0	0	0	0	1	0	0	0	13	0	3	1	0	1	1	5	2	254	0	1	0	0	18	1	0	0	1	0	0	0	3	37	10	0
518	532	"Cub Lake"	44.7	-84.95833	228	"AWI"	228	2538	3457	2932	0	17	13	3	5	0	26	3	0	0	0	3	0	0	0	40	1	7	1	0	0	0	4	0	481	0	4	0	1	26	0	0	0	0	0	0	0	0	44	6	0
518	532	"Cub Lake"	44.7	-84.95833	233	"AWI"	233	2589	3560	3021	0	19	3	1	4	0	27	1	0	0	0	1	0	0	1	48	6	3	1	0	2	0	9	2	566	0	0	0	0	39	0	0	0	1	0	1	0	3	78	13	0
518	532	"Cub Lake"	44.7	-84.95833	238	"AWI"	238	2632	3695	3102	0	21	5	0	2	5	17	2	0	0	0	0	0	0	0	22	3	2	0	0	1	0	3	0	341	0	2	0	0	22	0	0	0	0	1	0	0	1	36	11	0
