"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Isoëtes"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Tsuga"
1071	1104	"Hidden Lake"	60.480304	-150.275286	1	"AWI"	1	-118	94	-22	42	0	0	0	0	42	0	0	0	4	0	0	1	0	0	0	210	0	2	0	0	0	0	0	0	2	0	1
1071	1104	"Hidden Lake"	60.480304	-150.275286	10	"AWI"	10	12	820	285	58	0	0	0	0	47	0	0	0	4	0	1	5	0	0	0	178	0	5	0	0	0	0	0	0	4	0	7
1071	1104	"Hidden Lake"	60.480304	-150.275286	20	"AWI"	20	240	1280	679	70	0	0	0	0	43	0	0	0	3	0	1	1	1	0	0	165	0	5	0	0	0	0	0	0	5	0	14
1071	1104	"Hidden Lake"	60.480304	-150.275286	30	"AWI"	30	520	1684	1061	50	0	0	2	0	46	0	0	0	1	1	1	0	0	0	0	191	0	4	0	0	0	0	0	0	3	0	7
1071	1104	"Hidden Lake"	60.480304	-150.275286	40	"AWI"	40	850	2031	1451	43	0	0	1	0	41	0	1	0	3	1	0	0	0	0	0	197	0	1	0	0	0	0	0	0	5	0	17
1071	1104	"Hidden Lake"	60.480304	-150.275286	50	"AWI"	50	1241	2350	1841	64	0	0	1	0	49	0	1	0	7	0	0	0	0	0	1	176	0	5	0	0	0	0	0	0	1	0	9
1071	1104	"Hidden Lake"	60.480304	-150.275286	60	"AWI"	60	1671	2641	2227	77	0	0	0	0	39	0	0	0	2	0	0	1	0	0	0	172	2	5	0	0	0	0	0	0	3	0	5
1071	1104	"Hidden Lake"	60.480304	-150.275286	70	"AWI"	70	2176	2880	2603	67	0	1	1	0	38	0	1	0	3	1	0	0	0	0	1	189	0	2	0	0	0	0	0	0	3	0	4
1071	1104	"Hidden Lake"	60.480304	-150.275286	80	"AWI"	80	2817	3550	3035	76	0	1	1	0	59	0	1	0	5	0	0	0	0	0	0	157	1	2	0	0	0	0	0	0	3	0	1
1071	1104	"Hidden Lake"	60.480304	-150.275286	90	"AWI"	90	3162	4905	3823	76	0	0	1	0	55	0	0	0	0	0	2	1	0	0	0	176	0	0	0	0	0	0	0	0	2	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	100	"AWI"	100	3727	5733	4660	97	0	0	2	0	85	0	1	0	1	0	0	0	0	0	0	111	0	5	0	1	0	0	0	0	3	0	1
1071	1104	"Hidden Lake"	60.480304	-150.275286	110	"AWI"	110	4445	6440	5522	98	0	1	2	0	52	0	0	0	2	0	2	0	0	1	0	140	0	4	0	0	0	0	0	0	1	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	120	"AWI"	120	5405	7059	6334	46	0	0	2	0	65	0	0	1	2	0	0	0	0	0	1	178	0	7	0	0	0	0	0	0	6	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	130	"AWI"	130	6308	7827	7053	64	0	2	0	0	92	0	0	0	1	0	1	0	0	0	0	135	0	7	0	0	0	0	0	0	2	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	140	"AWI"	140	6828	8756	7706	80	0	0	0	0	107	0	1	0	0	1	0	5	0	0	0	101	1	0	0	0	0	0	0	4	4	1	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	150	"AWI"	150	7385	9504	8375	111	0	0	2	0	103	0	1	0	7	0	1	0	0	0	0	68	0	10	0	0	0	0	0	0	2	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	160	"AWI"	160	7953	10180	9030	133	0	0	1	0	75	1	1	0	1	0	1	0	0	0	0	86	0	0	0	0	0	0	0	0	8	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	170	"AWI"	170	8536	10826	9712	145	0	0	0	0	67	0	0	0	6	0	2	0	0	0	0	73	0	5	0	0	0	0	0	0	9	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	175	"AWI"	175	8863	11116	10036	195	0	3	2	0	54	0	1	0	8	1	0	0	0	0	0	5	0	10	0	6	0	0	0	0	30	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	180	"AWI"	180	9213	11374	10376	239	0	1	5	0	43	0	0	0	10	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	27	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	190	"AWI"	190	9955	11870	11056	225	0	1	5	0	42	1	0	0	14	1	1	0	0	0	0	0	0	12	0	10	0	0	0	0	61	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	195	"AWI"	195	10373	12101	11377	43	0	0	1	0	95	0	1	2	36	0	1	0	0	0	0	2	0	10	0	20	0	0	0	0	74	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	200	"AWI"	200	10784	12307	11696	30	0	0	10	0	101	0	1	0	43	0	1	0	0	0	0	0	0	5	0	24	1	0	0	0	64	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	205	"AWI"	205	11245	12501	12023	5	1	4	10	0	118	0	1	3	37	0	3	0	0	1	0	0	0	20	0	21	2	0	1	0	65	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	210	"AWI"	210	11929	12642	12332	11	0	3	7	0	120	1	0	0	37	0	3	0	1	0	0	1	0	33	2	1	0	0	0	0	66	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	220	"AWI"	220	12548	14538	13427	7	0	1	30	0	196	0	0	1	25	0	1	0	0	0	0	0	0	43	0	0	0	0	0	0	11	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	230	"AWI"	230	13614	15352	14656	6	1	0	25	5	222	0	1	1	20	0	2	0	0	0	0	0	0	25	0	0	1	0	0	0	2	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	240	"AWI"	240	14740	16208	15548	1	0	1	18	0	179	0	7	2	71	0	3	0	0	0	0	0	0	23	0	0	0	0	0	0	14	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	250	"AWI"	250	15544	16807	16267	3	0	0	14	0	220	0	3	2	46	0	2	0	0	0	0	0	0	18	0	0	0	0	0	0	14	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	260	"AWI"	260	16385	17897	16969	4	0	4	18	0	119	0	3	2	148	0	3	0	0	0	0	0	0	16	0	0	1	0	0	0	19	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	270	"AWI"	270	16833	19146	17742	5	0	0	19	0	3	0	14	2	87	0	1	0	0	0	0	2	3	16	0	0	0	2	0	0	19	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	280	"AWI"	280	17371	20300	18518	4	4	0	12	0	2	0	7	2	100	0	1	0	0	0	0	1	0	24	0	0	0	0	0	0	40	0	0
1071	1104	"Hidden Lake"	60.480304	-150.275286	290	"AWI"	290	17909	21321	19295	14	0	0	13	0	0	0	15	0	38	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	23	0	0
