"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Salix"	"Tilia"	"Ulmus"
1484	1522	"Kirikumae"	57.68291	27.25128	180	"AWI"	180	895	1272	1116	52	0	0	2	134	0	24	8	0	0	14	114	12	8	0	0	2	2
1484	1522	"Kirikumae"	57.68291	27.25128	190	"AWI"	190	1266	1467	1363	58	0	2	2	182	0	16	14	4	0	34	168	8	8	0	0	2	8
1484	1522	"Kirikumae"	57.68291	27.25128	200	"AWI"	200	1406	1633	1513	90	0	0	2	208	0	12	12	2	0	54	156	8	6	4	0	6	4
1484	1522	"Kirikumae"	57.68291	27.25128	210	"AWI"	210	1607	1845	1723	53	0	1	0	96	0	11	4	3	0	24	54	6	7	0	0	5	5
1484	1522	"Kirikumae"	57.68291	27.25128	220	"AWI"	220	2191	2443	2348	48	1	2	0	84	0	13	9	3	0	24	53	5	7	0	0	4	6
1484	1522	"Kirikumae"	57.68291	27.25128	230	"AWI"	230	2670	3010	2880	90	1	0	0	163	0	30	14	2	3	31	92	8	6	0	0	8	10
1484	1522	"Kirikumae"	57.68291	27.25128	240	"AWI"	240	2839	3223	2999	42	0	0	0	95	0	17	4	0	2	24	53	3	3	0	0	4	5
1484	1522	"Kirikumae"	57.68291	27.25128	250	"AWI"	250	2907	3412	3111	53	0	0	0	81	0	17	6	2	0	18	39	4	2	5	0	4	4
1484	1522	"Kirikumae"	57.68291	27.25128	260	"AWI"	260	2983	3581	3226	51	0	6	0	92	0	20	5	1	1	28	31	3	7	0	0	9	6
1484	1522	"Kirikumae"	57.68291	27.25128	270	"AWI"	270	3070	3715	3351	59	0	2	0	97	0	24	7	0	1	17	27	4	10	3	0	13	12
1484	1522	"Kirikumae"	57.68291	27.25128	280	"AWI"	280	3162	3842	3475	51	0	1	1	74	0	24	5	1	0	27	27	2	9	4	0	9	10
1484	1522	"Kirikumae"	57.68291	27.25128	290	"AWI"	290	3256	3959	3594	47	0	2	0	72	0	32	9	0	1	41	38	3	7	0	0	9	12
1484	1522	"Kirikumae"	57.68291	27.25128	300	"AWI"	300	3372	4074	3714	61	0	1	1	97	0	22	7	1	0	21	34	4	12	4	0	10	11
1484	1522	"Kirikumae"	57.68291	27.25128	310	"AWI"	310	3490	4179	3832	48	0	2	2	61	0	14	4	2	0	16	23	2	9	5	1	6	11
