"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Juglans"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Tilia"	"Ulmus"
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	15	"AWI"	15	22	642	237	16	45	6	1	3	0	0	11	0	0	3	106	65	25	0	1	0	0	6
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	140	"AWI"	140	2241	3541	2916	17	9	0	0	68	0	0	0	1	0	1	27	94	3	0	0	2	1	0
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	145	"AWI"	145	2347	3645	3023	38	0	0	0	11	0	0	0	0	0	0	91	87	0	0	0	0	1	2
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	220	"AWI"	220	4123	4987	4617	31	0	1	1	6	0	0	0	0	0	33	101	70	1	0	16	0	1	6
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	240	"AWI"	240	4748	5271	5030	60	0	0	0	12	0	0	0	0	1	1	98	97	1	0	8	0	0	0
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	250	"AWI"	250	4958	5407	5199	107	0	0	0	0	0	0	8	0	0	5	108	55	0	0	13	0	0	3
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	260	"AWI"	260	5069	5561	5344	112	0	1	0	1	0	0	0	0	0	4	87	52	4	0	25	0	0	1
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	270	"AWI"	270	5177	5707	5477	1	0	0	0	0	15	0	0	0	0	2	0	1	0	0	0	0	0	0
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	280	"AWI"	280	5292	5895	5598	0	29	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	335	"AWI"	335	5847	6720	6254	0	63	0	0	0	34	0	2	0	0	0	0	1	5	0	7	0	0	3
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	370	"AWI"	370	6224	7217	6680	80	0	0	4	3	0	0	5	1	1	33	62	46	2	1	34	0	0	12
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	380	"AWI"	380	6320	7355	6803	76	0	0	2	0	0	2	17	0	4	12	72	67	4	5	15	0	0	2
