"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Morus"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1659	1715	"Wapizagonke"	46.72639	-73.03056	570	"AWI"	570	10650	11924	11195	2	0	12	0	4	4	175	0	0	0	0	0	6	42	2	1	0	3	6	0	0	125	1	0	0	0	0	151	3	0	0	0	0	11	20	0	18	0	0	0	0	6	0	2	0	0	9	4	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	50	"AWI"	50	327	1528	819	15	0	6	0	0	4	199	0	0	0	0	1	0	4	0	3	0	21	0	0	0	0	0	0	9	0	0	2	3	89	180	0	0	1	0	0	12	0	1	0	0	0	0	0	0	0	12	2	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	75	"AWI"	75	666	2065	1276	13	0	0	0	0	2	205	0	0	1	0	0	0	6	0	3	0	21	2	0	1	0	0	0	7	0	0	1	0	110	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	30	6	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	100	"AWI"	100	1028	2579	1721	28	0	16	0	2	0	261	0	0	0	0	0	0	10	0	2	0	9	9	0	1	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	18	4	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	125	"AWI"	125	1426	3056	2169	7	0	8	0	0	0	114	0	0	1	0	0	1	10	0	1	0	17	3	0	0	0	0	0	4	0	0	0	2	27	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	10	2	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	150	"AWI"	150	1790	3544	2622	9	0	0	0	0	0	220	0	0	0	0	0	0	11	0	2	0	21	12	1	0	0	0	0	4	0	0	0	2	28	149	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	8	0	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	175	"AWI"	175	2198	3988	3084	9	0	15	0	2	0	305	0	0	1	0	0	3	43	0	8	0	34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	26	10	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	185	"AWI"	185	2387	4182	3266	4	0	6	0	1	0	197	0	0	0	0	0	2	11	0	2	0	26	0	0	0	0	1	0	3	0	0	1	5	0	0	0	0	0	0	0	16	0	0	0	0	1	0	1	0	0	12	4	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	200	"AWI"	200	2635	4461	3535	11	0	0	1	0	0	169	0	0	2	0	1	0	7	0	3	0	17	4	0	1	0	0	0	2	0	0	0	2	24	0	0	0	2	0	0	5	0	0	0	0	1	0	2	0	0	13	2	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	225	"AWI"	225	3072	4882	3982	3	0	0	0	0	0	140	1	0	0	0	0	0	7	0	0	0	7	2	0	0	0	1	2	0	0	0	0	1	0	256	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	2	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	250	"AWI"	250	3496	5312	4442	6	0	13	0	0	0	212	2	0	0	0	1	0	0	0	0	0	23	0	4	2	0	0	0	2	0	0	0	3	0	243	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	11	4	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	275	"AWI"	275	3984	5705	4887	10	0	0	0	1	0	199	0	0	0	1	0	0	5	0	4	0	18	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	3	0	0	8	2	0
1659	1715	"Wapizagonke"	46.72639	-73.03056	300	"AWI"	300	4462	6120	5338	9	0	12	0	0	0	306	0	0	1	0	0	0	1	0	2	0	10	4	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	7	0	0	6	4	0
