"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula (<20 µm)"	"Betula (>25 µm)"	"Betula (20-25 µm)"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"
957	987	"Grey Islands"	50.76889	-55.51667	0	"AWI"	0	-117	50	-35	7	0	137	0	0	0	0	1	1	58	0	0	3	22	8	0	1	0	19	0	0	25	0	0	45	4	1	0	1	0	0	0	0	1	0
957	987	"Grey Islands"	50.76889	-55.51667	5	"AWI"	5	-65	140	38	3	0	128	0	0	1	0	2	0	84	0	0	11	11	9	0	0	0	29	0	1	19	0	0	29	9	1	1	0	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	10	"AWI"	10	-39	265	109	7	0	126	0	0	0	0	2	1	72	0	0	4	13	2	0	1	1	35	0	1	25	0	1	51	8	3	1	0	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	15	"AWI"	15	-21	399	181	7	0	103	0	0	0	0	1	0	67	0	1	17	12	10	0	0	0	22	0	0	14	0	1	38	11	0	0	0	0	0	1	0	0	1
957	987	"Grey Islands"	50.76889	-55.51667	20	"AWI"	20	-7	541	253	15	0	116	0	0	1	0	3	7	77	0	0	6	17	6	0	1	0	31	1	1	23	0	0	36	5	0	0	1	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	25	"AWI"	25	54	647	331	4	0	120	0	0	0	0	0	0	70	0	0	17	10	8	0	0	0	31	0	0	24	0	0	60	9	0	0	0	0	0	1	0	0	1
957	987	"Grey Islands"	50.76889	-55.51667	30	"AWI"	30	224	665	429	23	1	140	0	1	2	0	1	6	75	0	0	1	15	7	0	1	0	22	1	0	16	0	0	51	12	0	0	0	0	0	2	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	35	"AWI"	35	385	698	526	8	0	106	0	0	0	0	0	0	68	1	0	11	7	16	0	2	0	29	0	0	13	0	0	56	7	0	1	0	0	0	0	1	0	0
957	987	"Grey Islands"	50.76889	-55.51667	40	"AWI"	40	524	770	629	18	0	103	0	0	0	0	3	0	63	0	0	6	21	6	0	1	0	17	0	1	27	0	0	63	12	0	0	2	0	0	1	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	45	"AWI"	45	593	889	725	11	0	109	1	0	0	0	0	0	82	0	0	10	16	9	0	0	0	23	0	0	8	0	1	46	9	1	1	0	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	50	"AWI"	50	681	1072	866	20	0	112	0	2	0	0	1	5	94	2	0	5	8	0	0	1	0	26	0	0	14	0	0	76	4	2	0	0	0	0	1	0	1	0
957	987	"Grey Islands"	50.76889	-55.51667	60	"AWI"	60	783	1722	1222	19	1	92	0	0	0	0	4	3	81	0	0	2	7	4	0	1	0	25	0	0	27	0	0	76	6	0	0	0	0	0	1	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	70	"AWI"	70	847	2448	1569	12	0	72	0	0	1	0	12	0	67	1	0	3	2	3	0	1	0	41	1	0	12	0	0	47	7	0	1	0	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	80	"AWI"	80	1404	2586	1942	15	0	87	0	0	0	0	11	0	66	0	0	10	6	8	0	0	0	43	0	2	33	0	0	63	7	0	0	0	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	90	"AWI"	90	1784	2729	2348	18	0	113	0	0	0	0	4	3	82	0	1	3	12	5	1	1	0	56	0	0	25	0	0	56	4	1	1	1	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	100	"AWI"	100	2224	2943	2671	16	0	102	0	1	1	0	1	3	66	0	0	8	8	6	0	0	0	46	1	1	24	0	0	55	10	1	0	2	0	0	1	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	110	"AWI"	110	2518	3263	2924	22	0	109	0	0	1	0	8	2	95	0	0	9	14	4	0	0	0	18	0	0	17	0	0	67	13	2	0	1	0	0	1	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	120	"AWI"	120	2650	3808	3141	16	0	111	0	0	0	0	3	3	95	0	0	4	9	2	0	1	0	43	0	1	23	0	0	54	9	1	0	0	0	0	1	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	130	"AWI"	130	2807	3969	3340	21	0	112	0	0	3	0	2	4	69	0	0	3	6	3	0	1	0	20	0	0	18	0	0	56	5	0	0	0	0	0	2	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	140	"AWI"	140	2903	4256	3527	12	0	120	0	0	0	0	2	5	85	0	0	2	4	4	0	0	0	12	0	0	18	0	0	55	3	0	0	1	0	0	1	0	0	2
957	987	"Grey Islands"	50.76889	-55.51667	150	"AWI"	150	3119	4404	3721	22	0	115	0	2	0	0	1	1	98	0	0	4	4	3	0	1	0	17	0	0	18	0	0	61	9	1	0	0	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	160	"AWI"	160	3237	4574	3931	7	0	120	0	0	0	0	1	4	96	0	0	1	10	0	1	0	0	11	0	0	20	0	0	44	6	0	0	0	0	0	1	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	170	"AWI"	170	3406	4750	4118	19	0	119	0	1	0	3	2	6	75	0	0	3	11	3	0	1	0	9	0	1	20	0	0	47	7	0	0	0	0	1	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	180	"AWI"	180	3578	4856	4322	27	0	117	0	0	0	0	3	1	96	0	0	1	7	2	1	0	1	12	0	2	23	0	0	62	12	0	0	1	0	0	0	1	1	2
957	987	"Grey Islands"	50.76889	-55.51667	190	"AWI"	190	3755	5033	4513	15	0	114	0	1	1	3	4	1	82	0	0	6	12	0	1	1	0	9	0	0	28	0	1	34	10	0	1	1	0	0	3	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	200	"AWI"	200	4187	5114	4678	20	0	129	0	0	0	0	1	0	76	0	0	1	10	0	0	1	0	1	1	0	30	0	1	60	8	0	0	0	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	210	"AWI"	210	4484	5225	4856	19	0	119	0	0	2	0	2	3	94	1	0	8	10	1	0	2	0	4	0	0	31	0	1	65	16	0	0	0	0	0	1	0	0	1
957	987	"Grey Islands"	50.76889	-55.51667	220	"AWI"	220	4618	5446	5020	23	0	106	0	0	1	0	5	0	73	1	0	6	8	0	0	0	0	7	0	0	33	0	1	57	11	0	0	1	0	0	1	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	230	"AWI"	230	4698	5810	5162	15	0	112	0	2	1	0	4	5	95	0	0	0	11	5	0	0	0	8	0	0	18	0	0	63	9	0	0	0	0	0	0	0	1	0
957	987	"Grey Islands"	50.76889	-55.51667	240	"AWI"	240	4794	6109	5315	23	0	79	0	3	0	0	2	2	94	0	0	5	8	1	1	0	0	9	0	0	25	0	1	50	12	0	0	1	0	1	1	0	0	1
957	987	"Grey Islands"	50.76889	-55.51667	250	"AWI"	250	4898	6298	5482	19	1	78	0	1	1	0	4	2	91	0	0	4	5	2	0	0	0	1	0	0	40	0	0	59	6	2	0	4	0	0	1	0	0	2
957	987	"Grey Islands"	50.76889	-55.51667	260	"AWI"	260	4981	6570	5638	26	1	68	0	2	0	0	3	2	97	0	0	2	5	1	0	1	1	1	0	2	19	0	0	69	10	0	1	0	0	0	1	0	0	1
957	987	"Grey Islands"	50.76889	-55.51667	270	"AWI"	270	5129	6692	5816	14	0	104	0	1	0	0	3	5	90	0	0	8	12	1	0	1	0	3	0	2	13	0	0	53	7	0	0	0	0	0	1	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	280	"AWI"	280	5238	6883	5989	30	0	100	0	3	1	0	5	2	105	0	0	4	3	1	0	0	0	2	0	2	26	0	1	82	19	1	0	0	0	0	0	0	0	0
957	987	"Grey Islands"	50.76889	-55.51667	290	"AWI"	290	5395	7033	6164	27	0	76	0	2	0	0	4	6	116	0	0	8	5	1	0	0	0	0	0	0	16	0	1	60	17	0	0	0	0	0	0	0	0	0
