"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1531	1569	"Lac Colin"	46.71667	-70.3	2	"AWI"	2	-18	191	77	22	3	29	0	1	2	0	268	0	2	0	0	2	0	0	6	2	0	0	0	1	43	21	0	0	17	0	7	0	2	5	0	0	0	3	0	5	0
1531	1569	"Lac Colin"	46.71667	-70.3	10	"AWI"	10	37	736	287	28	3	31	0	0	1	0	304	0	0	0	0	4	0	1	12	1	0	1	0	1	41	29	0	0	6	0	8	0	0	1	0	0	1	2	0	7	1
1531	1569	"Lac Colin"	46.71667	-70.3	20	"AWI"	20	74	1429	557	25	8	46	1	0	4	0	397	0	1	0	0	8	0	1	10	9	0	0	2	3	64	40	0	0	6	0	14	0	0	0	0	0	0	1	0	12	0
1531	1569	"Lac Colin"	46.71667	-70.3	40	"AWI"	40	392	2001	1224	28	6	37	0	1	0	0	447	1	2	0	0	5	0	0	20	4	0	0	9	5	37	41	0	1	6	0	9	0	2	0	2	0	0	1	0	20	2
1531	1569	"Lac Colin"	46.71667	-70.3	60	"AWI"	60	952	2413	1812	19	5	41	0	0	0	0	273	1	0	0	0	5	0	2	14	1	0	0	1	2	44	35	0	0	4	0	6	0	0	0	0	0	0	0	1	10	1
1531	1569	"Lac Colin"	46.71667	-70.3	80	"AWI"	80	1836	2711	2346	29	9	44	0	0	0	0	330	0	0	0	1	6	0	0	20	2	0	0	4	3	32	0	0	1	2	0	9	0	1	0	1	0	0	0	0	14	2
1531	1569	"Lac Colin"	46.71667	-70.3	100	"AWI"	100	2502	3055	2793	22	9	52	0	1	4	0	360	0	0	0	1	5	0	0	12	10	2	1	3	2	21	69	0	0	2	0	6	0	1	0	0	0	0	1	0	15	1
1531	1569	"Lac Colin"	46.71667	-70.3	120	"AWI"	120	2726	3531	3096	8	12	48	0	1	1	0	282	0	0	0	0	2	0	1	14	3	0	0	2	4	23	51	0	0	2	0	6	0	1	0	0	0	0	0	0	9	3
1531	1569	"Lac Colin"	46.71667	-70.3	140	"AWI"	140	3046	3772	3417	15	13	42	0	4	0	0	406	0	0	0	0	6	0	0	15	7	0	0	3	2	28	64	0	0	9	2	7	0	2	0	0	0	1	1	0	12	8
1531	1569	"Lac Colin"	46.71667	-70.3	162	"AWI"	162	3402	4208	3757	13	10	37	0	0	0	0	198	0	0	0	0	1	0	0	6	1	0	1	3	2	13	47	0	1	4	0	6	0	1	0	0	0	0	2	0	4	0
