"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	60	"AWI"	60	549	1068	855	12	0	5	0	0	0	0	140	0	0	0	0	7	0	12	19	0	0	0	0	0	0	1	3	45	20	0	0	1	0	8	0	3	1	0	1	48	4	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	80	"AWI"	80	1038	1260	1142	11	0	5	0	0	1	0	70	0	0	1	0	2	0	24	10	0	0	0	0	0	0	1	0	49	15	0	0	0	0	5	0	0	0	0	1	49	0	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	100	"AWI"	100	1188	1980	1456	19	0	6	0	0	0	0	238	0	0	2	1	3	1	28	14	0	0	0	0	0	0	2	0	49	15	0	0	0	0	9	0	0	0	0	0	59	3	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	120	"AWI"	120	1375	2474	1810	18	0	9	0	0	1	0	180	0	0	0	0	5	0	24	18	0	0	0	0	0	0	8	4	0	18	0	0	0	0	8	0	0	0	0	2	40	1	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	140	"AWI"	140	1594	2983	2162	19	0	9	0	0	0	0	216	0	0	0	0	0	4	60	35	0	0	1	0	0	0	5	4	67	25	0	0	0	0	4	0	1	0	0	2	32	5	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	160	"AWI"	160	1861	3347	2508	14	0	17	1	0	1	0	347	0	0	1	0	3	0	30	33	0	0	1	0	0	0	7	3	0	13	0	0	0	0	17	0	0	0	0	2	37	5	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	180	"AWI"	180	2149	3748	2859	17	0	7	0	0	1	0	195	0	0	0	0	4	0	22	16	0	0	0	0	1	0	0	2	48	12	0	0	0	1	9	0	0	0	1	1	29	2	1
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	200	"AWI"	200	2464	4124	3210	20	0	15	0	0	0	0	363	0	0	1	0	1	1	41	31	7	0	1	1	0	0	1	3	37	20	0	0	1	0	10	0	0	0	0	1	35	3	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	220	"AWI"	220	2800	4464	3546	10	0	6	1	0	2	0	198	0	0	0	0	0	0	44	27	0	0	1	0	0	0	2	2	29	12	114	0	0	0	8	0	0	0	1	1	30	9	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	240	"AWI"	240	3155	4833	3896	4	0	3	0	0	0	0	211	0	0	0	0	12	0	16	16	0	0	0	0	0	0	2	0	0	20	0	0	1	1	5	0	0	0	0	1	24	1	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	260	"AWI"	260	3596	5160	4229	4	0	7	0	0	0	0	119	0	0	0	0	3	0	6	23	0	1	0	0	1	0	0	1	0	9	0	0	1	0	7	0	0	0	0	0	19	4	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	280	"AWI"	280	4056	5555	4587	30	0	6	0	0	1	0	341	0	0	1	0	1	1	15	8	0	0	2	0	0	0	3	2	0	12	0	0	0	0	14	0	0	2	0	1	13	3	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	300	"AWI"	300	4753	6436	5556	10	0	32	1	0	3	0	658	0	0	1	0	39	1	9	7	0	0	2	0	0	0	9	0	0	65	0	0	0	0	18	2	0	0	0	5	52	7	0
1219	1254	"Saint-Jean Ile d'Orléans"	46.93278	-70.93278	320	"AWI"	320	5837	7103	6556	4	0	11	1	0	0	0	297	1	0	0	0	6	4	4	1	0	0	2	0	0	0	0	3	0	40	0	0	0	0	22	0	0	0	1	1	30	13	0
