"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Liliaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1407	1444	"Kayakskoye Zaimitschye"	55	81	10	"AWI"	10	446	861	587	0	0	60	0	45	60	0	210	0	0	0	15	0	0	0	0	13	445	0	105	0	0	0	0	0	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	20	"AWI"	20	509	1036	704	10	39	15	0	60	15	0	110	0	0	0	75	0	0	0	0	10	412	0	90	0	0	0	0	10	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	30	"AWI"	30	591	1192	831	12	0	30	0	60	60	0	180	0	0	0	150	0	0	0	150	12	360	0	300	30	0	0	25	30	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	40	"AWI"	40	665	1351	950	4	0	20	15	25	27	0	160	0	10	0	80	15	0	0	0	5	260	0	200	0	0	0	0	10	20	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	50	"AWI"	50	754	1482	1070	15	0	50	0	55	50	0	75	0	15	27	150	25	0	0	0	15	196	0	225	0	18	0	20	15	20	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	60	"AWI"	60	846	1596	1196	20	0	27	27	25	55	0	100	20	0	27	282	0	0	0	0	20	300	0	225	0	0	0	25	27	25	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	70	"AWI"	70	942	1724	1316	0	21	15	15	21	42	0	120	0	0	15	180	0	0	0	0	6	186	0	180	12	0	0	20	0	9	0	0	25
1407	1444	"Kayakskoye Zaimitschye"	55	81	80	"AWI"	80	1048	1838	1433	12	32	25	0	35	0	0	80	0	0	25	125	0	0	0	0	16	280	0	135	0	0	0	0	0	20	0	0	4
1407	1444	"Kayakskoye Zaimitschye"	55	81	90	"AWI"	90	1156	1956	1550	0	0	25	25	30	50	20	120	0	20	20	150	0	0	0	0	8	208	2	175	17	0	0	25	0	18	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	100	"AWI"	100	1268	2071	1668	0	35	30	0	45	45	20	40	0	0	18	135	0	0	0	0	9	332	7	135	0	0	0	0	18	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	110	"AWI"	110	1386	2168	1784	0	28	2	0	5	35	12	30	0	0	4	87	0	0	0	0	18	546	0	87	0	8	0	0	12	6	0	0	3
1407	1444	"Kayakskoye Zaimitschye"	55	81	120	"AWI"	120	1515	2278	1904	0	0	5	8	12	15	14	35	12	0	12	100	0	0	0	0	14	595	0	80	10	0	0	12	10	10	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	130	"AWI"	130	1660	2384	2022	8	0	25	0	45	10	0	120	0	0	9	40	0	0	0	0	9	300	0	0	6	0	0	0	0	25	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	140	"AWI"	140	1791	2491	2139	12	0	100	10	0	0	18	90	0	8	0	40	4	0	0	0	10	498	0	70	0	0	0	0	0	4	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	150	"AWI"	150	1960	2572	2252	0	0	5	3	7	7	15	120	0	0	0	75	0	0	0	0	6	135	0	0	0	0	0	0	12	0	7	12	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	160	"AWI"	160	2151	2648	2357	0	0	100	0	8	0	3	25	0	0	0	20	0	0	0	0	7	244	0	90	7	0	0	0	4	10	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	170	"AWI"	170	2353	2814	2509	0	0	120	0	10	0	7	105	0	0	0	45	0	0	0	0	10	197	0	80	0	0	0	0	6	13	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	180	"AWI"	180	2442	3231	2747	0	0	35	0	12	0	4	200	0	0	0	55	0	0	0	0	0	143	0	70	0	0	6	0	7	5	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	190	"AWI"	190	2578	3556	2985	0	0	98	0	15	0	5	150	10	0	0	70	0	0	0	0	0	180	0	110	0	0	5	0	10	6	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	200	"AWI"	200	2726	3794	3216	0	13	42	0	60	20	8	100	12	0	8	120	0	0	0	0	10	195	0	200	6	12	7	0	7	12	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	210	"AWI"	210	2896	3989	3433	7	0	3	8	42	8	18	140	0	0	2	42	4	0	0	0	8	157	0	59	0	0	3	3	17	3	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	220	"AWI"	220	3102	4205	3656	0	0	0	7	22	10	3	75	0	0	0	25	0	0	0	0	3	0	0	21	0	0	0	7	3	0	5	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	230	"AWI"	230	3301	4383	3876	0	0	0	0	0	15	12	80	0	0	2	45	0	0	0	0	5	212	2	45	0	0	0	5	0	3	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	240	"AWI"	240	3542	4535	4113	0	0	7	0	40	0	20	110	0	0	10	50	0	0	0	0	4	75	0	36	0	0	0	0	0	8	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	250	"AWI"	250	3817	4658	4333	0	15	0	0	60	0	30	150	0	0	0	45	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	260	"AWI"	260	4152	4766	4559	0	0	0	0	0	0	18	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	270	"AWI"	270	4572	5194	4848	0	0	0	0	0	0	15	60	0	0	0	10	0	15	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	280	"AWI"	280	4826	5973	5333	0	0	15	0	30	0	5	80	0	0	0	0	0	0	0	0	2	0	0	20	0	0	0	0	0	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	290	"AWI"	290	5198	6276	5856	0	0	0	0	0	40	7	97	0	0	0	25	0	0	0	0	0	0	0	75	0	0	0	0	0	30	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	300	"AWI"	300	6140	6450	6298	0	0	50	0	45	50	32	100	0	0	0	9	0	0	10	0	0	0	0	44	7	0	0	0	11	5	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	310	"AWI"	310	6529	7914	7232	0	0	25	5	0	30	40	110	5	0	0	15	30	0	0	0	5	0	0	0	6	0	0	0	6	5	7	0	6
