"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Cactaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Poaceae"	"Podocarpus"	"Polylepis"	"Ranunculaceae"	"Solanaceae"
348	356	"Chacaltaya 2"	-16.36667	-68.15	0	"AWI"	0	-134	34	-51	0	0	3	0	0	0	11	34	3	0	0	11	1	2	56	1	1	0	29
348	356	"Chacaltaya 2"	-16.36667	-68.15	5	"AWI"	5	-72	347	64	1	0	0	0	0	0	5	18	3	0	0	15	1	1	32	1	0	0	17
348	356	"Chacaltaya 2"	-16.36667	-68.15	10	"AWI"	10	-47	736	172	0	0	0	0	0	0	9	1	0	0	0	9	0	2	23	2	0	0	13
348	356	"Chacaltaya 2"	-16.36667	-68.15	25	"AWI"	25	194	1166	619	3	4	0	0	0	0	5	13	1	0	0	15	0	0	16	1	0	0	1
348	356	"Chacaltaya 2"	-16.36667	-68.15	40	"AWI"	40	457	1590	1063	1	0	0	0	0	0	1	4	0	0	0	0	0	0	14	0	0	0	21
348	356	"Chacaltaya 2"	-16.36667	-68.15	45	"AWI"	45	638	1665	1200	1	0	1	0	0	0	10	17	2	0	0	38	0	2	93	4	0	0	7
348	356	"Chacaltaya 2"	-16.36667	-68.15	50	"AWI"	50	743	1783	1342	4	0	2	0	0	0	26	1	0	0	0	17	0	1	271	1	1	0	17
348	356	"Chacaltaya 2"	-16.36667	-68.15	65	"AWI"	65	1430	1977	1735	5	0	2	0	0	0	6	116	1	1	0	74	2	2	81	4	1	0	19
348	356	"Chacaltaya 2"	-16.36667	-68.15	75	"AWI"	75	1791	2456	2042	4	23	0	328	0	0	22	10	0	0	0	19	0	2	51	0	2	0	9
348	356	"Chacaltaya 2"	-16.36667	-68.15	85	"AWI"	85	1966	3231	2442	0	3	0	0	0	0	2	8	0	0	0	2	1	0	51	1	0	0	21
348	356	"Chacaltaya 2"	-16.36667	-68.15	95	"AWI"	95	2199	3783	2886	4	11	0	0	0	0	5	19	1	0	0	1	0	0	101	0	0	0	29
348	356	"Chacaltaya 2"	-16.36667	-68.15	105	"AWI"	105	2514	4240	3328	0	0	0	136	0	0	12	40	1	0	0	40	7	1	150	3	2	0	13
348	356	"Chacaltaya 2"	-16.36667	-68.15	130	"AWI"	130	3428	5171	4455	0	10	0	0	0	0	3	3	0	0	1	0	1	1	38	0	1	0	6
348	356	"Chacaltaya 2"	-16.36667	-68.15	150	"AWI"	150	4893	5586	5339	0	0	1	0	0	0	1	11	0	0	0	0	1	0	28	1	0	0	35
