"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Agathis"	"Arecaceae"	"Casuarinaceae"	"Cunoniaceae"	"Dacrydium"	"Elaeocarpaceae"	"Eucalyptus"	"Myrtaceae"	"Phyllocladus"	"Poaceae"	"Podocarpus"	"Rutaceae"	"Urticaceae"
1628	1683	"Lynch's Crater"	-17.3667	145.6881	10	"AWI"	10	671	822	746	0	0	19	17	0	10	10	13	0	210	2	0	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	20	"AWI"	20	1475	1617	1548	0	4	8	23	0	8	16	15	0	42	3	2	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	30	"AWI"	30	2278	2415	2350	0	1	8	12	0	2	1	15	0	30	0	1	1
1628	1683	"Lynch's Crater"	-17.3667	145.6881	40	"AWI"	40	3078	3221	3152	0	0	6	17	0	3	3	17	0	1	0	14	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	50	"AWI"	50	3875	4033	3955	0	0	5	8	0	2	5	17	0	0	0	7	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	60	"AWI"	60	4669	4850	4757	0	0	5	22	0	3	8	15	0	0	1	1	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	70	"AWI"	70	5462	5666	5559	0	0	79	5	0	7	24	2	0	195	6	1	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	80	"AWI"	80	6251	6483	6359	1	0	57	1	0	4	68	10	0	23	0	0	1
1628	1683	"Lynch's Crater"	-17.3667	145.6881	100	"AWI"	100	7827	8119	7961	0	0	71	1	0	1	65	0	0	975	0	0	1
1628	1683	"Lynch's Crater"	-17.3667	145.6881	125	"AWI"	125	9924	10543	10217	0	0	107	0	0	0	42	0	0	39	0	0	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	150	"AWI"	150	11906	13263	12561	1	0	44	0	0	1	92	1	0	91	0	1	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	175	"AWI"	175	13857	15998	14886	0	0	88	0	0	0	53	1	0	81	1	0	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	200	"AWI"	200	15801	18738	17205	0	0	70	0	0	0	72	1	0	204	0	0	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	225	"AWI"	225	16803	20139	18504	0	0	69	0	0	0	60	0	0	120	1	0	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	250	"AWI"	250	17096	20881	19089	0	0	62	0	0	0	71	0	0	81	0	0	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	275	"AWI"	275	17277	21843	19691	0	0	63	0	0	0	75	1	0	114	1	0	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	300	"AWI"	300	17450	23011	20237	0	0	65	0	0	0	82	1	0	34	1	0	0
