"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Leitneria"	"Liliaceae"	"Liquidambar"	"Magnolia"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
940	969	"Goshen Springs"	31.72111	-86.13417	175	"AWI"	175	5557	6533	6169	0	0	0	0	1	1	0	0	0	0	16	0	1	0	0	0	0	0	26	0	0	0	0	0	27	0	0	0	0	0	4	18	0	0	0	0	1	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	185	"AWI"	185	6426	7615	6821	0	0	1	2	0	0	0	0	0	0	28	0	0	0	0	0	0	0	13	0	0	4	0	0	70	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	2	0	142	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	205	"AWI"	205	8026	9327	8772	0	0	2	0	0	3	0	2	0	0	30	2	0	0	0	0	0	0	38	0	0	0	0	1	77	0	0	0	0	1	12	7	0	1	4	0	3	0	0	0	0	0	0	0	157	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0
940	969	"Goshen Springs"	31.72111	-86.13417	215	"AWI"	215	9483	17039	11386	0	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	4	5	1	0	2	61	0	0	0	0	0	13	1	0	0	2	10	5	0	0	0	0	0	0	0	108	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	225	"AWI"	225	11768	23893	16909	0	0	3	0	0	0	0	2	0	0	16	0	0	0	0	0	0	0	11	4	0	5	0	3	62	0	0	0	0	0	52	1	0	1	1	29	11	0	0	0	0	0	0	1	126	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
940	969	"Goshen Springs"	31.72111	-86.13417	235	"AWI"	235	17638	28210	23320	0	0	4	0	0	0	0	1	0	0	16	0	0	0	0	0	0	1	12	12	0	1	0	9	33	0	0	0	0	0	15	0	0	1	0	6	5	0	0	0	0	0	0	1	71	0	0	0	0	0	0	2	0	0	0	2	0	0	9	0
940	969	"Goshen Springs"	31.72111	-86.13417	245	"AWI"	245	25704	30045	28477	0	0	1	0	0	0	0	4	0	0	12	0	0	0	0	0	9	1	23	24	0	1	0	3	63	0	0	0	0	0	23	4	0	0	2	0	3	0	0	0	0	0	0	0	109	0	0	0	0	0	0	4	0	0	0	0	2	0	9	0
940	969	"Goshen Springs"	31.72111	-86.13417	255	"AWI"	255	28904	32332	30762	0	0	6	1	0	1	0	3	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	3	1	0	0	0	0	5	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	265	"AWI"	265	30061	33959	32006	0	0	0	0	0	0	0	2	0	0	5	0	1	0	0	1	0	0	1	12	1	0	0	0	35	1	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	2	0	38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	275	"AWI"	275	31071	35295	33270	0	0	1	1	2	0	0	4	0	0	7	0	1	1	0	0	0	0	2	0	0	1	0	2	24	1	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	285	"AWI"	285	32502	36387	34669	0	0	1	0	1	0	0	3	0	0	6	0	2	0	0	0	1	1	4	0	0	3	0	0	22	0	0	0	0	0	3	1	0	1	0	0	0	2	306	0	0	0	1	0	32	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	295	"AWI"	295	34242	37142	36052	0	0	2	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	3	20	0	0	0	0	19	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	27	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	305	"AWI"	305	36667	37942	37222	0	0	0	1	1	0	0	1	0	0	20	0	0	0	0	0	0	0	2	32	0	3	0	1	24	0	0	0	0	0	1	0	1	6	0	0	2	1	0	0	0	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	315	"AWI"	315	37378	39634	38111	0	0	1	1	1	0	0	0	0	0	17	0	1	0	0	0	0	0	1	0	0	4	0	4	19	0	0	0	0	0	4	1	0	4	0	0	3	0	0	0	0	0	1	0	34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	325	"AWI"	325	37810	41201	39040	0	0	1	0	2	0	0	1	0	0	13	0	2	0	0	0	0	1	1	36	0	1	0	1	38	0	0	0	0	0	7	1	0	4	3	0	8	1	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	335	"AWI"	335	38330	42717	39975	0	0	4	0	0	0	0	2	0	0	14	0	2	0	0	0	0	0	5	4	0	3	0	3	20	0	0	0	0	0	4	3	0	0	0	8	4	0	0	0	0	0	2	0	79	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	345	"AWI"	345	38998	43992	40915	1	0	3	1	5	0	0	2	0	0	12	0	28	0	2	0	0	0	9	16	0	2	0	0	38	0	0	1	1	0	9	2	0	9	4	0	2	1	0	0	0	0	7	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
