"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Heliotropium"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Liquidambar"	"Magnolia"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Taxodium"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Verbenaceae"	"Vitaceae"
480	492	"Clear Pond"	33.798804	-78.95349	217	"AWI"	217	-116	43	-40	0	0	2	3	0	1	0	0	6	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	11	0	0	0	9	0	7	3	0	1	0	0	0	1	8	0	0	0	84	0	0	0	0	0	2	0	0	0	0	6	0	0
480	492	"Clear Pond"	33.798804	-78.95349	219	"AWI"	219	-75	60	-11	0	0	3	4	0	0	0	0	29	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	1	9	0	8	0	0	0	0	25	0	0	1	127	0	0	0	0	0	0	3	0	0	1	7	0	0
480	492	"Clear Pond"	33.798804	-78.95349	221	"AWI"	221	-40	80	19	0	0	0	1	0	0	0	0	12	0	0	0	4	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	1	3	0	3	0	0	0	0	7	0	0	1	100	1	0	1	0	0	0	0	0	0	0	7	0	0
480	492	"Clear Pond"	33.798804	-78.95349	223	"AWI"	223	-15	106	49	0	0	2	0	0	0	0	0	16	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	10	0	0	0	5	0	0	7	0	2	0	0	0	1	26	0	0	0	71	1	0	0	0	0	1	1	0	0	0	5	0	0
480	492	"Clear Pond"	33.798804	-78.95349	225	"AWI"	225	6	139	80	0	0	4	2	0	0	0	0	28	0	0	0	7	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	3	7	0	0	0	14	0	1	7	0	6	0	0	0	1	22	0	0	1	111	0	0	0	0	0	2	0	0	0	0	7	0	0
480	492	"Clear Pond"	33.798804	-78.95349	227	"AWI"	227	22	179	110	0	0	4	0	0	0	0	0	11	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	0	8	0	0	4	0	2	0	0	0	0	10	0	0	0	46	0	0	0	0	0	0	0	0	0	0	3	0	0
480	492	"Clear Pond"	33.798804	-78.95349	229	"AWI"	229	120	286	190	0	0	3	0	0	8	0	0	20	1	0	0	6	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	10	0	0	0	17	0	2	11	0	10	0	0	0	1	15	0	0	1	135	0	0	0	0	0	0	3	0	0	0	7	0	0
480	492	"Clear Pond"	33.798804	-78.95349	231	"AWI"	231	144	510	261	0	0	3	1	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	8	0	1	0	10	0	1	6	0	1	0	0	0	0	13	0	0	3	43	0	0	0	0	0	0	2	0	0	0	1	0	0
480	492	"Clear Pond"	33.798804	-78.95349	233	"AWI"	233	157	740	333	0	0	1	0	0	0	0	0	11	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	8	0	0	3	0	1	0	0	0	0	14	0	0	2	79	0	0	0	0	0	1	2	0	0	0	5	0	2
480	492	"Clear Pond"	33.798804	-78.95349	235	"AWI"	235	169	965	407	0	0	5	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	5	0	1	0	9	0	2	5	0	2	1	0	0	1	18	0	0	0	70	0	0	0	0	0	0	0	0	0	1	3	0	0
