"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Liquidambar"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
666	684	"Devils Lake"	43.4159	-89.73334	0.5	"AWI"	0.5	-137.5	32.5	-47	0	5	5	13	2	5	0	16	4	0	10	0	2	0	3	12	11	0	0	0	1	7	0	7	21	5	0	0	0	5	1	31	1	1	24	1	172	2	0	1	2	1	0	0	1	1	13	1
666	684	"Devils Lake"	43.4159	-89.73334	2	"AWI"	2	-121	56	-28	0	5	1	15	1	6	236	22	0	1	10	0	0	0	0	12	9	0	0	0	0	19	0	13	47	3	0	0	1	5	2	39	0	0	54	4	275	1	0	1	5	1	0	1	2	1	20	2
666	684	"Devils Lake"	43.4159	-89.73334	9	"AWI"	9	-85	249	49	0	2	8	10	0	2	0	25	0	0	9	0	0	0	2	12	14	0	0	0	1	6	0	15	28	5	0	0	1	5	1	46	0	0	40	2	183	0	2	1	6	1	0	0	3	1	19	5
666	684	"Devils Lake"	43.4159	-89.73334	16	"AWI"	16	-36	349	147	0	1	6	8	0	6	106	16	0	0	9	0	0	0	2	6	13	0	0	0	0	8	0	5	47	4	0	0	0	5	1	47	1	3	33	0	210	0	0	1	2	1	1	0	2	2	19	2
666	684	"Devils Lake"	43.4159	-89.73334	19.5	"AWI"	19.5	-21	404	191.5	0	5	4	4	0	12	0	33	1	0	8	0	0	0	0	2	6	0	0	0	0	7	0	8	54	2	0	0	0	6	0	63	0	4	28	8	305	3	0	0	1	7	1	3	2	7	18	0
666	684	"Devils Lake"	43.4159	-89.73334	22.5	"AWI"	22.5	4	461	233.5	0	1	11	3	0	8	0	19	0	0	6	0	2	0	2	17	16	0	0	0	0	17	0	10	61	1	2	0	0	9	1	72	0	5	11	6	259	1	0	1	0	2	0	1	0	1	9	2
666	684	"Devils Lake"	43.4159	-89.73334	31	"AWI"	31	79	714	369	0	12	20	9	0	15	0	60	1	0	23	0	0	0	3	19	39	0	0	0	8	38	0	10	81	12	1	0	0	28	3	162	0	8	25	18	601	0	1	0	0	4	0	3	2	6	18	2
666	684	"Devils Lake"	43.4159	-89.73334	39	"AWI"	39	171	828	477	1	4	6	6	0	4	38	24	1	0	10	1	0	0	1	2	7	0	0	0	1	7	2	4	39	5	0	1	0	7	1	63	0	9	18	7	261	1	0	0	0	6	1	1	1	6	11	0
666	684	"Devils Lake"	43.4159	-89.73334	46.5	"AWI"	46.5	248.5	947.5	577.5	0	2	11	0	0	7	42	29	0	1	14	0	0	0	2	11	15	0	0	0	1	16	0	10	55	4	1	0	0	7	0	77	0	3	16	0	287	0	0	0	0	4	0	0	1	4	10	1
666	684	"Devils Lake"	43.4159	-89.73334	54.5	"AWI"	54.5	330.5	1114	688	1	3	8	2	0	9	0	29	0	0	9	0	0	0	1	6	5	0	0	0	3	14	0	6	65	6	0	0	0	6	0	69	0	4	18	2	303	3	0	0	0	0	0	0	0	4	8	0
666	684	"Devils Lake"	43.4159	-89.73334	62	"AWI"	62	413	1238	801	0	5	7	6	0	9	45	34	0	0	19	1	1	0	4	10	18	0	0	0	1	12	0	6	60	6	0	0	0	9	2	89	0	8	28	2	348	1	0	1	2	5	0	1	3	2	13	1
666	684	"Devils Lake"	43.4159	-89.73334	69	"AWI"	69	503	1334	892	0	0	9	6	0	11	0	21	0	0	13	0	1	0	0	6	10	1	0	0	2	5	0	10	53	3	0	0	0	3	0	105	0	8	14	12	286	1	0	0	0	5	0	0	2	3	6	0
666	684	"Devils Lake"	43.4159	-89.73334	76.5	"AWI"	76.5	579	1455.5	993.5	1	1	3	1	1	7	18	36	0	0	14	0	0	0	2	6	19	0	0	0	2	5	1	4	49	3	0	0	0	6	0	89	0	2	23	0	318	0	0	0	0	1	1	0	1	1	7	1
666	684	"Devils Lake"	43.4159	-89.73334	83.5	"AWI"	83.5	669.5	1552.5	1098.5	0	1	4	1	0	8	0	32	0	0	25	0	0	0	1	9	15	0	0	0	2	4	0	3	42	2	1	0	1	6	1	87	0	5	20	9	262	0	0	0	0	2	0	0	0	4	2	0
666	684	"Devils Lake"	43.4159	-89.73334	90.5	"AWI"	90.5	760.5	1652	1204.5	0	8	12	3	1	11	0	32	0	0	14	2	1	0	0	9	16	0	0	0	5	10	0	4	64	0	1	0	0	3	0	79	0	1	21	3	238	1	0	0	0	2	0	1	1	3	8	3
666	684	"Devils Lake"	43.4159	-89.73334	97.5	"AWI"	97.5	844.5	1758	1307	2	4	5	3	0	8	0	37	1	0	18	1	0	0	1	6	20	0	0	0	0	4	0	5	66	4	2	0	0	5	1	84	0	5	24	4	269	2	1	0	0	2	0	1	1	4	7	0
666	684	"Devils Lake"	43.4159	-89.73334	104.5	"AWI"	104.5	936.5	1843	1400.5	1	1	8	1	0	10	0	38	0	0	18	1	0	0	1	13	15	1	0	0	6	13	0	3	89	1	1	0	0	6	1	99	0	5	33	4	279	3	0	1	0	3	0	1	0	6	4	0
666	684	"Devils Lake"	43.4159	-89.73334	111	"AWI"	111	1067	1919	1490	0	5	9	1	0	15	0	32	0	0	10	0	0	0	1	4	11	0	0	0	0	5	0	4	113	2	0	0	0	2	1	76	0	11	28	3	258	2	0	0	0	1	0	0	1	4	10	0
666	684	"Devils Lake"	43.4159	-89.73334	117.5	"AWI"	117.5	1155.5	1995	1591.5	0	2	8	2	0	12	11	35	0	0	12	0	0	0	1	4	18	0	0	0	1	8	0	6	116	1	4	0	0	2	0	53	0	5	24	4	308	1	0	0	0	1	0	0	0	4	13	0
666	684	"Devils Lake"	43.4159	-89.73334	124	"AWI"	124	1231	2060	1680	0	2	4	4	0	15	0	23	0	0	9	0	0	0	1	3	15	0	0	0	1	11	0	6	147	4	0	0	0	8	1	86	0	6	28	2	248	0	0	0	0	1	0	0	0	3	10	1
