"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Lamiaceae"	"Larix"	"Lithocarpus"	"Picea"	"Pinaceae"	"Pinus"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Tsuga"
512	525	"Crowfoot Lake"	51.65	-116.41667	0	"AWI"	0	-150	20	-59	20	0	40	2	0	3	0	1	0	0	0	0	0	0	0	16	0	0	0	4	1	0	6	0	3	0	86	23	422	2	0	0	0	0	0	0	3	0	0	0	0	0	10
512	525	"Crowfoot Lake"	51.65	-116.41667	10	"AWI"	10	-74	327	90	24	0	41	4	0	5	0	2	0	0	0	0	0	0	0	18	0	0	0	1	1	0	6	0	5	0	130	16	541	7	0	0	0	0	0	1	3	0	1	0	0	0	22
512	525	"Crowfoot Lake"	51.65	-116.41667	20	"AWI"	20	7	474	251	29	0	45	2	0	4	0	9	0	0	0	0	0	0	4	12	0	0	0	3	0	0	9	0	4	0	80	19	425	8	0	0	0	0	0	0	3	0	0	0	0	1	13
512	525	"Crowfoot Lake"	51.65	-116.41667	30	"AWI"	30	149	571	409	30	0	30	0	0	3	0	4	1	0	0	0	0	0	8	14	0	0	0	3	0	0	10	0	3	0	89	19	442	7	1	0	0	1	0	0	2	0	0	0	0	1	11
512	525	"Crowfoot Lake"	51.65	-116.41667	40	"AWI"	40	385	630	548	19	0	66	3	0	7	0	1	0	0	0	0	0	0	3	27	2	0	0	0	0	0	12	0	0	0	75	17	411	9	1	0	0	1	0	0	6	2	0	0	0	0	6
512	525	"Crowfoot Lake"	51.65	-116.41667	45	"AWI"	45	491	712	622	36	0	57	2	0	4	0	3	0	0	0	0	0	0	4	16	0	0	0	0	0	0	7	0	3	0	57	16	362	5	0	0	0	4	2	0	5	0	0	0	0	0	9
512	525	"Crowfoot Lake"	51.65	-116.41667	50	"AWI"	50	521	878	671	32	0	76	1	0	5	0	2	0	0	0	0	0	0	0	19	0	0	0	1	0	0	6	0	3	0	51	20	428	12	0	0	0	1	0	0	3	0	0	0	0	0	2
512	525	"Crowfoot Lake"	51.65	-116.41667	55	"AWI"	55	596	978	775	27	0	54	2	0	4	0	1	0	0	0	0	0	0	4	12	0	0	0	1	0	0	8	0	0	0	56	9	485	3	0	0	0	0	0	0	3	0	0	1	0	0	4
512	525	"Crowfoot Lake"	51.65	-116.41667	60	"AWI"	60	634	1154	874	39	0	35	0	0	5	0	2	0	0	0	0	0	0	0	13	0	0	0	0	1	0	5	0	1	0	185	14	416	4	0	0	0	0	0	1	3	0	0	0	0	0	8
512	525	"Crowfoot Lake"	51.65	-116.41667	65	"AWI"	65	796	1227	1000	40	0	19	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	1	0	120	6	497	4	0	0	0	1	0	0	2	0	0	0	0	0	7
