"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gordonia"	"Isoëtes"	"Liquidambar"	"Morus"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Sabal"	"Salix"	"Serenoa"	"Taxodium"	"Ulmus"	"Vitaceae"
1597	1648	"Lake Annie"	27.206702	-81.351632	1850	"AWI"	1850	-135	31	-54	0	0	19	0	0	0	0	4	9	6	0	0	0	2	0	0	0	24	0	0	197	0	10	0	27	0	0	1	9	0	0
1597	1648	"Lake Annie"	27.206702	-81.351632	1860	"AWI"	1860	-94	171	9	3	0	26	0	0	0	0	3	11	10	0	0	1	6	0	1	1	35	1	1	270	1	10	0	51	0	1	1	0	0	2
1597	1648	"Lake Annie"	27.206702	-81.351632	1880	"AWI"	1880	-60	567	121	1	2	33	0	0	0	1	1	11	12	0	0	0	3	0	0	0	36	0	0	267	0	10	0	36	0	0	0	3	2	1
1597	1648	"Lake Annie"	27.206702	-81.351632	1900	"AWI"	1900	-42	967	234	0	0	10	0	0	0	0	2	2	10	0	0	1	3	0	0	0	16	0	0	194	0	11	0	29	0	0	1	2	0	0
1597	1648	"Lake Annie"	27.206702	-81.351632	1910	"AWI"	1910	-35	1169	290	1	1	22	0	0	5	0	3	6	7	0	0	1	6	0	0	0	27	0	1	160	0	11	0	23	0	0	0	4	3	0
1597	1648	"Lake Annie"	27.206702	-81.351632	1920	"AWI"	1920	17	1245	363	0	1	10	0	0	13	0	3	5	6	0	0	0	1	0	0	0	24	1	0	200	0	14	0	41	0	1	1	6	0	1
1597	1648	"Lake Annie"	27.206702	-81.351632	1930	"AWI"	1930	60	1294	441	0	1	17	0	0	0	0	1	10	11	5	0	0	0	0	0	0	30	0	0	236	0	7	0	28	0	0	0	6	2	3
1597	1648	"Lake Annie"	27.206702	-81.351632	1950	"AWI"	1950	110	1444	595	0	2	30	0	0	9	0	2	5	11	2	0	3	2	0	1	1	31	2	1	230	0	16	0	32	0	0	0	6	0	1
1597	1648	"Lake Annie"	27.206702	-81.351632	1970	"AWI"	1970	148	1633	736	0	1	16	0	0	0	0	0	2	14	0	0	1	7	0	1	0	24	0	1	172	0	11	0	28	0	0	1	5	0	0
1597	1648	"Lake Annie"	27.206702	-81.351632	1990	"AWI"	1990	265	1743	873	0	0	16	1	0	12	0	0	15	15	0	0	4	9	0	0	1	33	0	0	148	0	13	0	37	2	0	0	0	1	0
1597	1648	"Lake Annie"	27.206702	-81.351632	2010	"AWI"	2010	358	1831	1018	0	0	30	0	0	9	0	3	1	8	3	0	1	8	0	0	1	23	0	1	160	0	6	0	37	0	0	1	2	0	0
1597	1648	"Lake Annie"	27.206702	-81.351632	2030	"AWI"	2030	413	1995	1160	0	0	11	0	0	0	0	3	0	12	2	0	1	2	0	0	0	28	0	0	254	0	23	0	28	0	0	1	6	1	0
1597	1648	"Lake Annie"	27.206702	-81.351632	2050	"AWI"	2050	572	2103	1297	0	0	17	0	0	7	0	1	3	13	0	0	0	4	0	0	0	28	0	1	177	0	9	0	27	0	0	4	3	1	1
1597	1648	"Lake Annie"	27.206702	-81.351632	2070	"AWI"	2070	705	2184	1443	0	1	25	0	0	10	0	0	4	12	2	0	0	6	0	0	3	23	0	0	132	0	14	0	43	0	1	2	6	0	1
1597	1648	"Lake Annie"	27.206702	-81.351632	2090	"AWI"	2090	787	2324	1593	0	0	48	0	0	12	0	3	0	19	2	0	0	6	0	0	0	21	1	1	171	0	10	0	20	0	1	0	5	0	0
1597	1648	"Lake Annie"	27.206702	-81.351632	2110	"AWI"	2110	960	2445	1728	0	1	49	0	0	0	0	1	8	11	0	0	0	6	0	0	0	21	0	0	151	0	14	0	29	0	1	0	3	2	3
1597	1648	"Lake Annie"	27.206702	-81.351632	2130	"AWI"	2130	1116	2518	1870	0	0	39	0	0	8	0	2	5	17	4	0	2	11	0	1	0	31	0	2	158	0	10	0	44	0	0	1	2	1	2
1597	1648	"Lake Annie"	27.206702	-81.351632	2150	"AWI"	2150	1225	2607	2025	0	0	27	0	0	0	0	2	3	7	3	0	2	11	0	0	0	32	0	3	177	0	18	0	55	0	0	3	1	1	2
1597	1648	"Lake Annie"	27.206702	-81.351632	2170	"AWI"	2170	1416	2714	2158	0	0	17	1	0	10	0	2	4	18	3	0	1	7	0	0	2	18	1	0	169	0	7	0	40	0	0	1	2	1	1
1597	1648	"Lake Annie"	27.206702	-81.351632	2190	"AWI"	2190	1696	2773	2286	0	1	24	1	0	13	0	2	7	16	4	0	1	4	0	2	0	30	1	0	226	0	33	0	31	0	0	1	0	0	2
1597	1648	"Lake Annie"	27.206702	-81.351632	2210	"AWI"	2210	1876	2864	2422	0	0	30	0	0	0	0	0	2	7	3	0	0	6	0	0	1	29	1	2	192	0	13	0	33	0	0	2	3	0	2
