"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Betula"	"Brassicaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Larix"	"Liliaceae"	"Orobanchaceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Primulaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Urticaceae"
1478	1515	"Bol'shoi Khomus-Yuryakh River"	70.125	153.75	100	"AWI"	100	9108	10092	9547	26	0	68	0	13	26	2	0	1	0	1	3	0	0	1	0	0	3	1	1
1478	1515	"Bol'shoi Khomus-Yuryakh River"	70.125	153.75	200	"AWI"	200	9538	10518	9973	55	3	151	1	7	5	2	2	0	1	1	3	1	3	0	1	1	5	0	0
