"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"
360	369	"Chippewa Bog"	43.12389	-83.24111	191	"AWI"	191	46	1004	604	0	10	1	1	0	2	19	7	0	0	2	0	4	0	15	7	0	0	0	4	2	2	3	35	0	2	1	4	58	0	1	5	8	1	11
360	369	"Chippewa Bog"	43.12389	-83.24111	196	"AWI"	196	198	1037	676	0	4	2	0	1	3	11	1	0	0	0	1	0	0	6	0	0	0	0	4	0	0	0	22	0	0	2	0	42	0	0	1	0	1	2
360	369	"Chippewa Bog"	43.12389	-83.24111	206	"AWI"	206	398	1129	825	0	5	3	0	0	0	14	2	0	1	2	1	0	0	20	7	0	0	0	1	2	2	2	51	0	0	3	4	63	1	0	2	3	5	6
360	369	"Chippewa Bog"	43.12389	-83.24111	216	"AWI"	216	614	1214	970	0	2	0	1	0	0	4	0	0	0	0	0	4	0	7	0	1	0	0	0	0	0	0	129	0	0	2	0	52	0	0	1	0	1	3
360	369	"Chippewa Bog"	43.12389	-83.24111	226	"AWI"	226	922	1281	1105	0	6	1	0	1	0	5	0	0	2	0	0	0	0	7	0	0	0	0	2	0	0	10	116	0	0	2	0	42	0	0	0	2	1	10
360	369	"Chippewa Bog"	43.12389	-83.24111	231	"AWI"	231	976	1380	1174	0	8	1	1	2	0	11	1	0	0	4	0	4	0	19	5	0	0	0	0	1	0	1	31	0	2	1	4	78	0	0	2	6	3	12
360	369	"Chippewa Bog"	43.12389	-83.24111	236	"AWI"	236	1005	1548	1237	0	3	2	1	0	0	14	2	0	0	0	1	0	0	48	2	0	0	0	2	1	0	0	4	0	0	0	0	97	0	0	2	8	2	11
360	369	"Chippewa Bog"	43.12389	-83.24111	246	"AWI"	246	1091	1775	1369	0	7	3	0	0	0	14	3	0	0	0	0	0	0	38	6	1	0	0	1	0	0	1	17	0	0	1	0	98	0	0	3	2	1	7
360	369	"Chippewa Bog"	43.12389	-83.24111	256	"AWI"	256	1179	1982	1510	0	9	0	0	0	2	8	3	0	0	0	0	4	0	48	2	1	0	1	0	0	2	0	19	0	1	1	2	80	0	0	1	6	2	9
360	369	"Chippewa Bog"	43.12389	-83.24111	266	"AWI"	266	1278	2188	1650	0	10	1	1	1	0	15	4	0	3	3	0	4	0	24	2	0	0	0	2	0	0	1	18	0	0	1	3	91	1	0	1	3	1	12
360	369	"Chippewa Bog"	43.12389	-83.24111	276	"AWI"	276	1363	2376	1789	0	8	2	0	1	0	4	2	0	0	0	1	0	1	46	5	1	1	0	2	0	0	0	18	0	0	1	0	95	0	1	3	5	2	8
360	369	"Chippewa Bog"	43.12389	-83.24111	286	"AWI"	286	1460	2528	1929	0	7	0	1	0	6	19	2	0	1	0	0	0	0	32	8	0	1	0	1	1	0	0	14	0	1	1	1	105	0	0	5	2	0	8
360	369	"Chippewa Bog"	43.12389	-83.24111	296	"AWI"	296	1574	2690	2070	0	5	0	0	0	0	17	1	0	0	0	0	0	0	28	3	0	0	0	1	0	0	0	4	0	0	0	2	134	0	0	3	4	2	5
360	369	"Chippewa Bog"	43.12389	-83.24111	306	"AWI"	306	1691	2830	2210	0	4	0	0	0	2	11	2	0	0	0	1	0	0	28	6	0	0	3	3	0	0	0	8	0	0	0	2	113	0	0	2	1	3	12
360	369	"Chippewa Bog"	43.12389	-83.24111	316	"AWI"	316	1817	2972	2349	0	4	0	1	2	2	13	0	0	0	0	1	0	0	19	9	1	0	0	2	0	1	0	4	0	0	0	2	132	0	0	1	3	0	6
360	369	"Chippewa Bog"	43.12389	-83.24111	326	"AWI"	326	1932	3109	2488	0	9	1	1	0	0	6	4	0	3	0	1	0	0	21	11	0	0	0	2	0	2	0	12	0	2	0	2	112	0	1	8	3	5	15
360	369	"Chippewa Bog"	43.12389	-83.24111	336	"AWI"	336	2060	3258	2628	0	5	2	1	0	5	6	0	0	0	0	0	0	0	15	4	0	0	0	2	1	0	0	10	0	0	1	6	127	0	0	2	1	1	13
360	369	"Chippewa Bog"	43.12389	-83.24111	346	"AWI"	346	2177	3400	2772	0	15	0	0	0	0	13	1	0	1	0	0	0	1	21	4	1	0	0	0	1	0	0	11	0	0	2	0	107	0	0	5	4	0	16
360	369	"Chippewa Bog"	43.12389	-83.24111	356	"AWI"	356	2319	3525	2912	0	5	2	2	0	0	19	1	0	1	1	0	0	0	26	7	1	1	0	1	0	0	0	8	0	0	0	2	119	0	0	3	3	0	7
360	369	"Chippewa Bog"	43.12389	-83.24111	366	"AWI"	366	2466	3665	3058	0	3	2	1	0	0	15	1	0	1	0	0	0	0	29	5	0	0	0	0	0	0	0	14	0	1	2	5	136	0	0	6	2	1	12
360	369	"Chippewa Bog"	43.12389	-83.24111	376	"AWI"	376	2602	3794	3200	0	5	1	2	0	5	13	0	0	1	0	0	0	0	15	2	0	0	0	0	0	0	0	6	0	0	0	2	132	0	0	2	2	3	9
360	369	"Chippewa Bog"	43.12389	-83.24111	386	"AWI"	386	2734	3922	3347	0	12	1	1	1	0	7	2	0	0	0	0	0	0	32	10	0	0	0	2	1	0	0	13	0	0	1	3	92	0	0	2	7	0	14
