"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	40	"AWI"	40	6287	7689	7154	7.95107033639144	0	0	2.14067278287462	0.917431192660551	36.3914373088685	0	0	1.22324159021407	1.52905198776758	0.305810397553517	24.4648318042813	0	0	0	0	1.22324159021407	12.2324159021407	0.305810397553517	5.81039755351682	3.6697247706422	0	0	1.8348623853211	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	120	"AWI"	120	7485	8124	7847	13.3333333333333	0	0.606060606060606	3.63636363636364	1.21212121212121	50.9090909090909	0	0	2.42424242424242	1.21212121212121	0	16.969696969697	0	0	1.21212121212121	0	3.03030303030303	4.84848484848485	0.606060606060606	0	0	0	0	0	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	140	"AWI"	140	7832	8277	8017	13.3004926108374	0.492610837438424	0.492610837438424	2.46305418719212	1.97044334975369	23.6453201970443	0	0	5.91133004926108	0	3.44827586206897	24.6305418719212	0	6.40394088669951	0.985221674876847	0	3.44827586206897	9.85221674876847	0.985221674876847	0.492610837438424	0	0	0.492610837438424	0.985221674876847	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	260	"AWI"	260	8811	9717	9339	16.3120567375887	0	2.83687943262411	1.41843971631206	4.25531914893617	19.1489361702128	0	0	0	0	22.6950354609929	12.7659574468085	1.41843971631206	4.9645390070922	0.709219858156028	0	0	9.21985815602837	0	0	0	0	0	4.25531914893617	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	360	"AWI"	360	9626	10231	9996	21.5827338129496	0	0.719424460431655	4.31654676258993	17.2661870503597	18.705035971223	0	0	0	0	27.3381294964029	2.15827338129496	0	0	0.719424460431655	0	0.719424460431655	4.31654676258993	0	0	1.43884892086331	0	0	0.719424460431655	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	380	"AWI"	380	9770	10465	10155	13.5338345864662	0	5.26315789473684	30.0751879699248	5.26315789473684	11.2781954887218	0	0	0	1.50375939849624	8.27067669172932	5.26315789473684	1.50375939849624	0	0	0	0	12.781954887218	0	0	2.25563909774436	0	0	3.00751879699248	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	460	"AWI"	460	10417	11321	10865	5.88235294117647	0	17.6470588235294	3.67647058823529	0	39.7058823529412	0	0	0	0	5.14705882352941	2.94117647058824	1.47058823529412	1.47058823529412	0	0	0	16.1764705882353	1.47058823529412	0	1.47058823529412	0	0	2.94117647058824	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	480	"AWI"	480	10539	11613	11048	2.5974025974026	0.649350649350649	0	3.8961038961039	11.038961038961	5.84415584415584	0	0.649350649350649	1.2987012987013	7.79220779220779	0	1.2987012987013	1.2987012987013	0	0	0	1.2987012987013	45.4545454545455	0.649350649350649	0	12.987012987013	0	0	1.94805194805195	1.2987012987013
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	550	"AWI"	550	11007	12526	11660	7.57575757575758	3.03030303030303	0.757575757575758	16.6666666666667	2.27272727272727	5.3030303030303	0.378787878787879	0.757575757575758	0.757575757575758	12.8787878787879	0	0.757575757575758	3.03030303030303	0	0	0.757575757575758	2.65151515151515	28.030303030303	2.27272727272727	0.757575757575758	6.81818181818182	0	0.757575757575758	3.03030303030303	0.757575757575758
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	650	"AWI"	650	11675	13729	12567	6.18556701030928	1.03092783505155	3.09278350515464	20.6185567010309	5.15463917525773	5.15463917525773	0	0	1.03092783505155	11.8556701030928	1.03092783505155	1.03092783505155	1.03092783505155	0	0	0	1.03092783505155	34.020618556701	1.03092783505155	0	3.09278350515464	0	0	3.60824742268041	0
