"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Drimys"	"Embothrium"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Gunneraceae"	"Lomatia"	"Maytenus"	"Misodendraceae"	"Nothofagus"	"Poaceae"	"Podocarpus"	"Rosaceae"	"Schinus"
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	10	"AWI"	10	-77	362	62	29	15	29	0	0	1007	0	0	0	0	0	0	0	0	0	0	148	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	30	"AWI"	30	66	719	331	0	0	0	6	12	214	0	0	0	0	0	0	0	0	0	0	31	18	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	40	"AWI"	40	169	872	471	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	55	"AWI"	55	345	1072	675	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	65	"AWI"	65	482	1198	811	8	24	72	0	56	176	0	0	0	40	0	0	16	16	0	0	16	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	75	"AWI"	75	639	1325	940	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	85	"AWI"	85	772	1508	1099	8	30	11	0	0	53	0	0	0	4	0	0	0	11	0	0	0	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	95	"AWI"	95	890	1796	1275	0	14	2	0	0	14	0	0	0	0	0	0	0	3	0	0	6	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	105	"AWI"	105	1016	2048	1454	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	5	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	115	"AWI"	115	1151	2292	1640	86	43	86	0	0	2494	0	0	0	0	0	0	0	86	0	1419	344	43	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	125	"AWI"	125	1286	2510	1824	0	0	0	0	0	3096	0	0	0	0	0	72	0	36	36	4824	540	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	135	"AWI"	135	1433	2712	2010	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	1320	33	0	8	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	145	"AWI"	145	1582	2927	2197	90	30	90	0	0	2970	0	0	0	0	0	0	0	30	0	2160	390	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	155	"AWI"	155	1740	3134	2385	5	5	5	0	0	360	0	0	0	21	0	5	0	16	0	319	58	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	160	"AWI"	160	1800	3245	2476	49	24	49	0	0	2001	0	0	0	0	0	0	0	32	8	2001	73	0	0	24
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	165	"AWI"	165	1895	3332	2573	0	27	0	0	0	4563	0	0	0	0	0	0	0	27	0	3078	351	0	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	175	"AWI"	175	2061	3525	2764	10	31	10	0	20	2778	0	0	0	0	0	0	0	10	10	1773	185	62	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	185	"AWI"	185	2227	3712	2950	36	27	36	0	0	738	0	0	0	0	0	0	0	9	0	474	63	18	0	0
1655	1711	"Lago Mascardi-Gutierrez"	-41.25	-71.46667	190	"AWI"	190	2302	3824	3048	146	13	146	0	0	1024	0	0	0	0	0	0	0	0	0	1130	67	40	0	0
