"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cephalanthus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
766	785	"Edward Lake"	44.37	-80.25	1	"AWI"	1	-116	44	-25	3	0	3	2	0	1	0	0	53	0	0	0	0	0	0	22	3	1	0	0	16	8	10	0	1	0	15	5	0	6	1	0	31	0	3	20	1	0	0	0	0	2	0	0	3	38	37	0	0
766	785	"Edward Lake"	44.37	-80.25	10	"AWI"	10	-81	91	9	5	0	1	2	0	0	0	0	28	0	1	0	0	0	0	21	2	0	0	0	8	10	4	0	3	0	3	3	0	1	0	0	14	0	2	19	0	0	0	0	0	2	0	0	1	40	15	0	0
766	785	"Edward Lake"	44.37	-80.25	20	"AWI"	20	-42	145	45	6	0	5	1	2	2	0	0	41	1	1	0	0	0	3	19	3	0	0	1	6	0	0	0	0	0	8	5	0	1	0	0	29	0	3	23	2	0	0	0	1	2	0	0	1	20	35	0	0
766	785	"Edward Lake"	44.37	-80.25	30	"AWI"	30	-9	199	82	5	21	2	4	0	1	0	0	21	0	2	0	0	0	0	21	1	0	0	1	7	6	1	0	2	0	3	2	0	1	0	0	19	0	0	15	0	0	0	0	2	0	0	0	1	19	13	0	0
766	785	"Edward Lake"	44.37	-80.25	40	"AWI"	40	44	236	118	4	0	2	2	0	6	0	0	34	0	3	0	0	1	0	19	0	0	0	0	7	8	0	0	1	0	4	3	0	1	0	0	17	0	0	10	0	0	0	0	1	2	0	0	2	25	25	0	0
766	785	"Edward Lake"	44.37	-80.25	50	"AWI"	50	113	432	219	6	0	1	1	0	0	0	0	58	0	5	0	0	0	0	35	3	0	0	0	25	22	6	0	2	0	8	8	0	0	0	0	17	0	1	24	0	0	0	0	3	0	0	0	2	36	30	0	0
766	785	"Edward Lake"	44.37	-80.25	60	"AWI"	60	166	823	355	7	0	2	0	0	3	0	0	71	0	3	0	0	0	1	8	1	0	0	0	16	0	0	0	3	0	22	2	0	0	1	0	0	0	4	26	0	0	0	0	0	0	0	0	2	23	22	1	0
766	785	"Edward Lake"	44.37	-80.25	70	"AWI"	70	233	1195	556	2	0	3	0	0	1	0	0	68	0	1	0	0	0	0	6	4	0	0	0	21	26	0	7	0	0	14	5	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	37	26	0	0
766	785	"Edward Lake"	44.37	-80.25	80	"AWI"	80	344	1493	762	4	0	2	0	0	2	0	0	74	0	4	0	0	0	0	11	2	0	0	0	19	16	0	0	1	0	14	5	0	0	2	0	1	0	2	21	0	0	0	0	0	1	0	0	1	33	25	0	1
766	785	"Edward Lake"	44.37	-80.25	90	"AWI"	90	449	1796	963	4	0	4	0	0	0	0	0	36	0	2	0	0	0	0	8	0	0	0	0	22	12	2	0	2	0	15	3	0	0	0	0	0	0	1	27	0	0	0	0	0	2	0	0	0	47	57	0	0
