"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Leitneria"	"Liquidambar"	"Magnolia"	"Morus"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Rosaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"	"Vitaceae"
203	203	"Anderson Pond"	36.02963	-85.501848	25	"AWI"	25	-144	39	-39	0	0	0	80	2	0	0	0	4	19	0	0	6	26	0	0	1	7	0	0	0	1	9	0	24	0	0	0	0	8	0	0	5	0	4	0	27	0	8	0	0	1	0	95	0	2	0	8	0	0	0	12	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	30	"AWI"	30	-125	105	-15	0	0	0	66	1	1	0	0	1	15	0	6	2	10	0	0	0	2	0	0	0	0	0	0	33	0	0	0	0	4	0	0	3	0	2	0	0	0	3	0	0	0	0	104	0	7	0	8	0	0	0	10	1	0
203	203	"Anderson Pond"	36.02963	-85.501848	35	"AWI"	35	-110	211	4	0	0	0	317	1	0	2	0	5	12	0	15	0	48	0	1	0	23	0	0	0	2	0	0	76	0	5	0	2	6	0	0	1	0	4	0	0	0	5	0	1	0	0	175	0	4	0	6	0	0	0	4	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	40	"AWI"	40	-98	330	23	0	0	0	336	1	1	1	0	1	17	0	18	0	70	0	1	0	40	0	0	0	3	14	1	54	0	0	0	0	3	0	0	2	0	0	0	0	1	1	18	2	0	0	197	0	6	0	9	0	0	1	7	1	0
203	203	"Anderson Pond"	36.02963	-85.501848	45	"AWI"	45	-89	448	41	0	0	0	358	2	0	1	0	3	15	0	18	0	72	0	0	1	50	0	0	0	2	17	0	69	0	0	0	0	4	0	0	3	0	5	0	0	0	1	0	0	0	0	192	0	10	0	8	0	0	0	4	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	52	"AWI"	52	-80	613	66	0	0	0	493	0	0	0	0	37	11	0	29	0	116	0	0	0	31	0	0	0	3	13	0	244	0	0	0	0	4	0	0	1	0	2	0	0	0	1	0	3	2	0	178	0	0	0	7	0	0	0	8	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	56	"AWI"	56	-74	708	81	0	0	0	229	0	0	0	0	3	24	0	17	0	67	0	0	0	56	0	20	0	4	15	0	198	0	0	0	0	4	0	0	1	0	1	0	0	2	0	29	1	1	0	187	0	0	0	7	0	0	0	4	1	0
203	203	"Anderson Pond"	36.02963	-85.501848	60	"AWI"	60	92	978	278	0	0	0	251	0	0	0	0	10	29	0	14	0	80	0	0	0	54	0	8	0	2	15	0	138	0	0	0	0	5	0	0	1	0	3	0	0	1	1	0	0	3	0	190	0	0	0	6	0	0	0	6	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	64	"AWI"	64	206	1305	517	0	0	0	206	0	0	0	0	7	25	0	3	0	33	0	0	0	65	0	4	0	4	0	0	206	0	4	0	0	3	0	0	3	0	6	0	0	0	1	0	0	1	0	199	0	0	0	7	0	1	0	6	1	0
203	203	"Anderson Pond"	36.02963	-85.501848	68	"AWI"	68	282	1661	757	0	0	0	194	0	0	0	0	4	27	0	7	1	54	0	0	0	56	0	4	1	2	0	0	180	0	6	0	0	5	1	0	0	4	2	0	0	0	0	0	1	4	0	197	0	0	0	8	0	0	1	3	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	72	"AWI"	72	341	2065	998	0	0	0	207	1	0	0	0	1	28	0	3	0	25	0	0	0	32	0	4	0	2	0	0	70	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	1	0	0	210	0	2	0	12	0	0	0	7	1	0
203	203	"Anderson Pond"	36.02963	-85.501848	76	"AWI"	76	400	2476	1240	0	0	0	178	1	0	0	0	3	27	0	1	0	22	0	0	0	45	0	0	0	0	15	0	58	0	0	0	1	0	0	0	4	0	1	1	0	0	0	0	0	1	0	266	0	0	0	8	1	0	0	7	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	80	"AWI"	80	450	2867	1481	0	0	0	228	1	0	1	0	2	19	0	9	0	36	0	0	0	28	0	4	0	0	19	0	77	0	0	0	0	2	0	0	4	0	2	0	0	2	2	0	0	2	0	207	0	2	0	11	0	0	0	2	2	0
203	203	"Anderson Pond"	36.02963	-85.501848	84	"AWI"	84	504	3279	1721	0	0	0	377	1	1	0	0	2	23	0	1	0	39	0	0	0	10	0	8	0	0	33	0	106	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	1	2	0	228	0	5	0	14	1	0	0	5	1	0
203	203	"Anderson Pond"	36.02963	-85.501848	88	"AWI"	88	559	3680	1963	0	0	0	245	0	0	1	0	2	18	0	4	0	39	1	1	0	20	0	0	0	2	0	0	55	0	0	0	0	1	0	0	3	0	11	2	0	2	0	0	0	0	0	240	0	1	0	25	1	0	7	3	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	92	"AWI"	92	1714	4299	2875	0	0	0	273	1	0	0	0	0	28	0	6	0	65	1	0	0	24	0	0	0	1	26	0	76	0	0	0	0	4	0	0	1	0	6	1	0	2	0	0	0	1	0	235	0	2	0	31	0	0	1	3	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	96	"AWI"	96	2914	4929	3830	0	0	0	278	0	0	0	0	0	17	0	3	0	72	0	0	0	17	0	0	0	0	0	1	120	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	236	0	24	1	24	0	0	0	3	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	100	"AWI"	100	4052	5564	4795	0	0	0	391	0	0	0	0	7	17	0	7	0	70	0	1	0	16	0	0	0	0	46	0	386	0	0	0	0	4	0	0	3	4	3	1	0	0	0	0	0	8	0	191	0	4	0	14	0	0	3	1	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	104	"AWI"	104	5136	6220	5785	0	0	0	401	0	1	0	0	19	37	0	3	0	35	0	0	0	20	0	0	0	5	0	0	682	0	0	0	0	5	0	0	1	0	5	2	0	0	0	0	2	0	0	159	0	3	0	37	1	0	3	0	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	108	"AWI"	108	6151	7118	6734	0	0	0	338	0	0	0	0	9	27	0	4	0	20	0	0	0	27	0	0	0	3	33	0	294	0	0	0	0	3	1	0	0	0	12	10	0	0	0	0	0	16	0	164	0	5	0	20	1	0	1	6	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	112	"AWI"	112	7077	8311	7631	0	0	0	406	0	0	0	0	11	35	0	10	0	41	1	1	0	23	0	0	0	3	0	0	470	0	0	0	0	2	0	0	3	0	2	2	0	0	0	0	0	0	1	202	0	1	0	25	2	0	4	2	2	0
203	203	"Anderson Pond"	36.02963	-85.501848	116	"AWI"	116	7866	9561	8554	0	0	0	321	0	0	0	0	8	24	0	9	0	51	1	0	0	7	0	0	0	4	0	0	350	0	0	0	0	10	0	0	0	0	7	10	0	0	0	0	1	11	0	141	0	0	0	28	2	0	3	1	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	124	"AWI"	124	9330	11246	10107	0	0	0	205	0	1	0	0	1	16	0	1	0	34	1	0	0	20	0	0	0	6	0	0	68	1	0	0	0	5	0	0	1	0	13	6	0	0	2	0	1	1	0	223	0	0	0	16	2	1	3	3	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	128	"AWI"	128	10083	11713	10728	2	0	0	0	1	0	0	0	8	11	0	0	1	0	0	2	0	16	0	0	0	3	26	1	72	0	0	1	0	1	5	0	0	0	43	22	0	0	0	0	0	0	0	152	0	0	1	0	1	1	0	2	0	0
203	203	"Anderson Pond"	36.02963	-85.501848	132	"AWI"	132	10796	12201	11362	0	0	0	5	0	0	0	0	1	15	0	0	0	0	0	1	0	16	0	0	0	9	0	0	14	0	0	0	0	0	0	1	0	0	57	17	0	0	3	0	0	0	0	160	0	0	0	0	0	1	2	4	0	0
