"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Solanaceae"
1603	1654	"Laguna Milloc"	-11.56667	-76.35	20	"AWI"	20	-59	856	197	1	0	0	0	5	32	0	0	44	0	0	0	0	19	15	1	0	9
1603	1654	"Laguna Milloc"	-11.56667	-76.35	70	"AWI"	70	117	2893	892	4	0	0	0	7	160	0	0	14	0	1	0	0	13	21	1	0	18
1603	1654	"Laguna Milloc"	-11.56667	-76.35	185	"AWI"	185	1132	4814	2895	1	0	0	0	1	4	0	0	3	1	0	0	0	6	63	3	0	5
1603	1654	"Laguna Milloc"	-11.56667	-76.35	320	"AWI"	320	3572	6200	5227	2	1	3	0	20	280	0	0	52	5	1	0	0	9	8	1	0	1
1603	1654	"Laguna Milloc"	-11.56667	-76.35	340	"AWI"	340	4377	6297	5509	4	0	0	0	4	17	0	0	2	0	0	0	1	0	140	2	0	3
1603	1654	"Laguna Milloc"	-11.56667	-76.35	420	"AWI"	420	6082	7770	6732	2	3	0	0	4	10	0	0	5	1	0	0	1	2	38	2	1	10
1603	1654	"Laguna Milloc"	-11.56667	-76.35	485	"AWI"	485	6576	9455	7777	2	1	0	0	2	4	0	0	1	0	3	1	1	2	66	0	0	0
1603	1654	"Laguna Milloc"	-11.56667	-76.35	560	"AWI"	560	7317	10804	9079	3	0	0	0	2	2	0	0	3	0	0	0	2	2	103	4	1	0
1603	1654	"Laguna Milloc"	-11.56667	-76.35	645	"AWI"	645	8926	11841	10525	3	1	0	0	1	5	1	1	1	0	1	0	2	1	71	0	0	0
1603	1654	"Laguna Milloc"	-11.56667	-76.35	720	"AWI"	720	10719	12451	11685	0	0	0	0	0	7	1	0	2	0	1	0	0	0	50	3	0	3
1603	1654	"Laguna Milloc"	-11.56667	-76.35	750	"AWI"	750	11281	12796	12111	0	0	0	0	3	6	0	1	0	0	0	0	3	0	76	0	0	1
1603	1654	"Laguna Milloc"	-11.56667	-76.35	790	"AWI"	790	11597	13166	12415	1	0	0	0	0	5	1	0	0	0	0	0	0	0	82	0	0	0
1603	1654	"Laguna Milloc"	-11.56667	-76.35	810	"AWI"	810	11692	13477	12563	2	0	0	0	0	3	0	0	0	0	0	1	4	1	70	2	3	0
1603	1654	"Laguna Milloc"	-11.56667	-76.35	825	"AWI"	825	11834	13616	12677	0	0	0	0	3	0	0	0	0	0	0	0	1	1	48	0	0	2
1603	1654	"Laguna Milloc"	-11.56667	-76.35	890	"AWI"	890	12351	14460	13261	0	0	0	0	6	110	0	0	1	0	0	0	2	0	38	1	1	0
1603	1654	"Laguna Milloc"	-11.56667	-76.35	940	"AWI"	940	12685	16025	13843	1	0	0	0	0	0	1	0	0	0	0	0	1	0	34	0	0	5
