"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
969	1000	"Hafichuk Site"	50.32056	-105.88389	265	"AWI"	265	11460	12142	11804	0	0	9	61	0	0	0	0	0	0	0	14	0	0	0	0	0	0	267	75	26	2	0	0	0	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	270	"AWI"	270	11504	12175	11840	0	0	25	39	56	5	0	0	0	0	0	7	1	0	0	0	0	0	109	39	10	6	0	0	0	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	275	"AWI"	275	11541	12207	11874	0	0	50	61	98	9	0	0	0	0	0	9	3	0	0	0	0	0	132	96	39	0	0	0	0	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	280	"AWI"	280	11576	12238	11910	0	0	56	49	113	0	0	0	0	0	0	36	2	0	0	0	0	0	146	59	36	0	1	0	0	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	290	"AWI"	290	11660	12304	11980	0	5	30	129	21	11	0	0	0	0	0	38	2	0	0	1	0	0	76	49	119	0	1	0	11	0	0	1	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	300	"AWI"	300	11733	12375	12048	0	9	79	129	21	9	0	0	0	0	0	14	0	0	0	0	0	0	86	95	52	0	0	1	5	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	305	"AWI"	305	11767	12406	12085	0	0	48	176	29	10	0	0	0	2	0	14	0	0	0	0	0	0	116	58	38	0	0	0	5	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	310	"AWI"	310	11806	12438	12120	0	5	61	155	0	7	5	0	0	2	9	12	0	0	0	1	4	0	70	52	61	9	0	0	9	2	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	315	"AWI"	315	11847	12471	12155	0	0	25	101	0	10	0	1	0	3	8	30	2	0	10	1	0	0	99	51	112	10	1	1	8	1	0	1	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	320	"AWI"	320	11879	12507	12190	0	0	20	111	0	10	0	0	1	2	0	13	0	0	0	0	1	0	40	30	184	45	6	0	15	1	0	1	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	325	"AWI"	325	11920	12537	12224	0	0	38	81	36	8	0	0	0	0	0	18	1	0	10	2	1	0	40	45	184	15	0	0	15	4	0	0	1
969	1000	"Hafichuk Site"	50.32056	-105.88389	330	"AWI"	330	11960	12571	12260	0	0	9	38	0	0	0	0	0	0	7	25	0	0	0	0	0	0	116	47	35	9	0	2	6	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	340	"AWI"	340	12037	12632	12328	1	0	10	84	36	10	0	0	0	0	0	94	1	0	0	0	0	0	188	39	25	0	1	1	10	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	345	"AWI"	345	12072	12666	12362	0	7	11	107	15	5	0	0	0	0	0	15	1	0	7	1	0	0	117	38	24	11	0	1	16	1	0	0	1
969	1000	"Hafichuk Site"	50.32056	-105.88389	350	"AWI"	350	12109	12699	12397	0	5	23	108	0	9	0	0	0	0	0	14	0	0	12	0	0	0	214	24	38	23	0	0	23	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	355	"AWI"	355	12148	12733	12432	0	12	14	69	0	6	0	0	0	0	10	18	1	0	0	0	0	0	81	36	56	61	0	0	26	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	360	"AWI"	360	12188	12764	12465	1	5	36	61	0	10	0	0	1	0	0	51	1	0	10	1	1	0	152	51	36	31	1	0	25	1	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	370	"AWI"	370	12263	12826	12535	1	9	14	49	0	17	0	0	0	0	9	14	0	0	9	0	0	0	229	28	54	28	0	1	21	1	1	3	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	380	"AWI"	380	12339	12896	12604	2	0	16	68	0	12	0	0	0	0	0	12	0	0	0	0	0	0	205	24	36	12	0	0	18	0	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	385	"AWI"	385	12382	12932	12638	0	10	10	63	0	14	0	0	0	0	10	10	0	0	10	1	0	0	224	43	41	38	1	0	12	1	0	0	0
969	1000	"Hafichuk Site"	50.32056	-105.88389	390	"AWI"	390	12417	12964	12675	2	10	10	63	0	15	0	0	1	0	0	5	0	0	10	0	0	0	228	29	44	54	0	1	15	0	0	1	0
