"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Syringa"	"Tilia"	"Ulmus"
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	5	"AWI"	5	-64	658	165	6	0	0	1	2	0	0	0	0	0	0	4	9	0	0	0	0	0	0	31	136	0	0	0	14	0	0	0	0	0	0	2
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	15	"AWI"	15	130	1597	692	9	0	0	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	27	121	3	0	0	9	0	0	0	0	1	0	3
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	25	"AWI"	25	454	2213	1245	3	0	0	1	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	31	152	1	0	0	7	0	0	0	0	0	3	1
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	35	"AWI"	35	926	2668	1814	12	0	0	5	3	95	0	0	1	0	0	37	26	0	0	0	0	0	0	29	0	5	0	0	22	13	15	1	3	0	1	5
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	45	"AWI"	45	1599	3056	2360	1	0	0	0	0	26	0	0	5	0	0	21	8	0	0	0	1	0	0	27	0	4	0	0	49	4	0	1	0	0	0	4
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	55	"AWI"	55	2175	3476	2882	11	3	0	1	0	12	0	0	1	0	0	24	5	0	0	0	1	0	0	29	0	3	0	1	57	0	0	0	0	0	2	6
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	65	"AWI"	65	2564	4124	3340	7	0	0	1	0	32	1	0	4	0	0	43	14	0	0	0	1	0	0	32	0	32	0	0	25	2	5	3	0	0	0	10
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	85	"AWI"	85	3405	5048	4251	1	0	0	0	0	25	0	0	0	0	1	21	0	0	0	0	1	0	0	36	0	16	0	0	16	0	0	0	0	0	0	14
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	95	"AWI"	95	3911	5410	4700	1	0	0	0	0	10	0	0	3	0	0	13	17	0	0	0	4	0	1	26	0	10	2	0	76	1	0	0	0	0	4	30
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	105	"AWI"	105	4552	5750	5155	1	0	0	0	0	24	0	0	0	0	1	25	15	0	0	0	0	0	0	38	0	5	0	0	83	2	0	3	0	0	0	10
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	125	"AWI"	125	5351	6905	6101	3	0	0	0	0	7	0	0	0	0	0	8	29	0	0	0	6	0	0	11	0	0	0	0	133	1	0	0	0	0	1	28
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	135	"AWI"	135	5759	7349	6595	0	0	0	0	0	3	0	0	1	0	0	6	11	0	0	0	14	0	0	16	0	2	0	0	97	0	0	0	0	1	0	25
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	145	"AWI"	145	6299	7726	7075	0	0	0	0	0	22	0	0	0	0	0	80	20	0	0	0	4	0	0	9	0	5	0	0	113	0	0	1	0	0	0	19
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	155	"AWI"	155	6885	8053	7535	5	0	0	2	0	14	0	0	1	0	0	2	5	0	0	0	0	0	0	15	0	1	0	0	45	0	0	0	0	0	0	20
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	165	"AWI"	165	7234	8452	7916	0	0	0	0	0	19	0	0	0	0	1	10	13	0	0	0	6	0	0	0	0	3	0	0	77	0	0	0	0	1	0	25
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	195	"AWI"	195	8221	9565	8903	0	0	0	0	0	3	0	0	2	0	1	11	30	0	2	0	12	0	0	10	0	4	0	1	71	0	0	0	0	0	1	35
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	205	"AWI"	205	8552	9849	9223	1	0	0	0	0	18	0	0	0	0	0	19	7	2	1	0	2	0	0	7	0	5	0	0	54	0	0	0	1	0	0	19
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	215	"AWI"	215	8803	10160	9508	1	0	0	0	0	14	0	0	0	0	0	11	9	2	0	0	2	0	0	18	0	4	0	0	34	0	0	0	0	0	0	37
966	997	"Gurskii Peat [Site 4381]"	50.06667	137.08333	225	"AWI"	225	9058	10469	9769	1	2	0	0	0	14	2	0	0	0	0	6	10	0	0	0	0	1	0	39	0	1	0	0	1	0	0	0	0	0	0	42
