"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Isoëtes"	"Juglans"	"Liriodendron"	"Magnolia"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
968	999	"Hack Pond"	37.98472	-78.99722	30	"AWI"	30	-137	33	-51	0	4	8	0	0	0	4	11	0	13	0	3	0	0	1	0	3	1	2	1	0	1	0	0	1	0	0	1	105	0	1	0	0	137	0	0	0	0	0	1	2	0	0
968	999	"Hack Pond"	37.98472	-78.99722	35	"AWI"	35	-27	1513	351	0	1	10	0	0	0	0	11	0	13	0	7	0	0	0	7	0	0	1	0	0	2	0	1	3	0	0	0	107	0	1	0	0	135	0	0	0	0	2	1	0	0	0
968	999	"Hack Pond"	37.98472	-78.99722	40	"AWI"	40	166	2303	866	0	0	17	0	0	0	0	7	0	19	0	4	0	1	1	2	0	2	2	0	0	3	0	0	1	0	0	0	88	0	0	0	0	153	0	0	0	0	0	1	0	0	0
968	999	"Hack Pond"	37.98472	-78.99722	45	"AWI"	45	440	2996	1401	0	0	15	0	0	0	2	2	0	11	0	5	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	88	0	2	0	0	170	0	0	1	0	0	0	0	0	0
968	999	"Hack Pond"	37.98472	-78.99722	50	"AWI"	50	765	3728	1930	0	0	19	0	0	0	0	6	0	7	0	4	1	0	1	3	0	1	0	0	0	2	0	0	3	0	0	0	85	0	3	0	0	165	0	0	1	0	0	0	0	0	0
968	999	"Hack Pond"	37.98472	-78.99722	55	"AWI"	55	1112	4282	2435	0	1	20	0	0	0	0	9	0	19	0	2	1	0	0	2	0	1	1	0	0	1	0	1	3	0	0	0	79	0	2	0	0	158	0	0	0	0	0	0	1	0	0
968	999	"Hack Pond"	37.98472	-78.99722	60	"AWI"	60	1486	4893	2957	0	1	15	0	0	0	0	9	0	16	0	7	0	0	1	1	0	2	0	0	0	1	0	0	2	0	0	2	96	0	1	0	0	145	0	0	0	0	0	2	0	1	0
968	999	"Hack Pond"	37.98472	-78.99722	65	"AWI"	65	1886	5410	3484	0	39	23	0	0	0	3	4	0	15	0	8	3	0	2	3	0	1	1	0	0	0	0	1	2	0	0	1	74	0	2	0	0	157	0	0	0	0	0	0	0	0	1
968	999	"Hack Pond"	37.98472	-78.99722	70	"AWI"	70	2311	5935	3987	0	0	19	0	0	0	0	12	0	12	0	2	1	0	1	2	0	1	0	0	0	2	1	0	2	0	0	1	75	0	2	0	1	159	0	0	0	0	0	3	3	0	0
968	999	"Hack Pond"	37.98472	-78.99722	75	"AWI"	75	2730	6476	4529	0	0	10	1	0	0	0	4	0	30	0	2	0	0	0	4	0	1	0	0	0	4	0	0	2	0	0	0	61	0	4	0	0	171	0	0	0	0	1	4	1	0	0
968	999	"Hack Pond"	37.98472	-78.99722	80	"AWI"	80	3168	7015	5051	0	0	14	0	0	0	0	2	0	10	0	3	1	0	2	7	0	2	0	0	0	2	0	1	0	0	0	0	70	0	1	0	0	187	0	0	0	0	0	4	1	0	0
968	999	"Hack Pond"	37.98472	-78.99722	85	"AWI"	85	3638	7488	5581	0	0	11	0	0	0	4	4	0	14	0	6	3	0	3	3	0	3	1	0	0	3	0	0	1	0	0	1	26	0	6	0	0	212	0	0	0	0	0	4	0	0	0
968	999	"Hack Pond"	37.98472	-78.99722	90	"AWI"	90	4112	7976	6091	0	0	18	0	0	0	3	5	0	12	0	8	9	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	27	0	3	0	0	214	0	0	2	0	0	2	0	0	0
968	999	"Hack Pond"	37.98472	-78.99722	100	"AWI"	100	5140	8908	7114	0	0	20	0	0	0	4	2	0	18	0	7	16	0	3	0	0	1	0	0	0	1	0	0	2	0	0	3	26	0	0	0	0	206	0	0	0	0	0	6	0	0	0
968	999	"Hack Pond"	37.98472	-78.99722	105	"AWI"	105	5694	9382	7635	0	0	12	0	0	0	8	2	0	6	0	2	8	0	1	8	0	1	1	0	0	1	0	0	5	0	0	5	35	0	8	0	0	203	0	0	0	0	0	8	2	0	0
