"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Syringa"	"Thalictrum"	"Ulmus"
19	19	"Akulinin Exposure P1282"	47.11667	138.55	60	"AWI"	60	2245	8068	4653	2	38	0	0	0	10	0	0	0	0	0	0	41	10	6	0	0	2	0	0	14	0	15	0	0	0	0	0	0	0	0	0	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	225	"AWI"	225	14380	21507	18295	11	12	0	0	5	1	0	0	0	0	0	0	102	6	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	230	"AWI"	230	14755	21910	18681	19	8	0	1	3	2	45	0	0	0	0	0	97	20	2	0	0	0	2	0	106	0	4	0	1	0	0	6	0	5	0	0	0	0	1
19	19	"Akulinin Exposure P1282"	47.11667	138.55	240	"AWI"	240	15717	22612	19466	12	16	0	1	3	2	0	0	0	0	0	1	57	23	0	0	0	10	0	0	0	0	4	2	2	0	0	0	0	3	0	0	0	0	2
19	19	"Akulinin Exposure P1282"	47.11667	138.55	245	"AWI"	245	16145	22838	19860	12	28	0	0	2	3	0	0	0	0	0	0	93	7	0	0	0	4	0	0	0	0	5	0	0	0	0	3	0	3	0	0	0	0	4
19	19	"Akulinin Exposure P1282"	47.11667	138.55	251	"AWI"	251	16630	23249	20347	21	95	1	1	7	7	0	0	0	0	0	1	90	33	3	0	1	0	0	0	83	0	8	0	0	0	0	3	0	17	0	1	1	1	3
19	19	"Akulinin Exposure P1282"	47.11667	138.55	257	"AWI"	257	17192	23618	20819	2	121	0	2	7	10	0	0	0	0	0	2	106	53	0	0	0	0	0	0	105	0	7	0	2	0	0	7	2	10	1	0	0	0	3
19	19	"Akulinin Exposure P1282"	47.11667	138.55	270	"AWI"	270	18432	24436	21892	1	252	0	2	0	5	0	0	0	1	0	0	28	25	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	1	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	280	"AWI"	280	19463	24984	22671	2	203	0	0	1	3	137	0	0	0	0	0	11	43	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	2	0	0	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	285	"AWI"	285	20011	25204	23093	2	145	1	0	13	4	181	0	0	0	0	0	55	79	5	0	0	0	0	0	0	0	11	0	0	0	0	14	0	7	0	2	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	290	"AWI"	290	20443	25530	23503	8	58	0	1	7	4	0	0	0	1	0	0	128	79	3	0	0	0	0	0	104	0	10	0	0	0	0	3	0	4	0	0	2	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	295	"AWI"	295	21042	25731	23902	5	0	0	0	15	4	102	0	0	1	0	1	58	100	1	0	0	0	1	0	128	0	5	1	1	0	0	8	0	3	0	0	3	0	2
19	19	"Akulinin Exposure P1282"	47.11667	138.55	303	"AWI"	303	21994	26136	24550	1	74	0	1	16	4	116	0	0	0	0	0	224	130	0	0	0	0	0	0	49	34	75	0	0	0	1	7	8	15	1	1	1	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	310	"AWI"	310	22739	26511	25125	5	94	1	1	10	0	0	0	0	0	0	0	32	102	2	0	1	0	0	0	93	0	16	0	0	0	0	7	10	5	3	2	1	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	315	"AWI"	315	23551	26638	25486	1	172	0	0	6	3	0	1	0	0	0	0	92	6	0	0	0	5	0	0	0	0	10	1	0	0	0	4	0	1	0	0	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	320	"AWI"	320	23978	26889	25909	2	0	0	1	1	7	0	0	0	1	0	0	148	10	0	0	0	0	0	0	0	0	3	1	1	0	0	4	0	3	0	0	2	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	325	"AWI"	325	25009	26996	26262	0	252	1	1	10	19	0	0	0	0	1	0	71	13	0	0	0	0	0	0	0	0	4	1	0	0	0	11	0	2	0	0	0	0	1
19	19	"Akulinin Exposure P1282"	47.11667	138.55	330	"AWI"	330	25665	27175	26682	2	0	1	2	6	14	0	0	1	0	0	0	100	14	0	0	0	0	0	0	49	0	10	1	3	0	1	11	0	1	0	2	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	340	"AWI"	340	26916	30323	27961	1	252	0	2	14	20	0	0	0	0	0	0	176	19	0	0	0	0	0	0	68	0	5	0	1	0	0	11	0	2	0	3	0	0	2
19	19	"Akulinin Exposure P1282"	47.11667	138.55	350	"AWI"	350	27883	32825	30234	2	0	0	0	8	6	0	0	0	0	0	0	144	12	1	0	0	0	1	0	60	0	2	0	2	0	0	18	0	4	0	0	0	0	1
19	19	"Akulinin Exposure P1282"	47.11667	138.55	360	"AWI"	360	30301	34068	32300	0	251	1	0	3	11	0	0	0	0	0	0	111	4	0	2	0	0	0	0	0	0	1	1	1	0	0	3	0	3	0	0	0	0	1
19	19	"Akulinin Exposure P1282"	47.11667	138.55	370	"AWI"	370	31268	35348	33307	0	251	0	0	0	6	0	0	0	1	0	0	100	10	0	0	0	0	0	0	42	0	6	0	0	0	0	7	0	6	0	1	0	1	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	380	"AWI"	380	31887	36468	34095	0	251	0	0	3	12	0	0	0	0	0	0	69	9	1	1	0	0	0	0	43	0	6	3	2	0	0	2	0	6	0	1	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	390	"AWI"	390	32433	37394	34850	0	0	0	0	4	8	0	0	1	0	0	0	49	3	3	0	0	0	0	0	9	0	6	1	1	0	0	3	0	1	0	0	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	400	"AWI"	400	33118	38243	35619	0	251	0	0	4	9	0	0	1	1	0	0	106	12	1	1	0	0	0	0	33	0	2	1	2	0	0	4	0	0	0	0	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	410	"AWI"	410	33845	39047	36359	1	183	0	1	3	13	0	0	0	0	0	0	160	3	2	0	0	0	7	0	0	0	33	0	0	1	0	1	0	1	0	2	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	420	"AWI"	420	34568	39892	37174	0	199	0	0	1	5	0	0	0	0	0	0	69	3	1	0	0	2	0	0	0	0	3	0	1	0	0	3	0	2	0	0	0	0	0
19	19	"Akulinin Exposure P1282"	47.11667	138.55	460	"AWI"	460	37610	42564	40242	1	42	0	1	4	7	0	0	0	0	0	0	30	6	1	0	0	0	0	0	16	0	2	2	1	0	0	13	3	1	0	0	0	0	1
19	19	"Akulinin Exposure P1282"	47.11667	138.55	520	"AWI"	520	43071	47222	44814	10	0	0	4	20	10	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0	0	20	0	0	0	26	14	14	5	0	0	0	0	10
