"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Convolvulaceae"	"Cupressus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Grossulariaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Scrophulariaceae"	"Zygophyllaceae"
1127	1162	"Jacob Lake"	34.33333	-110.83333	1	"AWI"	1	-118	74	-23	0	0	4	0	6	35	0	2	0	1	0	0	197	0	0	0	0	0	0	3	0	0	0	0	145	2	0	0	3	5	1	0	0	0	0	0	0	1
1127	1162	"Jacob Lake"	34.33333	-110.83333	9	"AWI"	9	-49	712	201	0	0	5	0	1	0	0	0	0	0	0	0	135	0	0	3	0	0	5	3	0	0	0	0	175	28	0	4	0	7	2	0	0	1	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	15	"AWI"	15	72	951	408	0	1	3	0	14	0	0	0	0	0	0	0	28	0	0	1	0	0	7	4	0	0	0	0	181	80	0	2	0	0	1	1	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	19	"AWI"	19	119	1137	545	0	0	7	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	9	1	0	0	0	0	97	135	0	0	0	3	0	1	0	0	1	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	25	"AWI"	25	386	1358	742	0	0	1	0	5	0	0	2	0	0	0	0	17	1	0	0	0	0	9	0	0	0	0	0	103	129	0	0	0	0	0	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	33	"AWI"	33	695	1890	1193	0	0	4	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	107	109	0	0	1	0	0	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	181	"AWI"	181	10669	18107	14180	0	1	1	0	7	0	0	11	2	0	0	0	0	0	0	0	0	3	7	0	0	1	0	3	29	72	0	1	0	12	1	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	191	"AWI"	191	11493	18994	15042	1	0	2	0	12	0	0	1	1	0	0	1	4	0	0	0	0	0	9	0	1	0	0	4	45	85	0	1	0	9	0	0	0	0	1	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	209	"AWI"	209	13068	20571	16668	0	0	2	0	20	0	0	0	0	0	0	0	1	0	0	0	1	0	7	0	1	0	0	2	58	77	0	0	2	8	0	0	0	0	0	0	0	0
1127	1162	"Jacob Lake"	34.33333	-110.83333	215	"AWI"	215	13692	21077	17187	1	0	6	0	35	0	0	2	13	0	0	0	2	0	0	0	0	1	11	0	0	0	0	10	80	60	0	0	0	10	0	0	2	0	0	0	1	0
