"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	290	"AWI"	290	5428	6367	5755	4	0	0	2	6	0	0	16	0	0	0	0	0	0	0	35	0	0	0	1	0	0	3	2	0	0	5	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	15	0	0	0	0	17	3	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	295	"AWI"	295	5453	6592	5844	0	0	7	0	0	0	0	56	0	0	0	0	0	0	0	108	0	5	0	3	0	1	3	0	3	0	1	0	0	1	0	0	0	0	2	0	0	11	0	0	1	0	0	11	0	1	0	1	14	5	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	300	"AWI"	300	5480	6851	5925	0	0	0	1	3	0	0	22	0	0	0	0	0	0	0	113	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	11	0	0	0	3	15	2	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	0	"AWI"	0	-147	16	-69	5	0	13	4	0	102	0	179	0	0	1	0	0	0	0	13	1	81	0	9	0	0	1	0	0	0	2	0	0	5	0	0	2	0	0	16	0	20	0	1	0	0	1	2	0	0	0	1	4	3	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	5	"AWI"	5	-93	147	19	3	0	0	1	0	91	0	214	0	0	0	0	0	0	0	5	0	67	0	12	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	17	0	0	2	0	1	2	0	1	1	1	31	5	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	10	"AWI"	10	-69	321	105	2	0	13	4	0	0	0	100	0	0	1	4	0	0	0	4	0	106	1	1	0	2	0	0	1	4	0	0	1	0	16	0	0	0	0	0	0	14	0	0	3	0	3	4	0	0	0	0	7	6	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	20	"AWI"	20	-35	704	280	5	0	16	0	2	0	0	202	0	0	0	0	0	0	0	8	0	24	0	8	0	0	1	0	2	5	1	1	0	1	44	0	0	0	0	0	0	15	0	0	0	0	19	6	0	0	0	0	13	7	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	25	"AWI"	25	97	736	363	11	0	3	0	3	0	0	104	0	0	0	0	0	0	0	6	0	16	0	24	0	0	0	1	0	0	0	2	0	2	50	134	0	19	0	0	0	8	1	0	0	0	5	0	0	0	0	1	42	10	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	30	"AWI"	30	189	781	458	6	0	13	0	2	0	0	169	0	0	1	0	1	0	1	4	0	30	0	17	0	0	0	0	0	4	2	0	0	0	37	0	0	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	30	9	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	40	"AWI"	40	315	951	647	6	0	8	0	3	0	0	262	0	0	0	1	0	0	5	2	0	38	0	69	0	0	2	0	1	0	3	0	0	3	29	0	0	0	0	0	0	22	0	0	0	0	1	0	0	0	0	3	115	11	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	50	"AWI"	50	761	1366	1009	1	0	7	0	0	0	0	162	0	0	1	0	1	0	0	1	0	13	0	55	0	0	0	0	0	0	1	1	0	2	14	64	0	0	0	0	0	10	0	1	0	2	0	0	0	0	0	1	68	8	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	60	"AWI"	60	841	2262	1352	2	0	7	1	1	0	0	168	0	0	1	0	1	0	1	7	0	16	0	53	0	0	0	0	1	0	1	0	0	2	16	0	0	0	0	0	0	16	0	0	0	2	0	0	0	0	0	4	82	8	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	70	"AWI"	70	1233	2471	1845	6	0	0	0	0	0	0	148	0	0	1	0	0	0	0	3	0	12	0	52	16	0	1	0	0	0	2	0	0	0	0	101	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	85	5	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	75	"AWI"	75	1339	2639	2099	5	0	5	0	0	0	0	155	0	0	1	0	0	0	1	2	0	9	0	28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	79	10	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	80	"AWI"	80	1428	2911	2333	5	0	9	1	1	0	0	208	0	0	0	0	0	0	2	0	0	25	0	79	0	0	1	0	0	0	3	0	0	1	11	0	0	0	0	0	1	11	0	0	0	0	1	0	0	0	0	8	73	19	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	90	"AWI"	90	2235	3030	2682	4	0	11	0	1	0	0	196	0	0	1	0	0	0	4	3	0	1	0	69	0	0	0	0	0	0	1	0	0	3	12	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	4	72	14	0
1569	1615	"Tourbière de Lanoraie STJEAN"	46	-73.21694	100	"AWI"	100	2595	3454	3045	1	0	0	0	0	0	0	151	0	0	0	0	0	0	1	1	0	9	0	29	0	0	0	0	0	0	0	0	0	2	0	143	0	0	0	0	0	10	0	0	1	1	0	1	0	0	0	2	24	4	0
