"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
332	339	"Lac Caribou"	48.19778	-64.94	325	"AWI"	325	10224	12114	11017	0	0	0	0	2.8735632183908	0	73.5632183908046	0	0	0.28735632183908	0	0	0	0	4.59770114942529	6.32183908045977	0	0.28735632183908	0	0	0	2.58620689655172	0	0	0	0	0	0	0	4.02298850574713	0	1.72413793103448	0	0.862068965517241	0	0.862068965517241	0	1.14942528735632	0	0	0	0	0	0.28735632183908	0.574712643678161	0
332	339	"Lac Caribou"	48.19778	-64.94	330	"AWI"	330	10329	12440	11193	0	0	0	0	9.22330097087379	0	20.3883495145631	0	0	0.970873786407767	0	0	0	0	36.4077669902913	0	0	0.485436893203883	0	0	0	7.28155339805825	0	0	0	0	0	0	0	14.5631067961165	0	4.85436893203883	0	0	0	1.45631067961165	0	0.970873786407767	0	0.970873786407767	0	0.970873786407767	0	0.485436893203883	0.970873786407767	0
332	339	"Lac Caribou"	48.19778	-64.94	335	"AWI"	335	10429	12750	11355	0	0	6.12244897959184	0.453514739229025	24.4897959183673	1.8140589569161	14.2857142857143	0.226757369614512	0	1.36054421768707	0	0	0	0.226757369614512	19.7278911564626	0	0	0.453514739229025	0	0	0	2.26757369614512	0	0	0	0	0	0	0	18.8208616780045	0	6.80272108843537	0	0	0	0.453514739229025	0	0.453514739229025	0	0.680272108843537	0	0.90702947845805	0	0.226757369614512	0.226757369614512	0
332	339	"Lac Caribou"	48.19778	-64.94	340	"AWI"	340	10535	12950	11531	0	0	0	0	8.23529411764706	0	4.70588235294118	0	0	2.35294117647059	0	0	0	0	40	0	0	0	0	0	0	1.17647058823529	0	0	0	0	0	0.588235294117647	0	30	0	10	0	0	0	1.76470588235294	0	0.588235294117647	0	0.588235294117647	0	0	0	0	0	0
332	339	"Lac Caribou"	48.19778	-64.94	350	"AWI"	350	10750	13492	11882	0	0	7.25075528700906	0	15.7099697885196	0	9.36555891238671	1.20845921450151	0	2.11480362537764	0	0	0	0	27.190332326284	0	0	0.604229607250755	0	0	0	4.83383685800604	0	0	0	0	0	0	0	17.8247734138973	0	9.66767371601208	0	0	0	0.604229607250755	0	2.11480362537764	0	0	0	0.604229607250755	0	0.302114803625378	0.604229607250755	0
332	339	"Lac Caribou"	48.19778	-64.94	360	"AWI"	360	10960	14026	12222	0	0	0	0	3.92857142857143	5.35714285714286	10.1785714285714	0.357142857142857	0	1.96428571428571	0	0	0	0	24.2857142857143	0	0	0.892857142857143	0.178571428571429	0	0	4.46428571428571	0.178571428571429	0.178571428571429	0	0	0.714285714285714	0.535714285714286	5.89285714285714	28.5714285714286	0	6.78571428571429	0	0	0	0.535714285714286	0.357142857142857	4.28571428571429	0	0	0	0	0	0	0.357142857142857	0
332	339	"Lac Caribou"	48.19778	-64.94	370	"AWI"	370	11219	14506	12592	2	0	0	0	14	0	22	0	0	2	0	0	0	0	26	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	24	0	0	0	0	0	4	0	0	0	0	0	0	0	0
332	339	"Lac Caribou"	48.19778	-64.94	380	"AWI"	380	11470	14931	12932	0	0	0	0	18.75	0	43.75	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	18.75	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	0
332	339	"Lac Caribou"	48.19778	-64.94	385	"AWI"	385	11556	15214	13100	0	0	0	0	0	0	6.66666666666667	0	0	0	0	0	0	0	40	0	0	0	0	0	0	13.3333333333333	0	0	0	0	0	0	0	0	0	33.3333333333333	0	0	0	0	0	6.66666666666667	0	0	0	0	0	0	0	0
332	339	"Lac Caribou"	48.19778	-64.94	2	"AWI"	2	-103	155	6	1.91082802547771	0	1.91082802547771	0	0.318471337579618	0	79.6178343949045	0	0	0	0	0	0	0.955414012738854	0	0	0	0	0.318471337579618	0	0	1.91082802547771	0	0	0	0	1.27388535031847	0	10.5095541401274	0	0	0	0	0	0	0.636942675159236	0	0	0	0	0	0	0	0.636942675159236	0	0
332	339	"Lac Caribou"	48.19778	-64.94	7	"AWI"	7	-60	664	183	2.65654648956357	0	2.84629981024668	0	0	0	71.9165085388994	0	0.189753320683112	0	0	0	0	0.379506641366224	0	0	0	0	0.189753320683112	0	0	1.70777988614801	0	0	0	0	0	0.189753320683112	8.91840607210626	8.15939278937381	0	0.189753320683112	0	0	0	1.32827324478178	0	0	0	0	0.189753320683112	0	0	1.13851992409867	0	0
332	339	"Lac Caribou"	48.19778	-64.94	20	"AWI"	20	145	1529	718	1.30353817504655	0	0.931098696461825	0	0	0	78.584729981378	0	0	0	0	0	0	0.37243947858473	0.74487895716946	0	0	0	0.186219739292365	0	0	1.11731843575419	0	0.558659217877095	0.931098696461825	0	1.11731843575419	0	6.70391061452514	6.70391061452514	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37243947858473	0.37243947858473	0
332	339	"Lac Caribou"	48.19778	-64.94	30	"AWI"	30	419	2017	1155	0.992555831265509	0	2.97766749379653	0.248138957816377	0	0	88.0893300248139	0	0	0	0	0	0	0	0.248138957816377	0	0	0	1.48883374689826	0	0	0.248138957816377	0	0	0	0	0.992555831265509	0	0	2.23325062034739	0	0	0	0	0	1.24069478908189	0	0	0	0	0	0	0	1.24069478908189	0	0
332	339	"Lac Caribou"	48.19778	-64.94	40	"AWI"	40	728	2394	1619	1.58730158730159	0	2.94784580498866	0	0	0	80.7256235827664	0	0	0	0.226757369614512	0	0	1.13378684807256	0.226757369614512	0	0	0	1.36054421768707	0	0	2.26757369614512	0	0	0	0	0.226757369614512	0.680272108843537	0	6.12244897959184	0	0	0	0	0	0.90702947845805	0	0	0	0	0.453514739229025	0	0	0.680272108843537	0.453514739229025	0
332	339	"Lac Caribou"	48.19778	-64.94	50	"AWI"	50	1135	2652	2045	0.719424460431655	0	1.91846522781775	0	0	0	88.7290167865708	0	0	0	0	0	0	0.239808153477218	0.479616306954436	0	0	0	0.959232613908873	0	0	1.19904076738609	0	0.239808153477218	0	0.239808153477218	0.719424460431655	0	0	0	0.239808153477218	0	0	0	0	2.15827338129496	0	0	0	0	0.239808153477218	0	0	1.19904076738609	0.719424460431655	0
332	339	"Lac Caribou"	48.19778	-64.94	60	"AWI"	60	2001	2840	2436	1.22199592668024	0	3.46232179226069	0	0	0	86.5580448065173	0	0	0	0	0	0	0.203665987780041	0.407331975560081	0	0	0	0.407331975560081	0.814663951120163	0	1.42566191446029	0	0	0	0.203665987780041	1.0183299389002	0.203665987780041	0	0	0	0	0	0	0	2.64765784114053	0	0	0	0	0	0.203665987780041	0	0.407331975560081	0.814663951120163	0
332	339	"Lac Caribou"	48.19778	-64.94	80	"AWI"	80	2612	3748	3106	0.693240901213172	0	3.63951473136915	0	0	0	84.9220103986135	0	0	0.173310225303293	0	0	0	0.519930675909879	0	0	0	0	0.173310225303293	0	0	1.03986135181976	0	0	0	0	0.866551126516464	0.346620450606586	4.50606585788562	0	0	0.173310225303293	0	0	0	1.73310225303293	0	0	0	0.173310225303293	0	0	0	0.519930675909879	0.519930675909879	0
332	339	"Lac Caribou"	48.19778	-64.94	90	"AWI"	90	2806	4142	3443	1.01180438448567	0	3.20404721753794	0	0	0	90.3878583473862	0	0	0	0.168634064080944	0	0	0.168634064080944	0.674536256323777	0	0	0	0.843170320404722	0	0	0	0	0	0	0	0.505902192242833	0.168634064080944	0	0	0	0.168634064080944	0	0	0	2.19224283305228	0	0	0	0	0	0	0	0.337268128161889	0.168634064080944	0
332	339	"Lac Caribou"	48.19778	-64.94	100	"AWI"	100	3130	4368	3793	0.217864923747277	0	3.05010893246187	0	0	0	64.2701525054466	0	0	0	0	0	0	0.65359477124183	0.65359477124183	0	0	0	0.217864923747277	1.30718954248366	0	1.08932461873638	0	0	0	0	0.217864923747277	0.217864923747277	8.93246187363835	15.0326797385621	0	0.217864923747277	0	0	0	2.61437908496732	0	0.217864923747277	0	0	0.217864923747277	0	0	0.65359477124183	0.217864923747277	0
332	339	"Lac Caribou"	48.19778	-64.94	120	"AWI"	120	4009	4794	4425	0.387096774193548	0	2.19354838709677	0	0	0	75.3548387096774	0	0	0	0	0	0	0.903225806451613	0.129032258064516	0	0	0	0	0.774193548387097	0.129032258064516	0.903225806451613	0	0	0	0	0.516129032258065	0	4.51612903225806	9.80645161290323	0	0	0	0	0	4	0	0	0	0	0	0	0	0.258064516129032	0.129032258064516	0
332	339	"Lac Caribou"	48.19778	-64.94	140	"AWI"	140	4435	5775	5022	0.322061191626409	0	3.7037037037037	0	0	0	76.9726247987117	0	0.322061191626409	0	0	0	0	0.322061191626409	0.483091787439614	0	0	0	0	0	0	0.161030595813205	0	0	0	0	0.322061191626409	0	0	9.01771336553945	0	0.161030595813205	0	0	0	7.89049919484702	0	0	0	0	0.161030595813205	0	0	0	0.161030595813205	0
332	339	"Lac Caribou"	48.19778	-64.94	160	"AWI"	160	4921	6408	5639	0.672645739910314	0	3.58744394618834	0.224215246636771	0	0	76.0089686098655	0	0	0	0	0	0	0	0.224215246636771	0	0	0	0.672645739910314	0.448430493273543	0	1.12107623318386	0	0	0	0	0.224215246636771	0	0	6.05381165919283	0	0	0	0	0	9.41704035874439	0	0	0	0	0	0	0	0.224215246636771	1.12107623318386	0
332	339	"Lac Caribou"	48.19778	-64.94	170	"AWI"	170	5184	6678	5952	0.253807106598985	0	4.06091370558376	0	0	0	67.258883248731	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50761421319797	1.77664974619289	0	0	0	0	0	0.253807106598985	0	12.1827411167513	0	0	0	0	0	11.9289340101523	0	0	0	0	0.50761421319797	0	0	1.01522842639594	0.253807106598985	0
