"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Amaranthaceae"	"Asteraceae"	"Carya"	"Cephalanthus"	"Cupressaceae"	"Cyperaceae"	"Ficus"	"Malvaceae"	"Myrica"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Salix"
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	1.5	"AWI"	1.5	-52.5	319	132.5	0	12	0	3	10	0	0	0	1	1	9	0	2	2	8
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	5.5	"AWI"	5.5	38.5	1259.5	640.5	0	77	3	2	1	0	0	0	0	0	5	0	0	0	2
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	10.5	"AWI"	10.5	239	2345	1271.5	0	166	5	0	3	0	0	0	0	1	14	1	2	0	1
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	15.5	"AWI"	15.5	1337	2479	1902	0	290	0	0	0	0	0	0	0	0	12	0	0	0	0
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	21	"AWI"	21	2254	2768	2522	0	309	1	0	0	1	0	0	0	0	7	1	1	0	0
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	27	"AWI"	27	2547	3224	2892	0	291	0	0	0	0	1	1	0	0	6	1	2	0	0
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	29	"AWI"	29	2568	3440	3018	0	250	0	0	0	0	0	0	0	0	21	0	2	0	0
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	35	"AWI"	35	3048	3627	3333	0	228	2	0	0	0	0	0	0	0	57	0	5	0	1
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	39	"AWI"	39	3295	3741	3547	0	178	0	0	0	0	1	0	0	0	35	2	5	0	0
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	45	"AWI"	45	3411	3826	3640	0	325	0	0	0	0	0	0	0	0	19	1	4	0	0
964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	25.88694	-80.56139	51	"AWI"	51	3483	3877	3689	1	307	0	0	0	0	0	0	0	1	20	0	3	0	0
