"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula (<20 µm)"	"Betula (>20 µm)"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	0	"AWI"	0	-101	68	-24	15	0	10	1	0	0	4	40	0	0	0	0	0	43	16	0	6	93	0	0	1	0	67	77	1	9	0	0	0	0	0	0	0	0	1	12	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	10	"AWI"	10	14	1269	370	22	0	8	0	0	17	5	89	1	0	0	0	0	14	38	0	9	98	0	1	0	0	78	101	1	2	0	0	0	0	0	0	0	0	3	22	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	15	"AWI"	15	136	1493	625	45	0	6	1	0	0	1	85	1	3	1	1	0	42	40	0	4	97	1	0	3	0	83	84	0	3	0	0	0	0	0	0	0	0	4	23	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	20	"AWI"	20	209	1821	857	15	0	10	1	0	0	1	83	0	1	2	0	1	25	37	2	4	42	7	0	1	0	60	111	6	4	0	0	1	0	0	0	1	0	0	14	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	25	"AWI"	25	395	1991	1104	19	0	5	2	0	0	6	54	1	0	0	0	0	63	16	0	5	74	0	0	11	0	72	83	0	8	0	0	2	0	0	0	0	0	4	16	0	2	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	30	"AWI"	30	505	2288	1352	43	0	9	2	0	0	10	123	0	1	3	0	0	51	38	3	6	67	4	0	1	0	116	134	5	6	0	0	1	0	0	0	0	0	1	37	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	35	"AWI"	35	760	2454	1596	14	0	10	0	0	17	8	70	0	1	2	0	2	72	21	1	4	71	0	0	7	0	68	78	6	12	1	0	1	4	0	0	0	0	0	15	0	1	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	40	"AWI"	40	900	2712	1838	31	0	17	0	0	0	11	120	0	2	0	1	0	85	44	1	2	58	2	0	3	0	104	129	10	19	0	0	1	2	0	0	2	0	3	11	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	45	"AWI"	45	1201	2822	2082	31	1	3	1	0	11	6	88	1	0	0	0	0	39	26	1	2	67	0	0	2	0	61	79	3	6	0	0	0	0	0	0	0	0	1	8	0	0	0	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	50	"AWI"	50	1367	3030	2332	23	0	7	0	0	0	5	89	0	0	0	0	0	52	20	1	5	47	1	0	1	0	90	72	6	9	0	0	1	0	0	0	0	0	3	10	0	0	1	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	55	"AWI"	55	1767	3116	2554	19	0	5	0	0	0	7	77	0	1	1	0	0	25	14	0	1	58	1	0	2	0	43	78	5	10	0	0	0	0	0	0	0	0	0	6	0	0	1	0
979	1010	"Hawke Hills Kettle"	47.32222	-53.13333	60	"AWI"	60	1992	3293	2801	21	0	10	1	0	0	2	109	3	0	0	0	0	50	29	0	4	65	0	0	5	0	102	111	1	8	0	0	5	0	0	0	0	0	1	5	0	1	2	0
