"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Chrysolepis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Grossulariaceae"	"Indeterminable"	"Isoëtes"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"
231	234	"Barrett Lake"	37.59583	-119.00833	0	"AWI"	0	-150	16	-59	14	1	1	0	17	0	0	0	2	0	0	0	0	0	2	1	1	0	0	7	29	0	0	0	0	343	0	1	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	33
231	234	"Barrett Lake"	37.59583	-119.00833	5	"AWI"	5	-85	297	52	10	2	5	0	19	0	0	0	1	0	0	1	0	0	0	0	0	1	0	4	73	0	0	0	0	435	0	3	0	0	0	4	0	1	0	0	0	2	0	2	0	1	0	38
231	234	"Barrett Lake"	37.59583	-119.00833	10	"AWI"	10	-11	449	184	10	3	3	0	26	0	0	0	0	0	0	0	0	0	3	0	0	1	0	8	143	0	0	0	1	364	1	4	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	28
231	234	"Barrett Lake"	37.59583	-119.00833	15	"AWI"	15	88	573	321	9	5	6	0	16	0	0	0	0	0	0	0	0	0	3	1	1	0	0	5	135	1	0	0	0	477	0	4	0	0	0	1	0	2	0	0	0	2	0	1	0	0	0	30
231	234	"Barrett Lake"	37.59583	-119.00833	20	"AWI"	20	218	675	454	14	3	2	0	14	0	0	0	0	0	0	4	2	0	2	2	0	0	0	0	125	0	0	0	0	463	0	0	3	0	0	3	0	0	0	0	0	0	0	2	0	0	0	40
231	234	"Barrett Lake"	37.59583	-119.00833	25	"AWI"	25	391	776	577	12	4	3	1	28	0	0	0	1	0	0	0	2	0	2	1	0	0	0	5	96	0	0	0	0	408	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	17
231	234	"Barrett Lake"	37.59583	-119.00833	27	"AWI"	27	499	817	631	13	1	3	1	17	0	0	0	1	0	0	1	0	0	1	0	0	1	0	3	47	0	0	0	0	431	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	36
231	234	"Barrett Lake"	37.59583	-119.00833	32	"AWI"	32	597	969	754	17	0	1	0	19	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	37	0	0	0	0	312	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	43
231	234	"Barrett Lake"	37.59583	-119.00833	37	"AWI"	37	691	1138	878	8	1	4	0	23	0	0	0	0	0	0	3	0	0	3	3	0	0	0	4	12	0	0	0	0	340	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	39
231	234	"Barrett Lake"	37.59583	-119.00833	42	"AWI"	42	801	1296	1003	8	2	3	1	23	0	0	0	0	0	0	3	0	0	5	1	0	0	0	1	27	0	0	0	0	349	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	33
