"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Larix"	"Onagraceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"
1504	1542	"Berelyekh River"	63.28333	147.75	0	"AWI"	0	823	1038	931	3.84615384615385	0.427350427350427	0	66.2393162393162	0.427350427350427	0	0.427350427350427	3.41880341880342	2.13675213675214	0.427350427350427	0.854700854700855	17.5213675213675	2.99145299145299	0.854700854700855	0	0	0.427350427350427
1504	1542	"Berelyekh River"	63.28333	147.75	35	"AWI"	35	1511	5524	3435	13.4199134199134	0	0	36.3636363636364	0.865800865800866	0	0	3.46320346320346	12.987012987013	0.432900432900433	0.432900432900433	27.2727272727273	3.8961038961039	0	0.432900432900433	0	0.432900432900433
1504	1542	"Berelyekh River"	63.28333	147.75	60	"AWI"	60	5408	6084	5716	16.1676646706587	0.598802395209581	0	14.3712574850299	0	0	0	14.3712574850299	6.2874251497006	0.29940119760479	0	41.0179640718563	5.98802395209581	0	0.29940119760479	0	0.598802395209581
1504	1542	"Berelyekh River"	63.28333	147.75	90	"AWI"	90	8483	11475	10637	14.0811455847255	0.238663484486874	0	45.346062052506	0.477326968973747	0	0	2.86396181384248	14.0811455847255	0	0.238663484486874	17.6610978520286	4.5346062052506	0	0.238663484486874	0	0.238663484486874
1504	1542	"Berelyekh River"	63.28333	147.75	100	"AWI"	100	9414	13663	12522	12.4716553287982	1.58730158730159	0	51.7006802721088	2.04081632653061	0	0.226757369614512	5.66893424036281	8.16326530612245	0	0.226757369614512	0.226757369614512	14.2857142857143	0	1.36054421768707	0	2.04081632653061
1504	1542	"Berelyekh River"	63.28333	147.75	113	"AWI"	113	10433	14067	13068	2.34741784037559	0.938967136150235	0	53.5211267605634	0	0	0.469483568075117	18.7793427230047	0	0	0	0.469483568075117	19.7183098591549	0	0.469483568075117	1.40845070422535	1.87793427230047
1504	1542	"Berelyekh River"	63.28333	147.75	170	"AWI"	170	12996	15896	14431	2.42214532871972	1.73010380622837	1.03806228373702	58.1314878892734	0.346020761245675	0.346020761245675	0.69204152249135	13.4948096885813	0.346020761245675	0	0.346020761245675	0.346020761245675	16.2629757785467	0.346020761245675	1.73010380622837	0	2.42214532871972
1504	1542	"Berelyekh River"	63.28333	147.75	180	"AWI"	180	13218	16131	14660	0	9.54198473282443	1.14503816793893	0.381679389312977	4.9618320610687	0.763358778625954	12.2137404580153	20.9923664122137	0	0	0.381679389312977	0	47.7099236641221	0	1.14503816793893	0	0.763358778625954
1504	1542	"Berelyekh River"	63.28333	147.75	200	"AWI"	200	13486	16933	15080	0.378787878787879	27.6515151515151	7.57575757575758	0.757575757575758	0.378787878787879	0.378787878787879	11.7424242424242	7.95454545454545	0	0	0	0.378787878787879	42.8030303030303	0	0	0	0
1504	1542	"Berelyekh River"	63.28333	147.75	220	"AWI"	220	13841	17463	15497	12.7753303964758	18.5022026431718	3.52422907488987	16.2995594713656	3.52422907488987	0	3.9647577092511	7.48898678414097	2.6431718061674	0	0	1.76211453744493	29.0748898678414	0	0	0	0.440528634361234
