"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Morus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
1562	1607	"Lake Six"	48.4	-81.31667	1	"AWI"	1	-122	67	-30	12	2	44	0	0	3	0	90	0	0	0	0	10	16	0	0	0	12	0	0	19	0	0	0	2	85	176	0	1	12	3	6	1	0	0	0	0	0	1	0	1	3	0	0
1562	1607	"Lake Six"	48.4	-81.31667	10	"AWI"	10	18	435	187	12	1	23	3	0	3	0	65	0	0	0	2	8	6	4	1	0	8	0	0	11	0	5	0	1	110	198	0	0	9	3	6	0	0	0	2	0	0	0	0	2	1	0	0
1562	1607	"Lake Six"	48.4	-81.31667	20	"AWI"	20	202	754	439	11	1	42	2	0	3	0	79	0	0	0	0	5	12	4	2	0	7	0	0	11	0	3	1	0	96	152	0	1	14	7	5	0	0	0	0	1	0	0	0	0	2	0	0
1562	1607	"Lake Six"	48.4	-81.31667	30	"AWI"	30	404	1044	692	10	0	42	1	0	1	0	73	0	0	0	0	4	9	4	1	0	0	0	0	9	0	1	0	1	103	175	0	1	6	0	8	0	0	0	1	0	0	0	0	3	3	0	0
1562	1607	"Lake Six"	48.4	-81.31667	40	"AWI"	40	618	1311	942	17	0	30	2	0	2	0	90	0	0	0	0	15	9	0	1	0	16	0	0	15	0	4	0	3	96	168	0	1	13	5	6	1	0	0	3	0	0	0	0	0	4	0	1
1562	1607	"Lake Six"	48.4	-81.31667	50	"AWI"	50	838	1575	1194	7	1	44	3	0	2	0	62	0	0	0	3	2	9	0	0	0	0	0	0	7	0	4	0	2	82	157	0	2	7	8	10	0	0	0	4	0	0	1	0	0	1	0	0
1562	1607	"Lake Six"	48.4	-81.31667	60	"AWI"	60	1072	1835	1451	11	2	32	0	0	3	0	76	0	1	0	1	7	10	0	1	0	4	0	0	11	0	6	0	1	96	181	0	0	8	4	5	0	0	0	1	0	0	0	0	0	2	1	0
1562	1607	"Lake Six"	48.4	-81.31667	70	"AWI"	70	1314	2091	1705	12	2	50	0	0	1	0	87	0	0	1	2	9	11	4	2	0	1	0	0	14	0	2	0	1	100	183	0	2	9	6	6	0	0	0	0	0	0	2	0	0	6	0	0
1562	1607	"Lake Six"	48.4	-81.31667	80	"AWI"	80	1565	2333	1957	8	3	26	1	0	1	0	70	0	0	0	2	14	11	0	1	0	12	0	0	6	0	2	0	0	96	200	0	2	7	3	8	0	0	1	3	0	0	0	0	0	2	1	1
1562	1607	"Lake Six"	48.4	-81.31667	90	"AWI"	90	1828	2574	2205	16	0	44	2	0	2	0	83	0	0	0	2	11	15	4	1	0	1	0	0	8	0	10	0	1	115	208	0	1	15	3	8	0	0	0	1	0	0	0	0	0	4	0	0
1562	1607	"Lake Six"	48.4	-81.31667	100	"AWI"	100	2088	2797	2456	9	1	23	0	0	3	0	71	0	2	0	1	13	15	0	0	0	7	0	0	10	0	1	0	3	96	186	0	0	13	4	6	0	0	0	2	0	0	0	0	1	0	0	0
1562	1607	"Lake Six"	48.4	-81.31667	110	"AWI"	110	2365	3024	2713	14	1	38	0	0	1	0	105	0	0	0	0	8	12	4	0	4	0	0	0	7	0	1	0	5	58	209	0	2	13	1	5	0	0	0	1	1	0	1	0	0	2	0	0
