"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Cactaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Moraceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Solanaceae"	"Urticaceae"
343	351	"Cayambe"	-0.03333	-78.03333	10	"AWI"	10	-26	655	277	0	0	0	0	0	0	3.33333333333333	3.33333333333333	0	0	0	0	0	0	0	0	3.33333333333333	80	0	6.66666666666667	3.33333333333333	0
343	351	"Cayambe"	-0.03333	-78.03333	17	"AWI"	17	16	1153	515	1.58730158730159	0	0	0	3.17460317460317	1.58730158730159	0	1.58730158730159	0	0	0	0	0	0	0	0	0	84.1269841269841	0	7.93650793650794	0	0
343	351	"Cayambe"	-0.03333	-78.03333	31	"AWI"	31	418	1714	990	0	0	0	0	0	0	2.17391304347826	4.34782608695652	0	0	0	0	0	0	0	0	0	89.1304347826087	0	0	0	4.34782608695652
343	351	"Cayambe"	-0.03333	-78.03333	55	"AWI"	55	1130	2081	1707	0	0	0	0	13.7614678899083	5.5045871559633	0	0.917431192660551	0	0	11.0091743119266	1.8348623853211	0	0	0	0	0	56.8807339449541	0	2.75229357798165	7.3394495412844	0
343	351	"Cayambe"	-0.03333	-78.03333	100	"AWI"	100	1716	2484	2098	1.51515151515152	0	0	0	0	3.03030303030303	0	0	0	0	3.03030303030303	0	1.51515151515152	0	0	0	0	77.2727272727273	1.51515151515152	4.54545454545455	7.57575757575758	0
343	351	"Cayambe"	-0.03333	-78.03333	115	"AWI"	115	1872	2574	2193	0	0	6.75675675675676	0	13.5135135135135	5.40540540540541	0	1.35135135135135	0	0	0	0	0	0	0	1.35135135135135	0	54.0540540540541	0	4.05405405405405	13.5135135135135	0
343	351	"Cayambe"	-0.03333	-78.03333	135	"AWI"	135	2121	2726	2352	1.88679245283019	0	0	0	0	3.77358490566038	0	1.88679245283019	0	0	3.77358490566038	0	0	0	0	0	5.66037735849057	75.4716981132076	0	0	5.66037735849057	1.88679245283019
343	351	"Cayambe"	-0.03333	-78.03333	155	"AWI"	155	2309	2952	2553	8	0	0	0	2	2	0	6	0	0	8	2	0	0	0	2	0	58	0	12	0	0
343	351	"Cayambe"	-0.03333	-78.03333	165	"AWI"	165	2367	3113	2661	1.58730158730159	0	0	0	0	0	0	6.34920634920635	0	0	9.52380952380952	1.58730158730159	0	0	0	1.58730158730159	1.58730158730159	71.4285714285714	0	3.17460317460317	0	3.17460317460317
343	351	"Cayambe"	-0.03333	-78.03333	185	"AWI"	185	2602	3695	3088	2.35294117647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52941176470588	0	82.3529411764706	0	8.23529411764706	0	3.52941176470588
343	351	"Cayambe"	-0.03333	-78.03333	205	"AWI"	205	2963	4202	3602	0	0	4	0	0	2	0	2	0	0	0	0	0	0	4	0	2	86	0	0	0	0
343	351	"Cayambe"	-0.03333	-78.03333	215	"AWI"	215	3094	4458	3868	0	0	0	0	0	1.35135135135135	0	5.40540540540541	0	22.972972972973	6.75675675675676	5.40540540540541	0	0	1.35135135135135	0	2.7027027027027	47.2972972972973	0	2.7027027027027	0	4.05405405405405
343	351	"Cayambe"	-0.03333	-78.03333	225	"AWI"	225	3563	4560	4102	0.99009900990099	1.98019801980198	0	0	0	0	0	0.99009900990099	0	46.5346534653465	0.99009900990099	1.98019801980198	0	0	0	1.98019801980198	1.98019801980198	39.6039603960396	0	1.98019801980198	0.99009900990099	0
343	351	"Cayambe"	-0.03333	-78.03333	245	"AWI"	245	4273	4801	4581	3.94736842105263	2.63157894736842	0	0	0	0	0	2.63157894736842	0	1.31578947368421	5.26315789473684	1.31578947368421	0	0	0	2.63157894736842	9.21052631578947	64.4736842105263	0	2.63157894736842	0	3.94736842105263
343	351	"Cayambe"	-0.03333	-78.03333	265	"AWI"	265	4608	5467	4940	16.8831168831169	0	0	0	0	0	0	5.19480519480519	0	0	2.5974025974026	0	0	1.2987012987013	0	0	16.8831168831169	54.5454545454545	0	0	0	2.5974025974026
343	351	"Cayambe"	-0.03333	-78.03333	280	"AWI"	280	4765	5618	5222	4.76190476190476	0	0	0	0	0	0	0	0	4.76190476190476	4.76190476190476	0	0	0	0	0	14.2857142857143	61.9047619047619	0	4.76190476190476	4.76190476190476	0
343	351	"Cayambe"	-0.03333	-78.03333	295	"AWI"	295	4889	5814	5381	5.55555555555556	0	0	0	0	0	0	11.1111111111111	0	0	0	0	0	0	0	2.77777777777778	0	80.5555555555556	0	0	0	0
343	351	"Cayambe"	-0.03333	-78.03333	310	"AWI"	310	5019	5997	5494	0	0	0	0	1.96078431372549	0	0	0	1.96078431372549	0	1.96078431372549	0	0	0	1.96078431372549	0	3.92156862745098	80.3921568627451	3.92156862745098	1.96078431372549	1.96078431372549	0
343	351	"Cayambe"	-0.03333	-78.03333	325	"AWI"	325	5132	6118	5556	1.20481927710843	0	0	0	4.81927710843374	4.81927710843374	0	2.40963855421687	0	1.20481927710843	4.81927710843374	0	0	0	0	1.20481927710843	0	74.6987951807229	2.40963855421687	2.40963855421687	0	0
