"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Apocynaceae"	"Aristotelia"	"Asteraceae"	"Austrocedrus"	"Azara"	"Berberidaceae"	"Brassicaceae"	"Buddleja"	"Calyceraceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cyperaceae"	"Drimys"	"Elaeocarpaceae"	"Embothrium"	"Ephedraceae"	"Ericales"	"Escallonia"	"Eucryphia"	"Fabaceae"	"Geraniaceae"	"Gesneriaceae"	"Griselinia"	"Grossulariaceae"	"Gunneraceae"	"Hydrangea"	"Indeterminable"	"Lamiaceae"	"Laurelia"	"Liliaceae"	"Maytenus"	"Misodendraceae"	"Myrtaceae"	"Nothofagus"	"Nothofagus × alpina-type"	"Orchidaceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Populus"	"Proteaceae"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Salix"	"Saxegothaea"	"Schinus"	"Scrophulariaceae"	"Solanaceae"	"Verbenaceae"	"Vitaceae"	"Weinmannia"
1639	1694	"Mallin Book"	-41.33333	-71.58333	34	"AWI"	34	5	853	283	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	5	0	0	0	0	0	41	2	12	0	0	1	0	0	0	0	1	1	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	89	"AWI"	89	366	1628	887	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1639	1694	"Mallin Book"	-41.33333	-71.58333	138	"AWI"	138	791	2207	1417	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	6	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1639	1694	"Mallin Book"	-41.33333	-71.58333	148	"AWI"	148	937	2311	1523	3	0	0	0	0	24	0	1	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	2	0	0	0	0	0	4	1	0	0	1	0	0	0	0	1	0	0	0	1	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	164	"AWI"	164	1109	2512	1697	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	421	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	92	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1639	1694	"Mallin Book"	-41.33333	-71.58333	169	"AWI"	169	1205	2550	1751	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	2	0	0	3	0	0	0	0	1	3	0	0	0	0
1639	1694	"Mallin Book"	-41.33333	-71.58333	179	"AWI"	179	1346	2643	1863	2	0	0	0	0	4	0	0	1	2	0	0	1	0	0	17	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	12	4	0	0	11	0	0	3	0	0	0	0	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	200	"AWI"	200	1904	2945	2382	2	0	0	0	0	7	0	0	0	6	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	181	0	0	0	12	6	0	0	5	1	0	0	0	0	0	0	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	209	"AWI"	209	2084	3226	2669	3	0	0	0	0	43	0	0	1	2	0	0	0	0	0	72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	2	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	218	"AWI"	218	2279	3461	2887	6	0	0	0	0	42	2	0	0	2	0	0	0	0	0	206	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	18	2	0	0	3	0	0	1	0	0	3	0	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	229	"AWI"	229	2412	4000	3132	1	0	0	1	0	9	0	0	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	6	3	0	1	2	0	0	0	0	0	0	0	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	239	"AWI"	239	2624	4303	3363	2	0	0	1	0	28	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	4	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	259	"AWI"	259	2987	4800	3858	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	4	2	0	2	0	0	0	1	0	0	0	1	0	0	0
1639	1694	"Mallin Book"	-41.33333	-71.58333	269	"AWI"	269	3255	4937	4113	1	0	0	0	0	7	0	0	0	0	0	0	0	1	0	53	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1639	1694	"Mallin Book"	-41.33333	-71.58333	279	"AWI"	279	3398	5199	4373	3	0	0	0	0	3	0	0	0	1	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	288	"AWI"	288	3809	5297	4574	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	0	0	0
1639	1694	"Mallin Book"	-41.33333	-71.58333	298	"AWI"	298	4122	5456	4819	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	137	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	2	3	0	0	0	0	0	1	3	0	3	9	1	0	0	0	0	0	1	0	0	1
1639	1694	"Mallin Book"	-41.33333	-71.58333	308	"AWI"	308	4359	5659	5048	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0
