"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Cleomaceae"	"Cupressaceae"	"Cyperaceae"	"Fabaceae"	"Geraniaceae"	"Lamiaceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	0	"AWI"	0	-128	29	-48	313	0	15	66	10	3	1	10	2	0	24	48	2	64	13
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	10	"AWI"	10	-93	83	-10	286	0	26	105	4	3	1	2	2	0	9	66	3	63	25
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	20	"AWI"	20	-74	166	25	26	5	7	200	4	3	1	2	12	0	11	30	8	24	9
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	30	"AWI"	30	-60	263	59	198	9	10	133	9	2	1	2	4	1	30	36	6	61	25
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	40	"AWI"	40	-32	333	98	26	14	11	150	6	0	0	2	14	0	14	11	1	7	10
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	50	"AWI"	50	2	370	145	10	10	15	230	6	0	0	3	12	0	12	8	21	15	12
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	60	"AWI"	60	23	422	190	77	2	36	193	16	0	1	19	9	0	21	40	13	17	25
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	80	"AWI"	80	87	547	276	35	0	41	139	9	0	1	7	2	1	15	48	11	27	11
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	100	"AWI"	100	145	686	372	70	0	21	174	4	0	3	15	0	5	23	116	5	28	11
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	120	"AWI"	120	266	828	472	89	1	5	232	4	0	4	7	0	2	26	21	4	27	5
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	140	"AWI"	140	346	987	578	139	4	11	316	1	0	3	15	0	0	26	15	6	37	7
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	170	"AWI"	170	601	1601	1074	72	2	9	266	1	0	8	5	0	4	33	25	6	23	4
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	183	"AWI"	183	760	1971	1297	72	4	14	179	2	0	3	2	0	1	31	40	12	34	7
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	200	"AWI"	200	1186	2159	1630	94	3	9	194	5	0	13	12	0	5	11	27	7	26	5
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	218	"AWI"	218	1416	2571	1968	87	1	58	238	2	0	10	3	0	2	33	12	13	18	5
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	240	"AWI"	240	1769	2844	2347	165	0	10	173	1	0	5	0	0	0	34	16	13	13	2
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	260	"AWI"	260	2095	3173	2661	91	3	2	189	1	0	10	3	0	0	23	20	8	24	8
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	280	"AWI"	280	2434	3433	2966	52	2	23	205	1	0	5	3	0	0	36	30	14	22	5
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	300	"AWI"	300	2734	3703	3224	53	1	10	245	2	0	4	2	0	0	42	29	6	34	3
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	320	"AWI"	320	2953	3925	3480	38	1	14	169	0	0	1	0	0	1	28	23	17	15	3
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	340	"AWI"	340	3170	4102	3673	122	2	20	198	4	0	2	3	0	0	33	32	7	24	2
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	360	"AWI"	360	3297	4353	3859	149	0	27	169	3	0	1	2	0	0	48	29	8	23	2
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	380	"AWI"	380	3596	4468	4026	502	2	10	56	0	0	1	1	0	1	16	28	3	15	1
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	401	"AWI"	401	3802	4669	4222	179	3	25	129	3	0	3	6	0	2	23	69	4	26	8
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	420	"AWI"	420	3991	4820	4419	207	1	35	125	7	0	2	6	0	4	31	38	6	31	16
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	440	"AWI"	440	4204	5030	4610	227	0	16	95	4	0	4	3	0	1	27	35	7	31	2
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	460	"AWI"	460	4450	5153	4802	234	2	3	125	1	0	0	0	0	3	23	2	12	10	4
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	480	"AWI"	480	4720	5334	5028	99	1	5	100	0	0	0	0	0	0	23	9	29	19	2
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	501	"AWI"	501	4890	5803	5318	200	0	20	134	6	0	2	2	0	0	26	29	7	33	2
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	513	"AWI"	513	5036	5972	5475	44	0	6	101	0	0	0	0	0	0	20	13	8	7	2
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	530	"AWI"	530	5145	6277	5714	319	1	16	102	2	0	0	0	0	2	20	14	8	32	15
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	540	"AWI"	540	5195	6563	5836	283	0	11	80	3	0	0	0	0	0	26	7	22	17	3
