"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Moraceae"	"Myricaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
823	849	"Hayes Lake"	49.58333	-93.75	10	"AWI"	10	-72	655	131	1	0	29	1	7	0	32	0	0	1	3	4	0	0	0	0	6	6	0	1	0	0	0	1	34	0	0	0	2	2	0	0	0	3	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	20	"AWI"	20	28	1057	373	6	0	41	0	14	0	57	0	0	0	4	5	0	0	0	0	6	15	0	7	0	0	0	2	106	0	0	7	1	10	0	0	2	0	1	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	30	"AWI"	30	157	1378	613	2	0	15	2	5	0	26	0	0	0	2	3	0	0	0	0	3	3	0	2	0	0	0	1	38	0	0	1	0	2	0	0	1	0	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	40	"AWI"	40	303	1668	855	7	0	33	1	10	0	33	0	0	1	1	3	0	1	0	0	0	13	0	14	0	1	0	0	87	0	0	7	3	10	0	0	2	0	0	0	1	0	1
823	849	"Hayes Lake"	49.58333	-93.75	60	"AWI"	60	633	2234	1343	1	0	24	2	3	0	25	0	0	2	4	5	0	0	0	0	4	4	0	2	0	0	0	0	30	0	0	6	0	4	0	0	3	0	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	70	"AWI"	70	829	2493	1585	5	0	42	2	5	0	41	0	0	1	5	1	0	0	0	0	2	5	0	5	0	0	0	3	23	0	0	2	1	3	0	0	0	0	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	80	"AWI"	80	1016	2746	1832	5	0	22	0	7	0	35	0	0	0	4	2	0	0	0	2	2	7	0	6	0	0	1	5	37	0	0	7	4	4	0	0	0	0	0	1	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	90	"AWI"	90	1221	3011	2078	3	0	28	2	6	0	21	0	0	1	10	3	0	0	0	0	3	7	0	7	0	1	0	0	29	0	0	6	2	3	0	0	1	0	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	100	"AWI"	100	1426	3246	2318	10	0	63	2	8	0	66	0	0	4	5	4	0	0	0	0	9	16	0	11	0	4	0	2	66	0	0	5	8	8	0	0	1	1	2	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	120	"AWI"	120	1877	3739	2815	3	0	35	0	5	0	55	0	0	1	3	1	0	0	0	0	5	6	0	2	0	3	0	2	31	0	1	8	6	6	0	0	2	0	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	130	"AWI"	130	2109	3953	3052	4	0	28	1	4	0	25	0	0	3	6	3	0	0	0	3	2	6	0	2	0	0	0	0	28	0	0	3	1	4	0	0	1	0	0	0	3	0	0
823	849	"Hayes Lake"	49.58333	-93.75	140	"AWI"	140	2344	4179	3293	4	0	45	1	4	0	53	0	0	1	3	4	0	0	0	3	4	9	0	4	0	1	0	3	25	0	0	5	6	7	0	0	0	0	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	150	"AWI"	150	2597	4389	3542	4	0	38	0	6	0	40	0	0	0	3	1	0	0	0	0	3	1	0	0	0	1	0	0	26	237	0	4	1	6	0	0	0	0	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	160	"AWI"	160	2835	4595	3794	4	0	32	1	4	0	42	0	0	0	4	5	0	0	1	0	10	10	0	3	0	2	0	1	14	0	0	6	2	10	0	0	0	0	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	170	"AWI"	170	3108	4771	4033	2	0	28	1	7	0	53	0	0	1	12	1	0	0	0	0	3	2	0	3	0	1	0	2	17	0	0	0	7	4	0	0	2	0	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	180	"AWI"	180	3374	4960	4276	7	0	68	1	15	0	74	1	1	3	7	4	0	0	0	3	9	5	0	2	0	1	0	1	30	0	0	12	3	15	0	0	1	0	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	190	"AWI"	190	3663	5140	4525	3	0	29	0	9	0	48	0	0	0	5	5	0	0	0	0	2	6	0	2	0	0	0	0	18	0	0	7	5	6	0	0	0	0	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	200	"AWI"	200	3951	5293	4764	5	0	43	2	10	0	43	0	0	1	7	3	0	0	0	0	4	12	0	6	0	2	0	1	13	0	0	9	4	7	0	0	1	0	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	210	"AWI"	210	4287	5443	4993	2	0	39	3	6	0	22	0	0	1	9	4	0	0	0	3	2	6	0	1	0	0	0	0	5	0	0	3	6	6	0	0	4	0	2	0	3	0	1
823	849	"Hayes Lake"	49.58333	-93.75	220	"AWI"	220	4489	5627	5170	4	0	43	4	10	0	45	0	0	5	15	3	0	1	0	0	10	6	0	0	0	1	0	0	20	0	0	7	6	9	0	0	0	0	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	230	"AWI"	230	4629	5809	5317	1	0	29	1	9	0	34	0	0	1	6	6	0	0	1	0	3	2	0	0	0	0	0	0	5	0	0	7	2	8	0	0	1	0	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	240	"AWI"	240	4770	5996	5462	2	0	37	3	7	0	51	0	0	5	15	1	0	0	2	0	3	6	0	1	0	3	0	0	8	0	0	9	11	5	0	0	1	0	1	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	250	"AWI"	250	4919	6173	5604	0	0	38	3	11	0	32	0	0	0	11	1	0	0	0	0	3	1	0	0	0	5	0	1	7	0	0	4	2	6	0	0	1	0	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	260	"AWI"	260	5066	6337	5747	0	0	43	4	9	0	43	0	0	6	24	5	0	0	0	8	9	4	0	1	0	2	0	5	5	0	0	8	5	17	0	0	1	0	0	0	3	0	0
823	849	"Hayes Lake"	49.58333	-93.75	270	"AWI"	270	5214	6498	5891	1	0	31	8	17	0	49	0	0	1	13	2	0	0	0	0	3	4	0	1	0	0	0	4	3	0	0	8	5	11	0	0	3	0	0	0	3	0	0
823	849	"Hayes Lake"	49.58333	-93.75	280	"AWI"	280	5351	6661	6033	0	0	38	4	11	0	41	1	1	4	18	2	0	0	0	0	6	1	0	0	0	0	0	5	6	0	1	18	3	12	0	0	3	0	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	290	"AWI"	290	5500	6805	6175	1	0	33	2	8	0	45	0	0	2	9	2	0	0	0	5	9	0	0	8	0	0	0	2	4	0	0	1	0	10	0	0	1	1	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	310	"AWI"	310	5779	7102	6448	0	0	36	7	16	0	50	0	0	1	13	2	0	0	0	0	10	0	0	0	0	0	0	2	4	0	0	8	0	17	0	0	1	0	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	320	"AWI"	320	5927	7250	6592	0	0	29	3	12	0	29	0	0	1	12	5	0	0	1	0	9	0	0	0	0	0	0	4	4	0	0	7	2	9	0	0	3	1	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	330	"AWI"	330	6076	7391	6739	1	0	37	4	12	0	24	0	0	3	13	3	0	0	0	3	9	0	0	0	0	0	0	1	5	0	0	6	2	10	0	0	1	0	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	340	"AWI"	340	6238	7522	6883	1	0	50	2	11	0	36	0	0	3	18	4	0	0	0	0	3	1	0	1	0	2	0	3	6	0	0	12	2	15	0	0	1	0	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	350	"AWI"	350	6411	7651	7028	1	0	27	0	11	0	34	1	0	0	11	4	0	0	1	0	3	1	0	1	0	0	0	0	2	0	0	10	1	4	0	0	0	1	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	370	"AWI"	370	6752	7930	7312	0	0	21	5	18	0	36	0	0	1	15	5	0	0	0	4	4	1	0	0	0	0	0	4	2	0	1	4	3	11	0	0	4	0	0	0	3	0	0
823	849	"Hayes Lake"	49.58333	-93.75	380	"AWI"	380	6931	8069	7448	1	0	29	8	20	0	52	0	2	5	42	10	0	0	1	3	8	3	0	1	0	2	0	1	8	0	0	17	5	13	0	0	4	1	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	390	"AWI"	390	7118	8211	7587	0	0	21	6	17	0	32	0	0	1	29	5	0	0	0	0	6	0	0	0	0	2	0	2	4	0	0	10	6	13	0	0	7	1	0	0	3	0	0
823	849	"Hayes Lake"	49.58333	-93.75	410	"AWI"	410	7551	8489	7847	0	0	30	8	24	0	44	0	0	0	43	5	0	0	0	0	7	0	0	1	0	3	0	0	2	0	0	11	2	5	0	0	2	0	0	0	0	0	0
823	849	"Hayes Lake"	49.58333	-93.75	420	"AWI"	420	7745	8705	8041	0	0	36	11	33	0	53	0	0	2	69	6	0	0	0	0	5	3	0	0	0	4	0	1	8	0	0	16	11	3	0	1	3	0	0	0	2	1	0
823	849	"Hayes Lake"	49.58333	-93.75	430	"AWI"	430	7894	9194	8327	0	0	28	11	19	0	43	0	0	2	37	5	0	0	0	0	4	2	0	0	0	5	0	1	12	0	0	10	12	1	0	0	4	1	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	440	"AWI"	440	8051	9596	8625	0	0	37	5	10	0	24	0	0	0	25	7	0	0	2	0	8	1	0	0	0	2	0	0	8	0	0	8	9	0	0	0	3	0	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	450	"AWI"	450	8243	9969	8925	0	0	29	4	10	0	35	1	0	0	28	9	0	0	1	2	1	2	0	1	0	0	0	1	9	0	0	4	10	0	0	0	4	0	0	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	460	"AWI"	460	8448	10297	9224	0	0	52	2	21	0	72	0	0	0	28	8	0	0	0	3	10	1	0	0	0	6	0	1	17	0	0	17	9	4	0	0	3	1	0	0	7	0	0
823	849	"Hayes Lake"	49.58333	-93.75	470	"AWI"	470	8660	10602	9541	0	0	42	7	9	0	38	0	0	2	45	3	0	0	0	0	3	2	0	0	0	2	0	2	10	0	0	9	12	6	0	0	5	0	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	480	"AWI"	480	8886	10930	9846	0	0	31	12	18	0	45	0	0	0	52	8	0	0	1	0	19	0	0	0	0	5	0	2	11	0	0	15	10	6	0	0	5	1	0	0	1	0	0
823	849	"Hayes Lake"	49.58333	-93.75	490	"AWI"	490	9151	11219	10144	0	0	25	5	12	0	23	0	0	0	33	6	0	0	1	0	3	0	0	1	0	2	0	1	11	0	0	9	7	2	0	0	1	0	0	0	4	0	0
823	849	"Hayes Lake"	49.58333	-93.75	500	"AWI"	500	9425	11478	10448	0	0	18	28	33	0	30	0	0	1	42	4	0	0	0	0	11	2	0	7	0	3	0	2	24	0	0	13	7	7	0	0	3	0	0	0	7	0	0
823	849	"Hayes Lake"	49.58333	-93.75	510	"AWI"	510	9691	11744	10752	0	0	5	1	13	0	33	0	0	1	36	5	1	0	0	0	3	1	0	1	0	3	0	2	18	0	0	6	17	3	0	0	5	0	1	0	2	0	0
823	849	"Hayes Lake"	49.58333	-93.75	530	"AWI"	530	10257	12236	11362	0	0	1	1	12	0	25	0	0	2	25	3	0	0	0	0	2	1	0	3	0	0	0	1	15	0	0	9	9	4	0	0	4	0	0	0	4	0	1
823	849	"Hayes Lake"	49.58333	-93.75	540	"AWI"	540	10558	12463	11666	0	0	4	3	13	0	29	0	0	0	21	4	0	0	0	0	4	1	0	1	0	12	0	0	27	0	0	3	8	5	0	0	4	0	0	0	9	0	0
823	849	"Hayes Lake"	49.58333	-93.75	550	"AWI"	550	10886	12679	11970	0	0	2	2	11	0	26	0	0	0	22	1	0	0	0	0	5	0	0	0	0	6	0	1	21	0	0	4	13	4	0	0	1	0	0	0	4	0	0
823	849	"Hayes Lake"	49.58333	-93.75	560	"AWI"	560	11210	12877	12284	0	0	1	2	14	0	29	0	0	1	19	4	0	0	0	5	7	6	0	1	0	16	0	4	28	0	0	4	16	6	0	0	3	0	0	0	5	0	0
823	849	"Hayes Lake"	49.58333	-93.75	570	"AWI"	570	11423	13139	12561	0	0	1	2	11	0	22	0	0	0	18	4	0	0	0	0	6	2	0	1	0	12	0	2	85	0	0	5	11	7	0	0	3	0	0	0	11	0	0
823	849	"Hayes Lake"	49.58333	-93.75	590	"AWI"	590	11748	13779	12931	0	0	1	10	18	0	45	0	0	0	26	9	0	0	0	0	13	16	0	8	0	9	0	7	118	0	0	6	7	15	0	0	2	2	0	0	26	0	0
823	849	"Hayes Lake"	49.58333	-93.75	600	"AWI"	600	11903	14074	13129	0	0	2	9	8	0	17	0	0	1	13	7	0	0	0	0	24	6	0	11	0	0	0	7	150	0	0	11	2	7	1	0	4	1	1	0	12	0	1
823	849	"Hayes Lake"	49.58333	-93.75	610	"AWI"	610	12080	14396	13323	0	0	2	8	11	0	5	1	0	2	19	8	0	0	0	0	17	1	0	14	1	0	0	6	175	0	0	12	3	19	0	0	2	0	0	0	23	0	0
823	849	"Hayes Lake"	49.58333	-93.75	630	"AWI"	630	12427	15006	13726	0	0	6	7	7	0	9	0	0	1	33	23	0	0	0	7	21	2	1	1	0	0	0	7	168	0	0	9	1	10	0	0	3	0	0	0	37	1	0
