"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Carya"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
1607	1658	"Lonesome Lake"	44.14	-71.70111	20	"AWI"	20	52	1009	416	3	0	0	0	0	2	115	4	0	0	0	0	0	1	0	23	4	1	10	0	2	0	0	2	0	0	12	24	6.5	24	0	4	0	12	0	0	0	0	0	0	10	2	0	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	40	"AWI"	40	400	1552	949	1	0	0	0	0	0	128	8	0	0	0	0	0	2	1	23	7	1	6	0	0	0	1	0	0	0	4	15	3.5	23	0	1	0	12	0	0	1	0	0	1	18	3	0	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	60	"AWI"	60	882	1990	1464	4.5	0	0	0	2	0	170	1	3	2	0	0	0	1	1	47	6	0	10	1	1	0	1	2	0	0	3	10.5	13.5	23	1	2	0	19	0	0	1	0	0	0	30	4	5	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	80	"AWI"	80	1593	2368	1952	2.5	0	0	0	0	0	144	5	0	1	0	0	0	1	0	22	3	0	7	0	1	0	0	0	0	0	7	2	14.5	14.5	0	0	0	12	0	0	0	0	0	0	16	8	0	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	100	"AWI"	100	1961	3320	2538	1	0	0	0	1	0	114	12	0	2	0	0	0	0	1	26	3	1	13	0	0	0	0	2	0	0	16	505	6.5	12.5	0	2	2	25	0	0	0	0	0	1	8	5	0	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	120	"AWI"	120	2401	3998	3126	5.5	0	0	1	0	2	292	11	2	1	0	0	0	0	0	72	8	0	13	1	2	0	0	0	0	0	6	6	13	18.5	1	0	0	18	1	0	1	0	0	1	24	5	3	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	140	"AWI"	140	2939	4566	3760	0.5	0	0	0	0	0	141	4	0	0	0	0	0	0	0	36	2	1	5	0	0	0	0	2	0	0	13	2	1.5	19	0	1	0	12	0	0	0	0	0	0	14	4	0	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	160	"AWI"	160	3592	5071	4357	1.5	0	0	0	1	0	145	10	1	1	0	0	1	0	1	24	3	0	8	0	0	0	1	0	0	0	10	1	1	17	1	1	1	16	0	0	1	0	0	2	2	3	0	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	180	"AWI"	180	4406	5542	4944	4	0	0	0	0	0	244	3	0	0	0	3	1	0	0	59	4	1	22	0	4	0	1	2	1	0	7	3	11	29.5	3	5	0	32	0	0	1	1	0	0	8	7	7	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	200	"AWI"	200	4884	6794	5691	1.5	0	0	1	0	0	137	8	0	0	0	0	0	0	0	13	11	2	16	0	0	0	0	0	0	0	12	3.5	2	13	0	1	0	8	0	0	0	0	0	0	36	3	0	3
1607	1658	"Lonesome Lake"	44.14	-71.70111	240	"AWI"	240	6063	8481	7231	4	0	0	0	1	0	383	0	2	0	0	1	0	3	0	38	7	1	12	1	2	0	0	0	0	0	4	0.5	10	51.5	6	3	0	24	1	0	0	1	1	1	80	9	3	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	260	"AWI"	260	6751	9260	8003	0	0	0	0	0	0	94	2	0	0	0	0	0	2	0	11	5	1	6	0	0	0	1	0	0	0	8	4	0.5	53	5	0	0	39	1	0	0	0	0	0	24	3	0	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	270	"AWI"	270	7113	9589	8405	0	0	0	0	0	2	80	5	0	0	0	0	0	0	0	3	1	0	6	0	0	0	0	1	0	0	6	1.5	14.5	73	1	1	0	46	0	0	1	0	0	0	7	5	0	0
1607	1658	"Lonesome Lake"	44.14	-71.70111	280	"AWI"	280	7511	9934	8791	0	0	0	0	1	0	66	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	5	3	2.5	103	0	1	0	31	0	0	0	1	0	0	0	0	0	0
